year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2016–17,First Nations,179.276,197.345,308.631,510.522,322.999,93.592,249.288,210.823,263.307
2016–17,Non-Indigenous,15.619,17.839,21.663,23.87,15.851,25.599,26.365,8.329,18.681
2016–17,Total,29.048,21.45,46.344,59.183,30.857,34.69,34.987,110.869,35.313
2017–18,First Nations,166.525,166.969,334.505,469.748,266.884,91.542,274.262,187.443,254.587
2017–18,Non-Indigenous,14.878,16.714,22.532,24.751,15.138,26.406,29.047,4.443,18.427
2017–18,Total,27.618,19.783,49.918,57.329,27.776,36.218,38.328,94.672,34.723
2018–19,First Nations,161.541,147.858,343.605,424.65,222.798,102.113,228.374,212.846,248.583
2018–19,Non-Indigenous,15.333,15.588,21.565,26.485,13.226,27.663,27.315,7.941,18.153
2018–19,Total,27.593,18.304,50.181,55.88,24.055,39.822,34.805,105.487,34.15
2019–20,First Nations,148.829,128.164,280.488,371.571,201.541,105.55,213.572,200.334,216.656
2019–20,Non-Indigenous,14.765,14.777,16.912,23.468,13.091,24.685,23.672,8.556,16.349
2019–20,Total,26.061,17.116,40.497,49.201,23.18,37.076,30.582,98.443,30.326
2020–21,First Nations,134.289,109.374,251.675,299.801,182.776,99.742,131.807,172.153,189.626
2020–21,Non-Indigenous,14.072,11.472,14.96,18.286,12.48,21.153,22.181,8.997,14.183
2020–21,Total,24.518,13.537,36.323,39.013,21.662,31.618,26.025,84.604,26.559
2021–22,First Nations,131.473,87.098,249.41,314.254,189.936,62.041,124.957,226.655,190.851
2021–22,Non-Indigenous,12.197,9.1,14.298,17.311,11.709,18.37,19.308,9.529,12.598
2021–22,Total,22.265,10.75,35.606,39.099,21.505,23.931,22.901,108.039,25.067
2022–23,First Nations,134.152,74.528,248.538,344.57,235.972,77.607,163.599,313.493,203.153
2022–23,Non-Indigenous,10.171,7.681,13.316,18.705,14.957,19.656,19.781,8.534,11.797
2022–23,Total,20.515,9.096,34.52,42.236,27.142,26.663,25.1,145.478,25.076
2023-24,First Nations,137.04,70.689,255.94,334.279,271.836,87.605,366.804,557.135,218.494
2023-24,Non-Indigenous,9.285,6.757,12.414,17.587,13.721,23.353,29.504,20.244,11.103
2023-24,Total,19.758,8.108,34.129,39.919,27.779,30.856,41.273,259.298,25.1
2024-25,First Nations,143.827,80.946,249.709,297.689,262.731,124.815,392.873,519.104,219.382
2024-25,Non-Indigenous,9.134,7.405,12.162,16.318,11.932,26.483,27.479,14.82,10.927
2024-25,Total,20.057,9.003,33.244,35.804,25.786,38.487,39.294,229.16,25.086
