sex,indigenous_status,10,11,12,13,14,15,16,17,18plus,australia
Male,First Nations,45,139,312,558,751,725,553,385,123,3592
Male,Non-Indigenous,6,20,81,229,489,663,595,499,243,2825
Male,Not stated,—,1,—,2,15,26,26,37,8,115
Male,Total,51,160,393,789,1255,1414,1174,921,374,6532
Female,First Nations,5,18,99,193,273,221,165,87,28,1089
Female,Non-Indigenous,1,3,29,72,146,179,99,92,25,646
Female,Not stated,—,—,3,1,3,4,9,—,1,21
Female,Total,6,21,131,266,422,404,273,179,54,1756
Not stated,First Nations,—,—,—,—,—,1,2,—,—,3
Not stated,Non-Indigenous,—,—,—,1,—,—,1,4,—,6
Not stated,Not stated,—,1,—,—,—,1,1,1,—,4
Not stated,Total,—,1,—,1,—,2,4,5,—,13
Total,First Nations,50,157,411,751,1024,947,720,472,151,4684
Total,Non-Indigenous,7,23,110,302,635,842,695,595,268,3477
Total,Not stated,—,2,3,3,18,31,36,38,9,140
Total,Total,57,182,524,1056,1677,1820,1451,1105,428,8301
