indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations ,10-13 years,n.p.,24,536,n.p.,87,15,n.p.,211,1369
First Nations ,14-17 years,755,135,979,376,189,69,31,629,3163
First Nations ,18+ years,n.p.,35,28,n.p.,3,6,n.p.,77,151
First Nations ,Total,934,194,1543,679,279,90,48,917,4684
Non-Indigenous,10-13 years,n.p.,46,150,n.p.,36,24,n.p.,4,442
Non-Indigenous,14-17 years,640,587,685,425,183,127,89,31,2767
Non-Indigenous,18+ years,n.p.,168,65,n.p.,16,10,n.p.,9,268
Non-Indigenous,Total,732,801,900,498,235,161,106,44,3477
Not stated,10-13 years,2,—,—,—,—,1,—,5,8
Not stated,14-17 years,73,4,12,—,8,4,—,22,123
Not stated,18+ years,—,—,1,—,—,1,—,7,9
Not stated,Total,75,4,13,—,8,6,—,34,140
Total,10-13 years,n.p.,70,686,373,123,40,n.p.,220,1819
Total,14-17 years,1468,726,1676,801,380,200,120,682,6053
Total,18+ years,n.p.,203,94,2,19,17,n.p.,93,428
Total,Total,1741,999,2456,1177,522,257,154,995,8301
