sex,socioeconomic_areas,first_nations,non_indigenous,not_stated,total
Male,1 (lowest),584.9,406.2,7.2,998.3
Male,2,386.2,272.5,6.5,665.1
Male,3,154.8,262.7,2.2,419.8
Male,4,79.1,179.3,2.1,260.5
Male,5 (highest),42.2,108.5,1.9,152.6
Female,1 (lowest),198.3,92.9,0.7,291.8
Female,2,129.1,62.4,2.2,193.7
Female,3,71.2,54.1,1,126.3
Female,4,28.8,42.3,0.2,71.3
Female,5 (highest),14.3,28.7,—,43
Not stated,1 (lowest),—,1.5,—,1.5
Not stated,2,0.1,0.7,0.1,1
Not stated,3,0.3,1.4,0.5,2.2
Not stated,4,—,—,—,—
Not stated,5 (highest),—,—,—,—
Total,1 (lowest),783.2,500.6,7.9,1291.7
Total,2,515.4,335.6,8.9,859.9
Total,3,226.3,318.2,3.7,548.2
Total,4,107.9,221.7,2.3,331.8
Total,5 (highest),56.5,137.2,1.9,195.6
Total,Total under community-based supervision,1742.71,1580.61,35.06,3358.37
