sex,socioeconomic_areas,first_nations,non_indigenous,not_stated,total
Male,1 (lowest),1591,871,29,2491
Male,2,1012,617,22,1651
Male,3,467,571,11,1049
Male,4,236,395,11,642
Male,5 (highest),110,226,4,340
Female,1 (lowest),440,199,3,642
Female,2,302,146,6,454
Female,3,186,121,4,311
Female,4,88,85,2,175
Female,5 (highest),31,60,—,91
Not stated,1 (lowest),—,2,1,3
Not stated,2,1,1,1,3
Not stated,3,1,3,2,6
Not stated,4,—,—,—,—
Not stated,5 (highest),—,—,—,—
Total,1 (lowest),2031,1072,33,3136
Total,2,1315,764,29,2108
Total,3,654,695,17,1366
Total,4,324,480,13,817
Total,5 (highest),141,286,4,431
Total,Total under community-based supervision,4684,3477,140,8301
