sex,indigenous_status,10_11,12,13,14,15,16,17,10_17,18plus,total
Male,First Nations,29,111,259,498,698,790,957,3342,703,4046
Male,Non-Indigenous,2,13,117,303,585,703,862,2585,724,3309
Male,Not stated,—,3,4,15,27,32,50,131,20,151
Male,Total,31,127,380,816,1310,1525,1869,6058,1447,7506
Female,First Nations,3,32,97,207,278,276,236,1129,132,1261
Female,Non-Indigenous,1,11,49,91,171,154,205,682,87,769
Female,Not stated,—,2,2,6,5,9,4,28,2,30
Female,Total,4,45,148,304,454,439,445,1839,221,2060
Not stated,First Nations,—,—,—,—,—,2,—,2,1,3
Not stated,Non-Indigenous,—,—,—,—,1,1,4,6,—,6
Not stated,Not stated,—,1,—,—,1,—,1,3,1,4
Not stated,Total,—,1,—,—,2,3,5,11,2,13
Total,First Nations,32,143,356,705,976,1068,1193,4473,836,5310
Total,Non-Indigenous,3,24,166,394,757,858,1071,3273,811,4084
Total,Not stated,—,6,6,21,33,41,55,162,23,185
Total,Total,35,173,528,1120,1766,1967,2319,7908,1670,9579
