order_type,nsw,vic,qld,wa,sa,tas,act,nt,all
Supervised and conditional bail and other unsentenced,510,1580,1094,866,846,63,240,n.a.,5199
Probation and similar,6046,795,3452,1093,200,202,72,n.a.,11860
Suspended detention,157,—,510,273,83,88,10,n.a.,1121
Home detention,—,—,—,—,1,—,—,n.a.,1
Parole and supervised release,360,81,513,128,6,18,—,n.a.,1106
Other sentenced orders,—,—,—,7,18,—,—,n.a.,25
Community service,96,—,769,5,162,202,—,n.a.,1234
Other orders nec,28,1,—,1,10,—,5,n.a.,45
Total,7197,2457,6338,2373,1326,573,327,n.a.,20591
Supervised and conditional bail and other unsentenced,68.3,173.1,169.7,55,75.2,15.3,34.8,n.a.,591.4
Probation and similar,510.5,154.9,689.9,215.9,44.8,55.5,18.8,n.a.,1690.2
Suspended detention,22.2,—,83.1,56.6,17.5,20.5,1.5,n.a.,201.3
Home detention,—,—,—,—,—,—,—,n.a.,—
Parole and supervised release,38.7,18.2,50.7,21.4,0.9,2.7,—,n.a.,132.5
Community service,20,—,181,0.8,34,42.9,—,n.a.,278.7
Other sentenced orders,—,—,—,1.2,4.3,—,—,n.a.,5.5
Other orders nec,5,—,—,—,1.4,—,0.2,n.a.,6.7
Total young people,808.9,419.4,1263.8,444.9,203.4,147.2,70.9,n.a.,3358.4
Supervised and conditional bail and other unsentenced,372,728,738,381,316,54,124,780,3493
Probation and similar,1508,500,1983,787,163,162,54,465,5622
Suspended detention,80,—,342,209,n.p.,67,n.p.,251,1028
Home detention,—,—,—,—,1,—,—,—,1
Parole and supervised release,167,75,280,102,3,15,—,—,642
Community service,108,—,863,7,174,180,—,46,1378
Other sentenced orders,—,—,—,7,16,—,—,—,23
Other orders nec,16,1,—,1,n.p.,—,n.p.,302,327
Total young people,1741,999,2456,1177,522,257,154,995,8301
