legal_status,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
Unsentenced,First Nations,53.1,20,128.1,32.5,48.5,7.6,10.8,n.a.,300.7
Unsentenced,Non-Indigenous,23.2,88,62.1,27.2,32,9,19.1,n.a.,260.6
Unsentenced,Not stated,1.5,0.3,0.4,—,0.6,0.1,—,n.a.,2.9
Unsentenced,Total,77.8,108.2,190.6,59.8,81.1,16.8,29.9,n.a.,564.2
Sentenced,First Nations,353.7,25.1,507.2,189,54,31.2,6.7,n.a.,1166.9
Sentenced,Non-Indigenous,297.3,110.6,225.4,130.3,41.6,49.4,15,n.a.,869.5
Sentenced,Not stated,22.3,0.1,3.4,—,1.8,0.3,—,n.a.,27.8
Sentenced,Total,673.2,135.8,736,319.2,97.4,80.9,21.7,n.a.,2064.2
Total,First Nations,396.6,42.1,587.7,216,97.1,38.1,15.8,n.a.,1393.3
Total,Non-Indigenous,317.7,186.2,268.6,151.8,69.6,57.9,31.6,n.a.,1083.4
Total,Not stated,25.2,0.4,3.7,—,2.3,0.4,—,n.a.,32.1
Total,Total,739.5,228.7,860,367.8,169.1,96.4,47.4,n.a.,2508.8
