indigenous_status,legal_status,year,nsw,vic,qld,wa,sa,tas,act,nt,australia_excl_nt,australia
First Nations,Unsentenced,2020-21,42.8,48.3,91.4,23.4,35.7,3.1,5.1,38.3,249.8,288.2
First Nations,Unsentenced,2021-22,47.4,50.3,105,35.1,43.4,4.3,5.8,70,291.3,361.3
First Nations,Unsentenced,2022-23,51.6,44.5,143.6,38.5,59.5,6.6,7.2,132.2,351.5,483.7
First Nations,Unsentenced,2023-24,58.3,39.7,130.7,40.4,62,5.2,10.9,n.a.,347.2,n.a.
First Nations,Unsentenced,2024-25,55.9,41.8,141.7,32.6,53.5,10,13.6,n.a.,349,n.a.
First Nations,Sentenced,2020-21,396.5,61.4,762.1,236.8,52.1,34,6.3,79.9,1549.3,1629.2
First Nations,Sentenced,2021-22,367.4,46.3,745,244.3,47.2,28.2,4.4,101,1482.8,1583.8
First Nations,Sentenced,2022-23,378.4,46.1,694.5,303.6,49.5,23.3,3.2,159.5,1498.7,1658.2
First Nations,Sentenced,2023-24,380.3,36.9,711,281.6,79,32.8,6.3,n.a.,1527.8,n.a.
First Nations,Sentenced,2024-25,386,41.7,695.3,232.4,65,44.4,9,n.a.,1473.9,n.a.
First Nations,Other,2020-21,3.5,—,—,—,2.5,—,—,32.5,6,38.5
First Nations,Other,2021-22,5.1,—,—,—,1.3,—,—,38.1,6.5,44.6
First Nations,Other,2022-23,1.5,—,—,—,1.8,—,—,49.9,3.3,53.2
First Nations,Other,2023-24,1.8,—,—,—,2.8,—,—,n.a.,4.6,n.a.
First Nations,Other,2024-25,3.4,—,—,—,2.3,—,—,n.a.,5.8,n.a.
First Nations,Total,2020-21,427.4,104.7,817.1,251,84.1,36.6,9.8,136.4,1730.7,1867.1
First Nations,Total,2021-22,404.8,90.4,805,269.5,86.8,32.2,9.8,176.1,1698.3,1874.4
First Nations,Total,2022-23,414.8,85.7,780.4,332.4,101.2,29.4,10.1,271.7,1754.1,2025.8
First Nations,Total,2023-24,427.3,70.2,789.7,312.8,136.9,37.4,17,n.a.,1791.3,n.a.
First Nations,Total,2024-25,432.1,78.6,785.7,259.5,112.3,53.6,20.9,n.a.,1742.7,n.a.
Non-Indigenous,Unsentenced,2020-21,52.6,315.6,70,14.2,34.7,3.5,21.6,1.7,512,513.7
Non-Indigenous,Unsentenced,2021-22,39.8,275.1,63.5,24.4,42.3,3.8,28.8,4.5,477.7,482.2
Non-Indigenous,Unsentenced,2022-23,20.7,225.8,77.2,24.4,44.2,10.5,29,4.8,431.7,436.5
Non-Indigenous,Unsentenced,2023-24,19.9,191,79.8,26.7,33.8,10.2,37.8,n.a.,399,n.a.
Non-Indigenous,Unsentenced,2024-25,24,166.4,71,27.4,36.2,12.7,34.5,n.a.,372.1,n.a.
Non-Indigenous,Sentenced,2020-21,477,310.9,509.3,186.7,73.5,65.1,33.6,7.5,1655.9,1663.4
Non-Indigenous,Sentenced,2021-22,431.5,287.9,497.1,165.6,77.8,51.8,19.8,7.6,1531.5,1539.2
Non-Indigenous,Sentenced,2022-23,343.4,204.6,458.1,175.3,91.9,55.3,18.1,9,1346.8,1355.8
Non-Indigenous,Sentenced,2023-24,323.9,187.6,434.7,182.3,96.4,60.6,19.4,n.a.,1304.9,n.a.
Non-Indigenous,Sentenced,2024-25,329.1,192.6,424.2,163.7,56.3,80.7,18,n.a.,1264.6,n.a.
Non-Indigenous,Other,2020-21,4.6,—,—,—,0.6,—,—,0.1,5.1,5.2
Non-Indigenous,Other,2021-22,4,—,—,—,1.6,—,—,1.3,5.6,7
Non-Indigenous,Other,2022-23,2.5,—,—,—,0.7,—,0.5,1.6,3.8,5.4
Non-Indigenous,Other,2023-24,1.8,—,—,—,1.4,—,0.1,n.a.,3.3,3.3
Non-Indigenous,Other,2024-25,1.2,0.5,—,—,—,—,0.2,n.a.,2,2
Non-Indigenous,Total,2020-21,516.6,582.4,553.8,195.9,105.4,67.9,50,9.2,2072,2081.2
Non-Indigenous,Total,2021-22,465.5,520.9,532.3,184.4,111.5,55.5,43.8,11.7,1913.8,1925.5
Non-Indigenous,Total,2022-23,361.4,405.2,504.3,194.7,124.4,65.6,44.4,13.4,1699.9,1713.3
Non-Indigenous,Total,2023-24,341.6,353.4,490.2,202.5,125,69.3,54.8,n.a.,1636.8,n.a.
Non-Indigenous,Total,2024-25,350.2,340.4,473.8,185.4,88.1,92.9,50,n.a.,1580.6,n.a.
Not stated,Unsentenced,2020-21,0.8,—,0.6,—,0.3,0.2,—,0.8,1.8,2.6
Not stated,Unsentenced,2021-22,0.7,—,0.1,—,—,0.2,—,0.7,1,1.6
Not stated,Unsentenced,2022-23,0.6,—,—,—,—,0.6,0.1,4.1,1.4,5.5
Not stated,Unsentenced,2023-24,1.2,—,—,—,—,—,0.1,n.a.,1.3,n.a.
Not stated,Unsentenced,2024-25,1.5,0.3,0.4,—,0.9,0.2,—,n.a.,3.4,n.a.
Not stated,Sentenced,2020-21,40.1,0.1,5.8,—,1,4.6,—,2.5,51.6,54.1
Not stated,Sentenced,2021-22,32.4,—,4.7,—,1.6,0.1,—,4.6,38.8,43.4
Not stated,Sentenced,2022-23,31.2,—,2.9,—,1.6,—,0.7,4.8,36.4,41.1
Not stated,Sentenced,2023-24,26.2,—,2.5,—,0.6,0.4,0.3,n.a.,29.9,n.a.
Not stated,Sentenced,2024-25,23.5,0.1,3.9,—,2.2,0.5,—,n.a.,30.1,n.a.
Not stated,Other,2020-21,0.6,—,—,—,—,—,—,2,0.6,2.6
Not stated,Other,2021-22,0.7,—,—,—,—,—,—,2,0.7,2.7
Not stated,Other,2022-23,—,—,—,—,—,—,—,2.5,-,2.5
Not stated,Other,2023-24,0.7,—,—,—,—,—,—,n.a.,0.7,n.a.
Not stated,Other,2024-25,2,—,—,—,—,—,—,n.a.,2,n.a.
Not stated,Total,2020-21,41.3,0.1,6.5,—,1.2,4.8,—,5.3,53.9,59.2
Not stated,Total,2021-22,33.4,—,4.8,—,1.6,0.3,—,6.7,40.1,46.8
Not stated,Total,2022-23,31.8,—,2.9,—,1.6,0.6,0.8,10.7,37.7,48.4
Not stated,Total,2023-24,27.9,—,2.5,—,0.6,0.4,0.4,n.a.,31.8,n.a.
Not stated,Total,2024-25,26.6,0.4,4.3,—,3.1,0.7,—,n.a.,35.1,n.a.
Total,Unsentenced,2020-21,96.2,363.8,162,37.6,70.6,6.8,26.7,40.9,763.6,804.5
Total,Unsentenced,2021-22,88,325.3,168.6,59.5,85.7,8.3,34.5,75.1,769.9,845.1
Total,Unsentenced,2022-23,72.9,270.3,220.8,62.9,103.7,17.7,36.3,141.1,784.6,925.7
Total,Unsentenced,2023-24,79.5,230.6,210.5,67.1,95.8,15.3,48.8,n.a.,747.6,n.a.
Total,Unsentenced,2024-25,81.4,208.4,213,60,90.6,22.9,48.1,n.a.,724.4,n.a.
Total,Sentenced,2020-21,913.5,372.4,1277.2,423.5,126.6,103.7,39.9,89.9,3256.8,3346.7
Total,Sentenced,2021-22,831.3,334.2,1246.9,409.9,126.6,80.2,24.2,113.2,3053.2,3166.4
Total,Sentenced,2022-23,752.9,250.8,1155.5,478.9,143,78.6,22.1,173.3,2881.9,3055.2
Total,Sentenced,2023-24,730.4,224.5,1148.2,463.9,176,93.8,26,n.a.,2862.7,n.a.
Total,Sentenced,2024-25,738.6,234.4,1123.5,396.1,123.5,125.6,27,n.a.,2768.7,n.a.
Total,Other,2020-21,8.6,—,—,—,3.1,—,—,34.6,11.7,46.4
Total,Other,2021-22,9.8,—,—,—,2.9,—,—,41.5,12.7,54.2
Total,Other,2022-23,4.1,—,—,—,2.5,—,0.5,54,7.1,61.1
Total,Other,2023-24,4.3,—,—,—,4.2,—,0.1,n.a.,8.5,n.a.
Total,Other,2024-25,6.7,0.5,—,—,2.3,—,0.2,n.a.,9.8,n.a.
Total,Total,2020-21,985.3,687.2,1377.4,446.9,190.7,109.3,59.8,150.9,3856.6,4007.5
Total,Total,2021-22,903.6,611.3,1342.1,453.9,199.9,88,53.5,194.5,3652.2,3846.7
Total,Total,2022-23,807.9,490.9,1287.6,527.1,227.3,95.6,55.3,295.7,3491.7,3787.4
Total,Total,2023-24,796.8,423.6,1282.4,515.3,262.6,107.1,72.1,n.a.,3460,n.a.
Total,Total,2024-25,808.9,419.4,1263.8,444.9,203.4,147.2,70.9,n.a.,3358.4,n.a.
