age,nsw,vic,qld,wa,sa,tas,act,nt,australia
10,—,—,—,—,—,—,—,—,—
11,0.3,—,0.7,0.2,—,—,—,—,1.2
12,0.9,—,5.5,1,0.4,0.1,0.1,0.2,8.1
13,5.6,0.3,16,3.9,1.8,0.6,0.7,2.1,31
14,17.3,3.8,37.2,6.9,3.4,1.4,0.7,5.3,76.2
15,39.4,13.3,64.8,14.3,7.3,2.9,3.9,9.4,155.3
16,55.7,23.2,84.3,21.3,13.5,3.9,6.7,9.5,217.9
17,65,33.2,81.2,26.3,11.8,5.4,5,15.9,244
10–17,184.3,73.9,289.8,73.9,38.2,14.3,17.1,42.4,733.7
18+,47,54.7,10.9,1.6,3.8,1.5,2.1,4.1,125.8
Total,231.3,128.6,300.7,75.5,42,15.8,19.1,46.5,859.5
