indigenous_status,age_group,nsw,vic,qld,wa,sa,tas,act,nt,australia
First Nations,10-13 years,4.8,—,17.3,4.1,1.8,0.4,0.8,2.1,31.3
First Nations,14-17 years,112.5,11.3,190.4,41.5,18.6,4.3,4.9,37.8,421.5
First Nations,18+ years,22.3,7.7,6.8,1,1.1,1.1,1,3.1,44.1
First Nations,Total,139.7,19,214.5,46.6,21.5,5.9,6.7,43.1,496.9
Non-Indigenous,10-13 years,1.9,0.3,4.9,0.9,0.5,0.3,0.1,0.1,9
Non-Indigenous,14-17 years,64.1,62.1,76.9,27.3,16.9,9.3,11.3,1.9,269.8
Non-Indigenous,18+ years,24,47,4.1,0.6,2.7,0.4,1.1,—,79.9
Non-Indigenous,Total,90,109.4,85.9,28.9,20.1,9.9,12.5,2,358.8
Not stated,10-13 years,0.1,—,—,—,—,—,—,—,0.1
Not stated,14-17 years,0.8,0.2,0.3,—,0.3,—,—,0.4,1.9
Not stated,18+ years,0.8,—,—,—,—,—,—,1,1.8
Not stated,Total,1.6,0.2,0.3,—,0.4,—,—,1.4,3.8
Total,10-13 years,6.9,0.3,22.2,5,2.3,0.7,0.8,2.3,40.4
Total,14-17 years,177.4,73.6,267.5,68.9,35.9,13.6,16.2,40.1,693.3
Total,18+ years,47,54.7,10.9,1.6,3.8,1.5,2.1,4.1,125.8
Total,Total,231.3,128.6,300.7,75.5,42,15.8,19.1,46.5,859.5
