year,indigenous_staus,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,First Nations,679,84,541,540,198,6,20,252,2320
2015-16,Non-Indigenous,728,416,314,303,198,24,48,12,2043
2015-16,Not stated,37,—,1,—,3,—,—,5,46
2015-16,Total,1444,500,856,843,399,30,68,269,4409
2016-17,First Nations,660,89,600,536,189,21,24,227,2346
2016-17,Non-Indigenous,700,438,361,311,181,39,56,9,2095
2016-17,Not stated,41,—,4,—,3,—,—,6,54
2016-17,Total,1401,527,965,847,373,60,80,242,4495
2017-18,First Nations,698,90,698,546,167,16,25,192,2432
2017-18,Non-Indigenous,748,432,362,292,148,36,76,6,2100
2017-18,Not stated,29,1,3,—,4,—,—,4,41
2017-18,Total,1475,523,1063,838,319,52,101,202,4573
2018-19,First Nations,654,84,748,499,145,19,19,165,2333
2018-19,Non-Indigenous,752,477,356,316,138,42,64,5,2150
2018-19,Not stated,22,—,6,—,—,—,—,5,33
2018-19,Total,1428,561,1110,815,283,61,83,175,4516
2019-20,First Nations,574,81,657,452,150,21,24,134,2093
2019-20,Non-Indigenous,803,546,347,288,155,32,55,8,2234
2019-20,Not stated,34,—,4,—,1,—,1,1,41
2019-20,Total,1411,627,1008,740,306,53,80,143,4368
2020-21,First Nations,536,56,611,377,118,14,22,163,1897
2020-21,Non-Indigenous,792,456,373,212,133,29,50,8,2053
2020-21,Not stated,39,—,6,—,1,—,2,3,51
2020-21,Total,1367,512,990,589,252,43,74,174,4001
2021-22,First Nations,602,64,681,506,139,15,17,266,2290
2021-22,Non-Indigenous,614,333,373,236,148,29,55,11,1799
2021-22,Not stated,30,—,—,—,—,—,1,4,35
2021-22,Total,1246,397,1054,742,287,44,73,281,4124
2022-23,First Nations,752,60,755,515,173,17,28,266,2566
2022-23,Non-Indigenous,617,305,316,280,148,41,73,6,1786
2022-23,Not stated,35,—,2,—,—,—,7,8,52
2022-23,Total,1404,365,1073,795,321,58,108,280,4404
2023-24,First Nations,782,48,733,494,182,24,39,291,2593
2023-24,Non-Indigenous,602,230,347,284,123,53,70,8,1717
2023-24,Not stated,31,—,2,—,—,—,3,4,40
2023-24,Total,1415,278,1082,778,305,77,112,303,4350
2024-25,First Nations,770,49,724,537,183,24,34,317,2638
2024-25,Non-Indigenous,651,300,328,272,153,46,65,10,1825
2024-25,Not stated,49,2,3,—,3,—,—,3,60
2024-25,Total,1470,351,1055,809,339,70,99,330,4523
