year,indigenous_staus,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,First Nations,164.2,28.4,132.2,101.6,31.7,1.4,2.9,47,509.4
2015-16,Non-Indigenous,133.8,139.2,56.6,36.1,24.7,7.9,5.6,2.5,406.5
2015-16,Not stated,0.6,—,0.1,—,—,—,—,1,1.7
2015-16,Total,298.6,167.6,188.9,137.7,56.4,9.3,8.5,50.5,917.6
2016-17,First Nations,147.4,32,130.3,109,34.3,2.6,2.3,35.4,493.3
2016-17,Non-Indigenous,128.9,157.2,52.3,37.5,18.7,8.4,8.8,2.2,414.1
2016-17,Not stated,1.6,0.2,—,—,0.1,—,—,1.1,3.1
2016-17,Total,278,189.4,182.6,146.5,53.1,11,11.1,38.7,910.5
2017-18,First Nations,142.7,33.5,152.2,110,30.3,3.8,4.1,38.9,515.5
2017-18,Non-Indigenous,145.1,169.1,57.3,43,17.9,7.9,11.1,0.8,452
2017-18,Not stated,3.3,0.2,—,—,—,—,—,0.7,4.3
2017-18,Total,291.1,202.8,209.5,153,48.2,11.6,15.2,40.3,971.8
2018-19,First Nations,133.8,32.3,180.8,105.9,24.4,4.6,3,35.2,519.9
2018-19,Non-Indigenous,132.3,158.7,72.7,32.6,16.7,7,7.1,0.8,428
2018-19,Not stated,3.3,—,0.1,—,—,—,—,0.1,3.5
2018-19,Total,269.5,191,253.6,138.4,41.1,11.6,10.2,36,951.4
2019-20,First Nations,117.4,25.9,151.9,80.5,20.2,5.6,5.1,23.5,430
2019-20,Non-Indigenous,137.1,159.2,59.9,31.1,17.8,9.7,11,0.7,426.4
2019-20,Not stated,2.2,—,—,—,—,—,—,—,2.3
2019-20,Total,256.7,185.1,211.8,111.6,37.9,15.3,16.1,24.3,858.7
2020-21,First Nations,83.6,20.1,156.4,80.8,16.2,3.7,2.6,30.6,393.9
2020-21,Non-Indigenous,121,143.3,80.8,25,12.1,5.7,6.8,1.3,396.1
2020-21,Not stated,1.3,—,0.5,—,—,—,—,0.4,2.2
2020-21,Total,205.9,163.4,237.7,105.8,28.2,9.4,9.4,32.3,792.1
2021-22,First Nations,87.5,18,190.6,90.3,17.5,4.1,2.9,49.7,460.7
2021-22,Non-Indigenous,100.2,102.5,98.7,27.7,17,5,8.7,2,361.9
2021-22,Not stated,2.3,—,—,—,—,—,—,0.6,3
2021-22,Total,190.1,120.5,289.3,118,34.5,9.1,11.6,52.4,825.5
2022-23,First Nations,108.4,15.1,218.3,71.8,18.3,4.5,4.4,49.5,490.3
2022-23,Non-Indigenous,90.4,92.6,93,26.8,15.2,9.1,12.7,1.6,341.4
2022-23,Not stated,1,—,—,—,—,—,0.6,1.8,3.5
2022-23,Total,199.8,107.7,311.3,98.6,33.5,13.6,17.8,52.9,835.2
2023-24,First Nations,132.2,14,227.1,59.7,17.7,5.6,5.3,43.2,504.8
2023-24,Non-Indigenous,84.5,79.1,92.4,27.5,16.1,10.7,10.4,1.6,322.4
2023-24,Not stated,0.4,—,—,—,—,—,—,1.3,1.7
2023-24,Total,217,93.1,319.6,87.2,33.8,16.3,15.8,46.2,828.9
2024-25,First Nations,139.7,19,214.5,46.6,21.5,5.9,6.7,43.1,496.9
2024-25,Non-Indigenous,90,109.4,85.9,28.9,20.1,9.9,12.5,2,358.8
2024-25,Not stated,1.6,0.2,0.3,—,0.4,—,—,1.4,3.8
2024-25,Total,231.3,128.6,300.7,75.5,42,15.8,19.1,46.5,859.5
