year,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2016–17,First Nations,22.278,17.486,30.683,54.464,41.236,3.755,16.166,29.231,28.883
2016–17,Non-Indigenous,1.412,1.665,1.131,1.382,1.009,1.585,1.852,1.656,1.399
2016–17,Total,2.954,1.982,3.645,5.234,2.964,1.811,2.406,15.26,3.206
2017–18,First Nations,21.818,15.716,34.348,54.393,35.92,6.095,27.571,32.054,29.73
2017–18,Non-Indigenous,1.561,1.757,1.224,1.517,0.963,1.408,2.274,0.217,1.495
2017–18,Total,3.089,2.041,4.094,5.388,2.703,1.915,3.232,15.495,3.376
2018–19,First Nations,18.786,15.311,37.605,50.449,26.546,8.026,11.899,29.139,28.32
2018–19,Non-Indigenous,1.377,1.588,1.392,1.148,1.029,1.527,1.639,0.417,1.388
2018–19,Total,2.701,1.869,4.577,4.787,2.333,2.248,2.022,13.799,3.195
2019–20,First Nations,15.863,13.103,29.65,38.547,20.971,8.348,33.575,19.455,22.682
2019–20,Non-Indigenous,1.402,1.715,1.054,1.151,1.049,1.944,2.461,0.488,1.383
2019–20,Total,2.509,1.95,3.593,3.915,2.09,2.667,3.594,9.238,2.819
2020–21,First Nations,10.684,8.837,30.216,36.852,16.428,5.676,18.024,25.583,20.48
2020–21,Non-Indigenous,1.202,1.504,1.525,0.876,0.673,0.973,1.352,0.896,1.273
2020–21,Total,1.933,1.657,4.093,3.524,1.512,1.508,1.938,12.199,2.576
2021–22,First Nations,12.786,8.715,36.385,40.232,17.074,5.261,19.69,42.151,24.557
2021–22,Non-Indigenous,0.922,1.095,1.764,0.867,0.933,1.024,1.685,1.383,1.158
2021–22,Total,1.849,1.257,4.878,3.755,1.804,1.51,2.298,19.76,2.753
2022–23,First Nations,16.074,7.568,40.318,30.804,18.101,6.343,28.554,41.647,25.737
2022–23,Non-Indigenous,0.813,0.979,1.595,0.846,0.862,1.888,2.276,1.039,1.076
2022–23,Total,1.974,1.118,5.069,3.01,1.795,2.398,3.169,19.31,2.745
2023–24,First Nations,18.827,7.335,41.575,28.175,17.268,8.093,39.191,48.331,26.866
2023–24,Non-Indigenous,0.776,0.678,1.555,0.978,0.848,2.211,2.687,1.448,0.999
2023–24,Total,2.137,0.819,5.106,2.896,1.731,2.881,3.899,21.827,2.701
2024–25,First Nations,18.927,8.114,40.65,21.924,21.393,7.765,51.855,35.12,25.73
2024–25,Non-Indigenous,0.858,0.953,1.543,1.012,1.035,1.999,3.473,1.254,1.116
2024–25,Total,2.216,1.106,4.984,2.46,2.147,2.649,5.038,15.364,2.744
