year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,Male,1178,439,680,706,317,n.p.,n.p.,216,3615
2015-16,Female,266,61,176,137,82,n.p.,n.p.,53,794
2015-16,Not stated,—,—,—,—,—,—,—,—,—
2015-16,Total,1444,500,856,843,399,30,68,269,4409
2016-17,Male,1166,455,745,707,285,51,63,201,3673
2016-17,Female,235,72,220,140,88,9,17,41,822
2016-17,Not stated,—,—,—,—,—,—,—,—,—
2016-17,Total,1401,527,965,847,373,60,80,242,4495
2017-18,Male,1168,458,847,691,251,43,77,175,3710
2017-18,Female,307,65,216,147,68,9,24,27,863
2017-18,Not stated,—,—,—,—,—,—,—,—,—
2017-18,Total,1475,523,1063,838,319,52,101,202,4573
2018-19,Male,1137,454,869,645,228,47,63,152,3595
2018-19,Female,291,107,241,170,55,14,20,23,921
2018-19,Not stated,—,—,—,—,—,—,—,—,—
2018-19,Total,1428,561,1110,815,283,61,83,175,4516
2019-20,Male,1138,517,802,595,235,45,58,126,3516
2019-20,Female,271,110,206,145,71,8,22,17,850
2019-20,Not stated,2,—,—,—,—,—,—,—,2
2019-20,Total,1411,627,1008,740,306,53,80,143,4368
2020-21,Male,1103,439,788,479,196,34,50,154,3243
2020-21,Female,263,73,202,110,56,9,24,20,757
2020-21,Not stated,1,—,—,—,—,—,—,—,1
2020-21,Total,1367,512,990,589,252,43,74,174,4001
2021-22,Male,1033,332,837,578,218,35,49,231,3313
2021-22,Female,212,64,217,164,69,9,24,50,809
2021-22,Not stated,1,1,—,—,—,—,—,—,2
2021-22,Total,1246,397,1054,742,287,44,73,281,4124
2022-23,Male,1131,319,854,631,235,45,76,234,3525
2022-23,Female,271,46,218,164,85,13,32,45,874
2022-23,Not stated,2,—,1,—,1,—,—,1,5
2022-23,Total,1404,365,1073,795,321,58,108,280,4404
2023-24,Male,1098,250,871,613,227,55,82,251,3447
2023-24,Female,312,28,211,165,78,22,30,52,898
2023-24,Not stated,5,—,—,—,—,—,—,—,5
2023-24,Total,1415,278,1082,778,305,77,112,303,4350
2024-25,Male,1177,329,832,620,249,54,72,282,3615
2024-25,Female,292,22,222,189,90,16,27,48,906
2024-25,Not stated,1,—,1,—,—,—,—,—,2
2024-25,Total,1470,351,1055,809,339,70,99,330,4523
