year,sex,nsw,vic,qld,wa,sa,tas,act,nt,australia
2015-16,Male,275.6,158.8,155.8,129.6,51.5,9.1,7.5,45.3,833.2
2015-16,Female,23,8.8,33.1,8.1,4.9,0.3,1,5.2,84.4
2015-16,Not stated,—,—,—,—,—,—,—,—,—
2015-16,Total,298.6,167.6,188.9,137.7,56.4,9.3,8.5,50.5,917.6
2016-17,Male,255.5,178.7,155.9,138.1,46.8,10.2,9.1,35.5,829.9
2016-17,Female,22.5,10.7,26.7,8.4,6.4,0.8,2,3.2,80.6
2016-17,Not stated,—,—,—,—,—,—,—,—,—
2016-17,Total,278,189.4,182.6,146.5,53.1,11,11.1,38.7,910.5
2017-18,Male,263.4,188.2,179.3,144.8,43.7,10.8,13.2,36.9,880.4
2017-18,Female,27.7,14.6,30.2,8.2,4.5,0.8,2,3.4,91.4
2017-18,Not stated,—,—,—,—,—,—,—,—,—
2017-18,Total,291.1,202.8,209.5,153,48.2,11.6,15.2,40.3,971.8
2018-19,Male,244.9,176.9,219.4,124.5,37.5,11.1,7.7,33.4,855.4
2018-19,Female,24.6,14,34.2,13.9,3.6,0.5,2.5,2.6,96
2018-19,Not stated,—,—,—,—,—,—,—,—,—
2018-19,Total,269.5,191,253.6,138.4,41.1,11.6,10.2,36,951.4
2019-20,Male,235.3,172.8,187.6,100.4,31.2,14.2,12.1,22.2,775.8
2019-20,Female,21.2,12.4,24.2,11.2,6.7,1.1,4,2.1,82.9
2019-20,Not stated,0.1,—,—,—,—,—,—,—,0.1
2019-20,Total,256.7,185.1,211.8,111.6,37.9,15.3,16.1,24.3,858.7
2020-21,Male,187.9,153.2,212.5,95.6,22.7,8.7,7.9,29.5,717.9
2020-21,Female,17.7,10.2,25.2,10.2,5.5,0.7,1.5,2.8,73.9
2020-21,Not stated,0.3,—,—,—,—,—,—,—,0.3
2020-21,Total,205.9,163.4,237.7,105.8,28.2,9.4,9.4,32.3,792.1
2021-22,Male,176.3,111.7,258.2,103.2,30,8.2,9.6,46.2,743.5
2021-22,Female,13.8,8.7,31.1,14.8,4.5,0.9,2,6.2,82.1
2021-22,Not stated,—,—,—,—,—,—,—,—,—
2021-22,Total,190.1,120.5,289.3,118,34.5,9.1,11.6,52.4,825.5
2022-23,Male,187.5,101.1,273.5,87.5,27,11.2,15.1,45.5,748.4
2022-23,Female,12.2,6.6,37.8,11.1,6.4,2.3,2.7,7.4,86.7
2022-23,Not stated,—,—,—,—,—,—,—,—,0.1
2022-23,Total,199.8,107.7,311.3,98.6,33.5,13.6,17.8,52.9,835.2
2023-24,Male,201.5,89.7,279.5,78.3,26.9,12.7,14.5,42.9,745.9
2023-24,Female,15.4,3.4,40.1,8.9,6.9,3.6,1.3,3.3,82.9
2023-24,Not stated,—,—,—,—,—,—,—,—,—
2023-24,Total,217,93.1,319.6,87.2,33.8,16.3,15.8,46.2,828.9
2024-25,Male,215.6,123,258.6,68.5,35,13.1,17.1,43.6,774.6
2024-25,Female,15.7,5.6,42,7,7,2.7,2,2.9,84.9
2024-25,Not stated,—,—,—,—,—,—,—,—,0.1
2024-25,Total,231.3,128.6,300.7,75.5,42,15.8,19.1,46.5,859.5
