year,sex,indigenous_status,nsw,vic,qld,wa,sa,tas,act,nt,australia
2020-21,Male,First Nations,19.049,16.415,53.1,64.908,24.777,10.934,24.758,45.531,35.895
2020-21,Male,Non-Indigenous,2.098,2.689,2.617,1.566,1.083,1.61,2.208,1.665,2.223
2020-21,Male,Total,3.401,2.971,7.1,6.125,2.339,2.674,3.035,21.515,4.491
2020-21,Female,First Nations,1.774,1.123,6.291,8.422,7.72,—,10.239,4.727,4.347
2020-21,Female,Non-Indigenous,0.247,0.25,0.362,0.14,0.242,0.288,0.447,0.056,0.263
2020-21,Female,Total,0.365,0.269,0.897,0.764,0.642,0.255,0.775,2.216,0.542
2020-21,Total,First Nations,10.684,8.837,30.216,36.852,16.428,5.676,18.024,25.583,20.48
2020-21,Total,Non-Indigenous,1.202,1.504,1.525,0.876,0.673,0.973,1.352,0.896,1.273
2020-21,Total,Total,1.933,1.657,4.093,3.524,1.512,1.508,1.938,12.199,2.576
2021-22,Male,First Nations,23.003,16.772,63.437,70.021,28.362,10.157,20.87,73.114,42.909
2021-22,Male,Non-Indigenous,1.637,1.937,3.032,1.489,1.568,1.601,2.874,2.327,2.014
2021-22,Male,Total,3.284,2.246,8.415,6.404,3.004,2.58,3.522,33.64,4.773
2021-22,Female,First Nations,2.032,0.478,8.212,10.019,5.374,—,18.28,9.796,5.419
2021-22,Female,Non-Indigenous,0.162,0.205,0.415,0.204,0.264,0.402,0.425,0.348,0.249
2021-22,Female,Total,0.323,0.211,1.123,0.941,0.542,0.356,0.995,4.865,0.61
2021-22,Total,First Nations,12.786,8.715,36.385,40.232,17.074,5.261,19.69,42.151,24.557
2021-22,Total,Non-Indigenous,0.922,1.095,1.764,0.867,0.933,1.024,1.685,1.383,1.158
2021-22,Total,Total,1.849,1.257,4.878,3.755,1.804,1.51,2.298,19.76,2.753
2022-23,Male,First Nations,29.678,14.641,68.252,55.142,26.616,8.464,38.807,69.837,44.451
2022-23,Male,Non-Indigenous,1.435,1.758,2.815,1.448,1.429,3.191,3.674,2.003,1.889
2022-23,Male,Total,3.573,2.027,8.618,5.251,2.785,3.792,4.949,32.094,4.743
2022-23,Female,First Nations,1.719,0.335,11.389,6.009,9.244,4.076,15.966,12.135,6.217
2022-23,Female,Non-Indigenous,0.149,0.156,0.3,0.207,0.262,0.484,0.803,—,0.214
2022-23,Female,Total,0.272,0.16,1.306,0.634,0.75,0.897,1.284,5.706,0.626
2022-23,Total,First Nations,16.074,7.568,40.318,30.804,18.101,6.343,28.554,41.647,25.737
2022-23,Total,Non-Indigenous,0.813,0.979,1.595,0.846,0.862,1.888,2.276,1.039,1.076
2022-23,Total,Total,1.974,1.118,5.069,3.01,1.795,2.398,3.169,19.31,2.745
2023-24,Male,First Nations,34.022,13.668,70.256,50.987,25.321,7.963,60.094,86.714,46.459
2023-24,Male,Non-Indigenous,1.343,1.28,2.705,1.634,1.333,3.81,4.817,2.734,1.749
2023-24,Male,Total,3.806,1.538,8.642,5.061,2.618,4.28,6.757,38.602,4.673
2023-24,Female,First Nations,2.654,0.84,11.803,4.797,8.873,8.23,13.663,7.801,6.336
2023-24,Female,Non-Indigenous,0.174,0.043,0.334,0.282,0.337,0.494,0.401,—,0.205
2023-24,Female,Total,0.363,0.06,1.362,0.605,0.799,1.38,0.819,3.365,0.611
2023-24,Total,First Nations,18.827,7.335,41.575,28.175,17.268,8.093,39.191,48.331,26.866
2023-24,Total,Non-Indigenous,0.776,0.678,1.555,0.978,0.848,2.211,2.688,1.418,0.999
2023-24,Total,Total,2.137,0.819,5.106,2.896,1.731,2.881,3.9,21.568,2.701
2024-25,Male,First Nations,33.897,14.223,68.151,39.98,33.824,12.351,74.447,63.062,44.373
2024-25,Male,Non-Indigenous,1.526,1.809,2.568,1.716,1.765,3.162,6.211,2.416,1.958
2024-25,Male,Total,3.967,2.073,8.292,4.338,3.52,4.191,8.573,27.629,4.757
2024-25,Female,First Nations,2.875,1.802,11.991,3.281,8.329,2.915,23.708,5.226,6.068
2024-25,Female,Non-Indigenous,0.148,0.051,0.455,0.266,0.267,0.754,0.538,—,0.225
2024-25,Female,Total,0.354,0.088,1.481,0.477,0.701,0.999,1.227,2.168,0.612
2024-25,Total,First Nations,18.927,8.114,40.65,21.924,21.393,7.765,51.855,35.12,25.73
2024-25,Total,Non-Indigenous,0.858,0.953,1.543,1.012,1.035,1.999,3.465,1.254,1.116
2024-25,Total,Total,2.216,1.106,4.984,2.46,2.147,2.649,5.026,15.364,2.744
