year,supervision_history,first_nations,non_indigenous,not_stated,total
2020-21,First year of supervision,649,1011,46,1706
2020-21,Previously supervised,1349,1222,10,2581
2020-21,Total,1998,2233,56,4287
2021-22,First year of supervision,920,824,23,1767
2021-22,Previously supervised,1446,1130,12,2588
2021-22,Total,2366,1954,35,4355
2022-23,First year of supervision,1063,939,47,2049
2022-23,Previously supervised,1567,992,9,2568
2022-23,Total,2630,1931,56,4617
2023-24,First year of supervision,979,905,36,1920
2023-24,Previously supervised,1692,957,6,2655
2023-24,Total,2671,1862,42,4575
2024-25,First year of supervision,1010,976,56,2042
2024-25,Previously supervised,1704,990,6,2700
2024-25,Total,2714,1966,62,4742
