sex,indigenous_status,10_11,12,13,14,15,16,17,18plus,total
Male,First Nations,116,231,405,477,404,275,203,13,2124
Male,Non-Indigenous,19,55,171,311,427,334,275,53,1645
Male,Not stated,—,2,3,8,13,10,14,1,51
Male,Total,135,288,579,796,844,619,492,67,3820
Female,First Nations,16,56,103,154,123,87,48,3,590
Female,Non-Indigenous,1,19,52,64,79,45,56,3,319
Female,Not stated,—,2,2,2,2,1,2,—,11
Female,Total,17,77,157,220,204,133,106,6,920
Not stated,First Nations,—,—,—,—,—,—,—,—,—
Not stated,Non-Indigenous,—,—,1,—,—,1,—,—,2
Not stated,Not stated,—,—,—,—,—,—,—,—,—
Not stated,Total,—,—,1,—,—,1,—,—,2
Total,First Nations,132,287,508,631,527,362,251,16,2714
Total,Non-Indigenous,20,74,224,375,506,380,331,56,1966
Total,Not stated,—,4,5,10,15,11,16,1,62
Total,Total,152,365,737,1016,1048,753,598,73,4742
