sex,remoteness_area,first_nations,non_indigenous,not_stated,total
Male,Major cities of Australia,151.2,243,1.9,396.1
Male,Inner regional Australia,92.2,47.7,0.3,140.2
Male,Outer regional Australia,119.9,11.6,0.4,131.8
Male,Remote Australia,37.7,0.4,—,38
Male,Very remote Australia,29.7,0.6,—,30.3
Female,Major cities of Australia,19.4,24.7,0.1,44.2
Female,Inner regional Australia,8.5,4.2,—,12.6
Female,Outer regional Australia,20.9,0.5,—,21.4
Female,Remote Australia,2.6,—,—,2.6
Female,Very remote Australia,0.5,—,—,0.5
Not stated,Major cities of Australia,—,—,—,—
Not stated,Inner regional Australia,—,—,—,—
Not stated,Outer regional Australia,—,—,—,—
Not stated,Remote Australia,—,—,—,—
Not stated,Very remote Australia,—,—,—,—
Total,Major cities of Australia,170.6,267.7,2,440.3
Total,Inner regional Australia,100.6,51.9,0.3,152.8
Total,Outer regional Australia,140.8,12,0.4,153.2
Total,Remote Australia,40.3,0.4,—,40.7
Total,Very remote Australia,30.2,0.6,—,30.8
Total,Total in detention,496.94,358.76,3.83,859.53
