sex,remoteness_area,first_nations,non_indigenous,not_stated,all
Male,Major cities of Australia,879,1281,29,2189
Male,Inner regional Australia,387,215,12,614
Male,Outer regional Australia,422,63,6,491
Male,Remote Australia,n.p.,n.p.,—,173
Male,Very remote Australia,n.p.,n.p.,—,216
Female,Major cities of Australia,321,252,5,577
Female,Inner regional Australia,77,43,1,121
Female,Outer regional Australia,122,8,1,131
Female,Remote Australia,n.p.,n.p.,—,33
Female,Very remote Australia,n.p.,n.p.,—,19
Not stated,Major cities of Australia,—,1,—,1
Not stated,Inner regional Australia,—,1,—,1
Not stated,Outer regional Australia,—,—,—,—
Not stated,Remote Australia,—,—,—,—
Not stated,Very remote Australia,—,—,—,—
Total,Major cities of Australia,1200,1534,34,2768
Total,Inner regional Australia,464,260,13,737
Total,Outer regional Australia,544,71,7,622
Total,Remote Australia,n.p.,n.p.,—,206
Total,Very remote Australia,n.p.,n.p.,—,235
Total,Total in detention,2714,1966,62,4742
