sex,year,10,11,12,13,14,15,16,17,10_17
Male,2020-21,0.418,2.329,6.476,20.363,46.315,80.269,99.939,130.636,46.34
Male,2021-22,0.478,1.549,7.017,18.69,45.362,71.182,101.868,116.247,43.87
Male,2022-23,0.707,2.901,8.327,22.295,46.647,71.57,91.407,115.757,44.171
Male,2023-24,0.601,1.437,7.14,22.562,43.487,76.268,89.852,104.705,43.314
Male,2024-25,—,1.59,7.319,22.022,47.247,75.694,88.315,108.276,44.056
Female,2020-21,—,0.316,2.351,8.576,18.335,28.42,28.734,30.021,14.046
Female,2021-22,—,0.44,3.836,8.294,17.483,25.425,27.042,25.787,13.19
Female,2022-23,0.312,0.437,3.801,9.977,18.014,27.175,26.332,25.596,13.764
Female,2023-24,—,0.444,3.212,9.56,21.102,25.669,29.692,25.371,14.441
Female,2024-25,—,—,2.744,9.052,18.573,27.728,26.914,27.376,14.154
Total,2020-21,0.215,1.35,4.473,14.647,32.76,55.2,65.493,81.78,30.677
Total,2021-22,0.276,1.009,5.471,13.644,31.85,49.057,65.779,72.516,29.008
Total,2022-23,0.515,1.732,6.125,16.368,32.749,50.082,60.009,72.128,29.443
Total,2023-24,0.402,0.955,5.229,16.236,32.665,51.757,60.739,66.415,29.334
Total,2024-25,0.153,0.909,5.126,15.712,33.295,52.435,58.578,69.19,29.569
