service_name,physical_address,physical_suburb,physical_state,physical_postcode,acpr_2018,care_type,residential_places,home_care_places,restorative_care_places,provider_name,organisation_type,abs_remoteness_category,mmm_2019_code,mmm_2019_category,sa2_2016_code,sa2_2016_name,sa3_2016_code,sa3_2016_name,lga_2023_name,lga_2023_code,phn_2017_code,phn_2017_name,latitude,longitude,funding_2024_25_aud
Helping Hand Aged Care - Ingle Farm,7 SHACKLETON Avenue,INGLE FARM,SA,5098,Metropolitan North,Residential,96,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41040,Ingle Farm,40204,Salisbury,Salisbury,47140,PHN401,Adelaide,-34.824091,138.656318999999,11395820.25
The Oaks Aged Care Facility,209 Ruwoldt Road,YAHL,SA,5291,South East,Residential,42,,,Goel Nominees Pty Ltd,Private Incorporated Body,Outer Regional Australia,3,MM3 - Large Rural Towns,41150,Grant,40702,Limestone Coast,Grant,42250,PHN402,Country SA,-37.8577149999999,140.841813999999,4743383.43
Calvary Kingswood,22 Harrow Terrace,KINGSWOOD,SA,5062,Metropolitan South,Residential,38,,,Calvary Aged Care Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41069,Mitcham (SA),40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-34.9683429999999,138.615123,4654253.35
Ira Parker Nursing Home,2 WAR MEMORIAL Drive,BALAKLAVA,SA,5461,"Yorke, Lower North & Barossa",Residential,22,,,Yorke and Northern Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41119,Wakefield - Barunga West,40502,Lower North,Wakefield,48130,PHN402,Country SA,-34.1401899999999,138.418903999999,2430948.91
Estia Health Kadina,8 Mine Street,KADINA,SA,5554,"Yorke, Lower North & Barossa",Residential,72,,,Estia Investments Pty Ltd,Private Incorporated Body,Outer Regional Australia,5,MM5 - Small Rural Towns,41124,Kadina,40504,Yorke Peninsula,Copper Coast,41560,PHN402,Country SA,-33.9585259999999,137.720145,9137348.62
Aldersgate Aged Care Services,160 OG Road,FELIXSTOW,SA,5070,Metropolitan East,Residential,115,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41018,Payneham - Felixstow,40105,Norwood - Payneham - St Peters,Norwood Payneham and St Peters,45290,PHN401,Adelaide,-34.891002,138.641079999999,13379599.18
Kara House,6 WEBB Street,CLARE,SA,5453,"Yorke, Lower North & Barossa",Residential,25,,,Yorke and Northern Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41116,Clare,40502,Lower North,Clare and Gilbert Valleys,41140,PHN402,Country SA,-33.8297,138.613371999999,2590536.94
Murray Mudge,7 Raymond Grove,GLENELG,SA,5045,Metropolitan South,Residential,76,,,Uniting Communities Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41057,Glenelg (SA),40301,Holdfast Bay,Holdfast Bay,42600,PHN401,Adelaide,-34.982601,138.513805999999,8621175.07
Bene Aged Care - The Italian Village,6 Mumford Avenue,ST AGNES,SA,5097,Metropolitan North,Residential,163,,,Italian Benevolent Foundation SA Inc,Community Based,Major Cities of Australia,1,MM1 - Metropolitan Areas,41055,St Agnes - Ridgehaven,40205,Tea Tree Gully,Tea Tree Gully,47700,PHN401,Adelaide,-34.834527,138.714124999999,18969977.12
Mary Cecelia Hart Court Hostel,82 Williams Road,MILLICENT,SA,5280,South East,Residential,90,,,Boneham Aged Care Services Incorporated,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41152,Millicent,40702,Limestone Coast,Wattle Range,48340,PHN402,Country SA,-37.598311,140.35131,10784098.09
Charla Lodge,23 South Terrace,BORDERTOWN,SA,5268,South East,Residential,43,,,Limestone Coast Local Health Network Incorporated,State Government,Outer Regional Australia,5,MM5 - Small Rural Towns,41157,Tatiara,40702,Limestone Coast,Tatiara,47630,PHN402,Country SA,-36.312617,140.769709,4675492.63
Star Of The Sea Home For The Aged,15 Elizabeth Street,WALLAROO,SA,5556,"Yorke, Lower North & Barossa",Residential,21,,,The Catholic Diocese of Port Pirie Inc,Religious,Outer Regional Australia,5,MM5 - Small Rural Towns,41126,Wallaroo,40504,Yorke Peninsula,Copper Coast,41560,PHN402,Country SA,-33.931587,137.630411,2140027.13
Magill Manor,43 Fisher Street,MAGILL,SA,5072,Metropolitan East,Residential,96,,,Clayton Church Homes Inc,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41016,Rostrevor - Magill,40104,Campbelltown (SA),Campbelltown (SA),40910,PHN401,Adelaide,-34.899186,138.669319,10447271.11
Bolton Clarke Charles Young,53 Austral Terrace,MORPHETTVILLE,SA,5043,Metropolitan South,Residential,173,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41062,Morphettville,40302,Marion,Marion,44060,PHN401,Adelaide,-34.983691,138.54561,17949904.8
Edenfield Family Care - Ramsay,77 Seaview Road,PORT AUGUSTA,SA,5700,Flinders & Far North,Residential,62,,,El-Jasbella Ramsay Pty Ltd,Private Incorporated Body,Outer Regional Australia,4,MM4 - Medium Rural Towns,41142,Port Augusta,40602,Outback - North and East,Port Augusta,46090,PHN402,Country SA,-32.499665,137.781117999999,7571509.18
Bolton Clarke Holly,16-24 Penneys Hill Road,HACKHAM,SA,5163,Metropolitan South,Residential,145,,,RSL Care RDNS Limited,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41078,Hackham - Onkaparinga Hills,40304,Onkaparinga,Onkaparinga,45340,PHN401,Adelaide,-35.1476449999999,138.527309,15971135.01
Eudunda Senior Citizens Hostel,40 Ward Street,EUDUNDA,SA,5374,"Yorke, Lower North & Barossa",Residential,31,,,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41118,Goyder,40502,Lower North,Goyder,42110,PHN402,Country SA,-34.1754669999999,139.089841,3733542.92
Eyre Peninsula Old Folks Home,26-30 Flinders Highway,PORT LINCOLN,SA,5606,Eyre Peninsula,Residential,74,,,Eyre Peninsula Old Folks Home Inc,Community Based,Remote Australia,6,MM6 - Remote Communities,41133,Port Lincoln,40601,Eyre Peninsula and South West,Port Lincoln,46300,PHN402,Country SA,-34.7147879999999,135.837390999999,8149156.18
Lutheran Homes Group Fullarton,14 Frew Street,FULLARTON,SA,5063,Metropolitan East,Residential,164,,,Lutheran Homes Group Incorporated,Religious,Major Cities of Australia,1,MM1 - Metropolitan Areas,41024,Unley - Parkside,40107,Unley,Unley,47980,PHN401,Adelaide,-34.955955,138.628964999999,17501911.85
Walara Gilbert Valley,20 Masters Street,RIVERTON,SA,5412,"Yorke, Lower North & Barossa",Residential,33,,,WALARA INCORPORATED,Community Based,Inner Regional Australia,5,MM5 - Small Rural Towns,41117,Gilbert Valley,40502,Lower North,Clare and Gilbert Valleys,41140,PHN402,Country SA,-34.158456,138.743427999999,3032084.2
Walara Hamley Bridge,19 Albert Street,HAMLEY BRIDGE,SA,5401,"Yorke, Lower North & Barossa",Residential,52,,,WALARA INCORPORATED,Community Based,Inner Regional Australia,5,MM5 - Small Rural Towns,41119,Wakefield - Barunga West,40502,Lower North,Wakefield,48130,PHN402,Country SA,-34.3587899999999,138.677017,6599054.28
Helping Hand Aged Care - Rotary House,49 Buxton Street,NORTH ADELAIDE,SA,5006,Metropolitan East,Residential,87,,,Helping Hand Aged Care Inc,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41002,North Adelaide,40101,Adelaide City,Adelaide,40070,PHN401,Adelaide,-34.906635,138.589070999999,7441122.24
Jallarah Homes,10 South Terrace,MENINGIE,SA,5264,"Hills, Mallee & Southern",Residential,30,,,Jallarah Homes Inc,Community Based,Outer Regional Australia,5,MM5 - Small Rural Towns,41169,The Coorong,40703,Murray and Mallee,Coorong,47800,PHN402,Country SA,-35.69268,139.334700999999,3916639.75
Kalyra Belair Aged Care,2 Kalyra Road,BELAIR,SA,5052,Metropolitan South,Residential,92,,,James Brown Memorial Trust,Charitable,Major Cities of Australia,1,MM1 - Metropolitan Areas,41065,Belair,40303,Mitcham,Mitcham,44340,PHN401,Adelaide,-35.0017539999999,138.612188,9612468.44
Belalie Lodge,1-7 Cumnock Street,JAMESTOWN,SA,5491,Mid North,Residential,41,,,Helping Hand Aged Care Inc,Charitable,Outer Regional Australia,5,MM5 - Small Rural Towns,41120,Jamestown,40503,Mid North,Northern Areas,45120,PHN402,Country SA,-33.203887,138.602767999999,4497933.05
Kapunda Homes,32 NASH Street,KAPUNDA,SA,5373,"Yorke, Lower North & Barossa",Residential,26,,,Barossa Hills Fleurieu Local Health Network Incorporated,State Government,Inner Regional Australia,5,MM5 - Small Rural Towns,41111,Light,40501,Barossa,Light,43650,PHN402,Country SA,-34.331997,138.922800999999,3198720.65
Restvale Hostel,8 Woodside Road,LOBETHAL,SA,5241,"Hills, Mallee & Southern",Residential,38,,,Lobethal and District Aged Homes Inc,Community Based,Inner Regional Australia,5,MM5 - Small Rural Towns,41006,Lobethal - Woodside,40102,Adelaide Hills,Adelaide Hills,40120,PHN402,Country SA,-34.908883,138.87447,3898852.43
Walara Balaklava Millcourt,7 Railway Terrace,BALAKLAVA,SA,5461,"Yorke, Lower North & Barossa",Residential,40,,,WALARA INCORPORATED,Community Based,Inner Regional Australia,5,MM5 - Small Rural Towns,41119,Wakefield - Barunga West,40502,Lower North,Wakefield,48130,PHN402,Country SA,-34.145017,138.414062999999,4832659.27
