financial_year,category,category_value,new_boat_registrations,new_boat_registrations_pct,boats_currently_registered,boats_currently_registered_pct
2015-16,Hull Type,AIR BOAT,1,0.000346380325,1,1.81313799793302e-05
2015-16,Hull Type,AMPHIBIOUS VEHICLE,,,1,1.81313799793302e-05
2015-16,Hull Type,CABIN CRUISER,88,0.030481468652,2150,0.038982466955
2015-16,Hull Type,CANOE/KAYAK,16,0.005542085209,32,0.000580204159
2015-16,Hull Type,CATAMARAN/TRIMARAN,26,0.009005888465,230,0.004170217395
2015-16,Hull Type,CENTRE CONSOLE,6,0.002078281953,35,0.000634598299
2015-16,Hull Type,COMMERCIAL FISH BOAT,,,1,1.81313799793302e-05
2015-16,Hull Type,CUDDY CABIN,152,0.05264980949,1070,0.019400576577
2015-16,Hull Type,HALF CABIN,254,0.087980602701,11221,0.203452214748
2015-16,Hull Type,HOUSEBOAT,21,0.007273986837,726,0.013163381864
2015-16,Hull Type,HOVERCRAFT,2,0.000692760651,10,0.000181313799
2015-16,Hull Type,HYDROPLANE,,,16,0.000290102079
2015-16,Hull Type,INFLATABLE,94,0.032559750606,660,0.011966710786
2015-16,Hull Type,OPEN BOAT,793,0.274679598198,15872,0.287781263031
2015-16,Hull Type,OTHER,25,0.008659508139,508,0.009210741029
2015-16,Hull Type,PONTOON,3,0.001039140976,10,0.000181313799
2015-16,Hull Type,PWC,435,0.150675441634,2400,0.04351531195
2015-16,Hull Type,RACING BOAT,2,0.000692760651,4,7.25255199173209e-05
2015-16,Hull Type,RAFT/PUNT,21,0.007273986837,388,0.007034975431
2015-16,Hull Type,RUNABOUT,574,0.198822306892,13174,0.238862799847
2015-16,Hull Type,SAILING VESSEL,77,0.026671285071,1823,0.033053505702
2015-16,Hull Type,SKI BOAT,297,0.102874956702,4662,0.084528493463
2015-16,Hull Type,TRADITIONAL RIVERBOAT,,,159,0.002882889416
2015-16,Hull Type,Totals,2887,1,55153,1
2015-16,Hull Type,RBA011,,,Page:1,
2015-16,Hull Make,ACHILLES,4,0.001385521302,105,0.001903794897
2015-16,Hull Make,ADAMS,1,0.000346380325,19,0.000344496219
2015-16,Hull Make,ADELAIDE SKIBOAT,,,2,3.62627599586605e-05
2015-16,Hull Make,ADVENTURE,,,5,9.06568998966511e-05
2015-16,Hull Make,ALBO 4 SEASONS,,,38,0.000688992439
2015-16,Hull Make,ALLISON CRAFT,2,0.000692760651,184,0.003336173916
2015-16,Hull Make,ALLY CRAFT,12,0.004156563907,405,0.007343208891
2015-16,Hull Make,ALOCRAFT,6,0.002078281953,275,0.004986129494
2015-16,Hull Make,ALUFARM,,,84,0.001523035918
2015-16,Hull Make,ANCRAFT,,,10,0.000181313799
2015-16,Hull Make,ANGLAPRO,7,0.002424662279,39,0.000707123819
2015-16,Hull Make,APACHE,1,0.000346380325,1,1.81313799793302e-05
2015-16,Hull Make,APOLLO,,,5,9.06568998966511e-05
2015-16,Hull Make,AQUAPRO,1,0.000346380325,33,0.000598335539
2015-16,Hull Make,ARANCIA,1,0.000346380325,8,0.000145051039
2015-16,Hull Make,ARTHUR ROBB DESIGN,,,1,1.81313799793302e-05
2015-16,Hull Make,AUSTRAL,,,75,0.001359853498
