,,,,,,,,,,,
,,,,Trumps,,Published Date : 03/07/2025,,,,,
,,,,Licence Distribution Statistcs,,,,,,,
,,,, Analysis Of Licence Issues by Year and Gender,,,,,,,
,,,,,,,,,,,
Report Run for Date : 02/07/2025,,,,,,,,,,,
,,,,,,,,,,,
Issue Year,Year Sub - Total,Female,% of Year,,Male,,,% of Year,Unknown,% of Year,
1975,"2,805",201,7.17%,,"2,604",,,92.83%,0,0.00%,
1976,"25,474","2,369",9.30%,,"23,105",,,90.70%,0,0.00%,
1977,"9,930","1,164",11.72%,,"8,766",,,88.28%,0,0.00%,
1978,"7,544",887,11.76%,,"6,657",,,88.24%,0,0.00%,
1979,"7,715",930,12.05%,,"6,783",,,87.92%,2,0.03%,
1980,"6,724",758,11.27%,,"5,966",,,88.73%,0,0.00%,
1981,"6,485",745,11.49%,,"5,740",,,88.51%,0,0.00%,
1982,"6,741",836,12.40%,,"5,905",,,87.60%,0,0.00%,
1983,"6,371",822,12.90%,,"5,549",,,87.10%,0,0.00%,
1984,"6,585",934,14.18%,,"5,651",,,85.82%,0,0.00%,
1985,"6,735",934,13.87%,,"5,801",,,86.13%,0,0.00%,
1986,"6,689",953,14.25%,,"5,735",,,85.74%,1,0.01%,
1987,"7,169","1,080",15.06%,,"6,089",,,84.94%,0,0.00%,
1988,"6,359","1,093",17.19%,,"5,266",,,82.81%,0,0.00%,
1989,"18,160","2,365",13.02%,,"15,795",,,86.98%,0,0.00%,
1990,"6,295","1,153",18.32%,,"5,142",,,81.68%,0,0.00%,
1991,"7,067","1,338",18.93%,,"5,729",,,81.07%,0,0.00%,
1992,"6,597","1,239",18.78%,,"5,358",,,81.22%,0,0.00%,
1993,"6,402","1,204",18.81%,,"5,198",,,81.19%,0,0.00%,
1994,"6,795","1,399",20.59%,,"5,396",,,79.41%,0,0.00%,
1995,"6,907","1,450",20.99%,,"5,457",,,79.01%,0,0.00%,
1996,"6,429","1,343",20.89%,,"5,086",,,79.11%,0,0.00%,
1997,"7,090","1,569",22.13%,,"5,521",,,77.87%,0,0.00%,
1998,"7,357","1,637",22.25%,,"5,720",,,77.75%,0,0.00%,
1999,"6,532","1,408",21.56%,,"5,124",,,78.44%,0,0.00%,
2000,"6,286","1,287",20.47%,,"4,999",,,79.53%,0,0.00%,
2001,"5,625","1,147",20.39%,,"4,478",,,79.61%,0,0.00%,
2002,"6,461","1,437",22.24%,,"5,024",,,77.76%,0,0.00%,
2003,"8,361","2,013",24.08%,,"6,347",,,75.91%,1,0.01%,
2004,"6,317","1,495",23.67%,,"4,821",,,76.32%,1,0.02%,
2005,"6,231","1,488",23.88%,,"4,743",,,76.12%,0,0.00%,
2006,"5,364","1,207",22.50%,,"4,157",,,77.50%,0,0.00%,
2007,"5,165","1,245",24.10%,,"3,920",,,75.90%,0,0.00%,
2008,"6,223","1,419",22.80%,,"4,804",,,77.20%,0,0.00%,
2009,"6,009","1,350",22.47%,,"4,659",,,77.53%,0,0.00%,
2010,"5,810","1,409",24.25%,,"4,401",,,75.75%,0,0.00%,
2011,"7,059","1,655",23.45%,,"5,404",,,76.55%,0,0.00%,
2012,"7,251","1,783",24.59%,,"5,466",,,75.38%,2,0.03%,
2013,"6,987","1,785",25.55%,,"5,202",,,74.45%,0,0.00%,
2014,"6,692","1,757",26.26%,,"4,935",,,73.74%,0,0.00%,
2015,"6,518","1,800",27.62%,,"4,717",,,72.37%,1,0.02%,
2016,"5,956","1,684",28.27%,,"4,272",,,71.73%,0,0.00%,
2017,"6,482","1,797",27.72%,,"4,683",,,72.25%,2,0.03%,
2018,"6,797","1,938",28.51%,,"4,855",,,71.43%,4,0.06%,
2019,"5,545","1,512",27.27%,,"4,031",,,72.70%,2,0.04%,
2020,"6,037","1,653",27.38%,,"4,380",,,72.55%,4,0.07%,
2021,"7,547","2,167",28.71%,,"5,377",,,71.25%,3,0.04%,
2022,"6,462","1,822",28.20%,,"4,637",,,71.76%,3,0.05%,
2023,"5,860","1,649",28.14%,,"4,206",,,71.77%,5,0.09%,
2024,"6,600","1,836",27.82%,,"4,755",,,72.05%,9,0.14%,
2025,"3,459","1,030",29.78%,,"2,427",,,70.16%,2,0.06%,
Report Totals,"362,061","71,176",19.66%,,"290,843",,,80.33%,42,0.01%,
RBA014,,,,,,,Page:1,,,,
