Supreme Court at a glance,2020-21,2021-22,2022-23,2023-24,2024-25
Justices,12.5,13,13,13,13
Associate Justices,2,2,2,2,2
Staff,33.3,33.7,34.9,33.9,32.1
Total civil lodgements **,1169,1471,1366,1640,1464
Land and Valuation Division lodgements^,32,4,0,3,0
Single Judge appeals instituted^,61,109,39,43,59
Court of Appeal - civil appeals instituted * ^,61,10,66,57,49
Probate Grant of Representation lodgements,7227,7708,8555,8499,8661
Criminal lodgements (including circuit)***,326,340,340,334,352
Court of Appeal - criminal appeals instituted*,138,148,113,141,142
Single Judge Criminal Appeals ^^,71,56,47,57,56
* Replaced Full Court appeals & Court of Criminal Appeal from 1 January 2021,,,,,
** Includes matters not recorded in the annual Commonwealth Productivity Commission Report on Government Services,,,,,
"*** Total criminal lodgements include committals, bail reviews, transferred files, applications for the fixing of non-parole periods and miscellaneous applications (in Adelaide or on circuit)",,,,,
^ Included in total civil lodgements,,,,,
^^ Single Judge Criminal Appeals jurisdiction commenced 18/5/2020,,,,,
,,,,,
,,,,,
District Court at a glance,2020-21,2021-22,2022-23,2023-24,2024-25
"Judges (Also designated as Judges of Environment, Resources and Development Court)",20,22``,22``,22``,22``
Associate Judges,2,2,2,2,2
Staff,48.4,48.8,57.7,58.9,60.1
Civil lodgements *^,1084,898,915,1110,1010
Criminal Injuries lodgements*,63,69,126,125,80
Administrative and Disciplinary lodgements*^~,4,3,7,5,1
Lodgements (other courts and tribunals)*,37,41,30,14,22
Minor civil claims reviews*,47,35,25,38,26
Total civil lodgements,1235,1046,1103,1292,1139
Criminal lodgements **^,2192,2073,1972,1842,1779
Number of criminal circuit lodgements^,122,133,100,51,108
* Included in total civil lodgements,,,,,
** Includes matters heard on circuit,,,,,
^ Includes matters not recorded in the annual Commonwealth Productivity Commission Report on Government Services,,,,,
"~ Administrative and Disciplinary Division figures appear separately, to differentiate from the other courts and tribunals serviced by the Civil Registry",,,,,
"`` As District Court Judges may be designated Judges of the Environment, Resources and Development Court, from 2021-22 Judges will be represented as a total number within the District Court.",,,,,
,,,,,
Magistrates Court at a glance,2020-21,2021-22,2022-23,2023-24,2024-25
Magistrates *,35.2,34.6,34.6,34.6,34.6
Judicial Registrar,1,1,1,1,1
Staff,87.9,82.8,79.5,81.5,83
Civil lodgements  (Counter)^ ,1546,1404,1375,1448,1699
Civil lodgements  (CourtSA Portal)^ ,8686,10383,10476,8999,9859
Total civil lodgements^ ,10233**,11787,11851,10447,11558
Civil defences lodged,1508,1266,1292,1242,1183
Civil enforcement process,12719,13727,14677,12462,11930
Criminal general lodgements,51595,47255,47167,46628,51879
Criminal hearings by magistrates,242260,211491,213413,226183,241215
* Includes part-time Magistrates,,,,,
** Reduction attributed to COVID-19 moratorium on debt recoveries,,,,,
^ Included in total civil lodgements,,,,,
,,,,,
"Environment, Resources and Development Court at a glance",2020-21,2021-22,2022-23,2023-24,2024-25
Judges,2,0'',0'',0'',0''
Commissioners,3.2,3.2,3.2,3.2,3.2
Sessional Commissioners,14,13,12,9,7
Staff,4.5,3.9,3.8,3.7,1.7
Appeals,154,125,124,104,121
Enforcement applications,19,23,20,33,28
Prosecutions^,29,20,31,13,36
Section 86(1)(F) Development Act applications for review,15,12,7,2,2
Other categories*,10,15,13,7,15
Total lodged**,227,195,195,159,202
"* Includes native title applications, Warden’s Court appeals, Contempt plus miscellaneous applications lodged pursuant to the Development Act 1993.",,,,,
** Includes Prosecutions,,,,,
^ Prosecutions counted by defendant,,,,,
