Financial Quarter And Year Name - Reported,Postcode - Incident,Offence Level 1 Description,Offence Level 2 Description,Offence Level 3 Description,Offence Count
Q1-2025/2026,0870,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
Q1-2025/2026,0872,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Arson,1
Q1-2025/2026,0872,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,11
Q1-2025/2026,0872,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
Q1-2025/2026,0872,OFFENCES AGAINST THE PERSON,ASSAULT,Assault of a police officer,2
Q1-2025/2026,0872,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,3
Q1-2025/2026,0872,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,56
Q1-2025/2026,0872,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",4
Q1-2025/2026,2207,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
Q1-2025/2026,2880,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
Q1-2025/2026,2880,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,3228,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,1
Q1-2025/2026,4129,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,4129,OFFENCES AGAINST THE PERSON,"ROBBERY, BLACKMAIL, AND EXTORTION",Blackmail or other extortion,1
Q1-2025/2026,5000,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Other fraud and related offences,1
Q1-2025/2026,5000,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Arson,1
Q1-2025/2026,5000,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,4
Q1-2025/2026,5000,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5000,OFFENCES AGAINST PROPERTY,THEFT,Motor vehicle theft and related offences,1
Q1-2025/2026,5000,OFFENCES AGAINST PROPERTY,THEFT,Receive or handle proceeds of crime,5
Q1-2025/2026,5000,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,2
Q1-2025/2026,5000,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,6
Q1-2025/2026,5000,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,76
Q1-2025/2026,5000,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",3
Q1-2025/2026,5006,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,2
Q1-2025/2026,5006,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,3
Q1-2025/2026,5007,OFFENCES AGAINST PROPERTY,FRAUD AND RELATED OFFENCES,Other fraud and related offences,1
Q1-2025/2026,5007,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,5
Q1-2025/2026,5007,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
Q1-2025/2026,5007,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
Q1-2025/2026,5007,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,19
Q1-2025/2026,5007,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
Q1-2025/2026,5007,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,Other acts that harm or endanger persons,2
Q1-2025/2026,5008,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,11
Q1-2025/2026,5008,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
Q1-2025/2026,5008,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,26
Q1-2025/2026,5009,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,1
Q1-2025/2026,5009,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,Other unlawful entry with intent,1
Q1-2025/2026,5009,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5009,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,13
Q1-2025/2026,5010,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,3
Q1-2025/2026,5010,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5010,OFFENCES AGAINST PROPERTY,THEFT,Theft from a person,1
Q1-2025/2026,5010,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
Q1-2025/2026,5010,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,14
Q1-2025/2026,5010,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",2
Q1-2025/2026,5011,OFFENCES AGAINST PROPERTY,PROPERTY DAMAGE,Damage or destroy property,5
Q1-2025/2026,5011,OFFENCES AGAINST PROPERTY,SERIOUS CRIMINAL TRESPASS,SCT - Residence,1
Q1-2025/2026,5011,OFFENCES AGAINST THE PERSON,ASSAULT,Common Assault,1
Q1-2025/2026,5011,OFFENCES AGAINST THE PERSON,ASSAULT,Serious Assault,18
Q1-2025/2026,5011,OFFENCES AGAINST THE PERSON,HARM OR ENDANGER PERSONS,"Acts that threaten, harass, or control",1
