financial_year,location_type,time,season,offending_animal_leash_status,incident_type,victim_type,incident_count
2021/22,Beach,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,1
2024/25,Beach,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,1
2019/20,Beach,5 pm to 8 pm,Autumn,No Leash,Attack,Human,1
2019/20,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Animal,1
2023/24,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Animal,1
2020/21,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Human,1
2019/20,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Unknown,2
2018/19,Beach,5 pm to 8 pm,Autumn,On a Leash,Attack,Animal,1
2020/21,Beach,5 pm to 8 pm,Autumn,On a Leash,Attack,Unknown,1
2024/25,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Animal,1
2018/19,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Human,1
2021/22,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Human,1
2024/25,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Unknown,2
2020/21,Beach,5 pm to 8 pm,Spring,No Leash,Attack,Animal,1
2020/21,Beach,5 pm to 8 pm,Spring,No Leash,Attack,Human,1
2022/23,Beach,5 pm to 8 pm,Spring,No Leash,Attack,Human,1
2023/24,Beach,5 pm to 8 pm,Spring,No Leash,Harassment,Human,1
2019/20,Beach,5 pm to 8 pm,Spring,On a Leash,Attack,Animal,1
2022/23,Beach,5 pm to 8 pm,Spring,On a Leash,Attack,Human,1
2021/22,Beach,5 pm to 8 pm,Spring,On a Leash,Harassment,Unknown,2
2019/20,Beach,5 pm to 8 pm,Spring,Unknown,Attack,Animal,1
2023/24,Beach,5 pm to 8 pm,Spring,Unknown,Attack,Animal,1
2024/25,Beach,5 pm to 8 pm,Spring,Unknown,Attack,Human,1
2021/22,Beach,5 pm to 8 pm,Spring,Unknown,Harassment,Unknown,2
2021/22,Beach,5 pm to 8 pm,Summer,No Leash,Attack,Animal,1
2023/24,Beach,5 pm to 8 pm,Summer,No Leash,Attack,Human,1
2022/23,Beach,5 pm to 8 pm,Summer,No Leash,Harassment,Unknown,1
2022/23,Beach,5 pm to 8 pm,Summer,On a Leash,Attack,Animal,1
2021/22,Beach,5 pm to 8 pm,Summer,On a Leash,Attack,Human,1
2021/22,Beach,5 pm to 8 pm,Summer,On a Leash,Harassment,Human,1
2021/22,Beach,5 pm to 8 pm,Summer,Unknown,Attack,Animal,1
2024/25,Beach,5 pm to 8 pm,Summer,Unknown,Attack,Unknown,1
2020/21,Beach,5 pm to 8 pm,Summer,Unknown,Harassment,Human,1
2023/24,Beach,5 pm to 8 pm,Summer,Unknown,Harassment,Human,1
2022/23,Beach,5 pm to 8 pm,Winter,Unknown,Attack,Unknown,1
2019/20,Beach,6 am to 9 am,Autumn,No Leash,Attack,Animal,2
bef 30 Jun 2018,Beach,6 am to 9 am,Autumn,No Leash,Attack,Animal,1
2020/21,Beach,6 am to 9 am,Autumn,No Leash,Attack,Unknown,1
2022/23,Beach,6 am to 9 am,Autumn,No Leash,Attack,Unknown,1
2023/24,Beach,6 am to 9 am,Autumn,No Leash,Harassment,Animal,1
2024/25,Beach,6 am to 9 am,Autumn,No Leash,Harassment,Human,1
2020/21,Beach,6 am to 9 am,Autumn,Unknown,Attack,Animal,1
2022/23,Beach,6 am to 9 am,Autumn,Unknown,Attack,Animal,1
2020/21,Beach,6 am to 9 am,Autumn,Unknown,Attack,Human,1
2021/22,Beach,6 am to 9 am,Autumn,Unknown,Attack,Human,1
2024/25,Beach,6 am to 9 am,Autumn,Unknown,Attack,Human,1
2023/24,Beach,6 am to 9 am,Autumn,Unknown,Attack,Unknown,1
2024/25,Beach,6 am to 9 am,Autumn,Unknown,Harassment,Animal,1
2023/24,Beach,6 am to 9 am,Autumn,Unknown,Harassment,Human,1
2024/25,Beach,6 am to 9 am,Autumn,Unknown,Harassment,Human,1
2018/19,Beach,6 am to 9 am,Spring,No Leash,Attack,Animal,1
2022/23,Beach,6 am to 9 am,Spring,No Leash,Attack,Animal,1
2024/25,Beach,6 am to 9 am,Spring,No Leash,Attack,Animal,1
2021/22,Beach,6 am to 9 am,Spring,No Leash,Attack,Unknown,1
2024/25,Beach,6 am to 9 am,Spring,On a Leash,Attack,Both,1
2022/23,Beach,6 am to 9 am,Spring,On a Leash,Harassment,Animal,1
2018/19,Beach,6 am to 9 am,Spring,Unknown,Attack,Animal,1
