edition,extract_date,species,primary_breed,secondary_breed,count
2021-22,2022-05-30,Dog,Australian Kelpie,Australian Kelpie,17524
2021-22,2022-05-30,Dog,Border Collie,Border Collie,15461
2021-22,2022-05-30,Dog,Labrador Retriever,Labrador Retriever,13794
2021-22,2022-05-30,Dog,Maltese,Cross Breed,11169
2021-22,2022-05-30,Dog,Staffordshire Bull Terrier,Staffordshire Bull Terrier,10956
2021-22,2022-05-30,Dog,Jack Russell Terrier,Jack Russell Terrier,9530
2021-22,2022-05-30,Dog,American Staffordshire Terrier,American Staffordshire Terrier,8350
2021-22,2022-05-30,Dog,Maltese,Shih Tzu,7812
2021-22,2022-05-30,Dog,German Shepherd Dog,German Shepherd Dog,7501
2021-22,2022-05-30,Dog,Golden Retriever,Golden Retriever,7092
2021-22,2022-05-30,Dog,Australian Cattle Dog,Australian Cattle Dog,6356
2021-22,2022-05-30,Dog,Staffordshire Bull Terrier,Cross Breed,6034
2021-22,2022-05-30,Dog,Maltese,Maltese,5926
2021-22,2022-05-30,Dog,Australian Kelpie,Cross Breed,5402
2021-22,2022-05-30,Dog,Greyhound,Greyhound,4951
2021-22,2022-05-30,Dog,Cavalier King Charles Spaniel,Cavalier King Charles Spaniel,4602
2021-22,2022-05-30,Dog,Poodle (Toy),Poodle (Toy),3696
2021-22,2022-05-30,Dog,Siberian Husky,Siberian Husky,3295
2021-22,2022-05-30,Dog,Cocker Spaniel,Cocker Spaniel,3275
2021-22,2022-05-30,Dog,Jack Russell Terrier,Cross Breed,3239
2021-22,2022-05-30,Dog,Rottweiler,Rottweiler,3233
2021-22,2022-05-30,Dog,Beagle,Beagle,2934
2021-22,2022-05-30,Dog,Chihuahua,Chihuahua,2856
2021-22,2022-05-30,Dog,Pug,Pug,2845
2021-22,2022-05-30,Dog,Schnauzer (Miniature),Schnauzer (Miniature),2664
2021-22,2022-05-30,Dog,French Bulldog,French Bulldog,2605
2021-22,2022-05-30,Dog,Labrador Retriever,Cross Breed,2484
2021-22,2022-05-30,Dog,Cavalier King Charles Spaniel,Poodle (Toy),2368
2021-22,2022-05-30,Dog,Cavalier King Charles Spaniel,Poodle (Miniature),2354
2021-22,2022-05-30,Dog,Australian Kelpie,Border Collie,2322
2021-22,2022-05-30,Dog,Cross Breed,Cross Breed,2277
2021-22,2022-05-30,Dog,Border Collie,Cross Breed,2261
2021-22,2022-05-30,Dog,Boxer,Boxer,2100
