edition,extract_date,species,name,count
2021-22,2022-05-30,Dog,BELLA,7528
2021-22,2022-05-30,Dog,CHARLIE,5106
2021-22,2022-05-30,Dog,MOLLY,4866
2021-22,2022-05-30,Dog,MAX,4642
2021-22,2022-05-30,Dog,RUBY,4418
2021-22,2022-05-30,Dog,BUDDY,4299
2021-22,2022-05-30,Dog,LUCY,3091
2021-22,2022-05-30,Dog,DAISY,3046
2021-22,2022-05-30,Dog,COCO,2892
2021-22,2022-05-30,Dog,JACK,2710
2021-22,2022-05-30,Dog,COOPER,2660
2021-22,2022-05-30,Dog,ROXY,2625
2021-22,2022-05-30,Dog,ROSIE,2498
2021-22,2022-05-30,Dog,OLLIE,2487
2021-22,2022-05-30,Dog,MILLIE,2482
2021-22,2022-05-30,Dog,BAILEY,2430
2021-22,2022-05-30,Dog,OSCAR,2375
2021-22,2022-05-30,Dog,ARCHIE,2354
2021-22,2022-05-30,Dog,TOBY,2297
2021-22,2022-05-30,Dog,LUNA,2173
2021-22,2022-05-30,Dog,POPPY,2169
2021-22,2022-05-30,Dog,BONNIE,2167
2021-22,2022-05-30,Dog,MISSY,2117
2021-22,2022-05-30,Dog,MILO,1939
2021-22,2022-05-30,Dog,MAGGIE,1928
2021-22,2022-05-30,Dog,DIESEL,1843
2021-22,2022-05-30,Dog,MIA,1830
2021-22,2022-05-30,Dog,ROCKY,1770
2021-22,2022-05-30,Dog,TILLY,1728
2021-22,2022-05-30,Dog,RUSTY,1687
2021-22,2022-05-30,Dog,BEAR,1664
2021-22,2022-05-30,Dog,ALFIE,1574
2021-22,2022-05-30,Dog,LILLY,1557
2021-22,2022-05-30,Dog,WILLOW,1557
2021-22,2022-05-30,Dog,LOLA,1546
2021-22,2022-05-30,Dog,MARLEY,1515
2021-22,2022-05-30,Dog,JESSIE,1467
2021-22,2022-05-30,Dog,TEDDY,1465
2021-22,2022-05-30,Dog,SASHA,1465
2021-22,2022-05-30,Dog,HARRY,1454
2021-22,2022-05-30,Dog,LILY,1453
2021-22,2022-05-30,Dog,BUSTER,1424
2021-22,2022-05-30,Dog,HOLLY,1412
2021-22,2022-05-30,Dog,FRANKIE,1389
2021-22,2022-05-30,Dog,HARLEY,1383
2021-22,2022-05-30,Dog,CHLOE,1374
2021-22,2022-05-30,Dog,ELLIE,1338
2021-22,2022-05-30,Dog,SHADOW,1266
2021-22,2022-05-30,Dog,ZOE,1266
2021-22,2022-05-30,Dog,JASPER,1258
2021-22,2022-05-30,Dog,PIPPA,1245
2021-22,2022-05-30,Dog,NALA,1240
2021-22,2022-05-30,Dog,MONTY,1188
2021-22,2022-05-30,Dog,BILLY,1182
2021-22,2022-05-30,Dog,PENNY,1175
2021-22,2022-05-30,Dog,MURPHY,1175
2021-22,2022-05-30,Dog,LEO,1169
2021-22,2022-05-30,Dog,MILLY,1160
2021-22,2022-05-30,Dog,PEPPER,1155
2021-22,2022-05-30,Dog,STELLA,1141
2021-22,2022-05-30,Dog,BENJI,1129
2021-22,2022-05-30,Dog,REX,1120
2021-22,2022-05-30,Dog,ZEUS,1119
2021-22,2022-05-30,Dog,HONEY,1113
2021-22,2022-05-30,Dog,SAM,1086
2021-22,2022-05-30,Dog,LULU,1075
2021-22,2022-05-30,Dog,SOPHIE,1050
2021-22,2022-05-30,Dog,ZIGGY,1043
2021-22,2022-05-30,Dog,LEXI,1036
2021-22,2022-05-30,Dog,KODA,1015
2021-22,2022-05-30,Dog,HUGO,999
2021-22,2022-05-30,Dog,WINSTON,992
2021-22,2022-05-30,Dog,GEORGE,971
2021-22,2022-05-30,Dog,DEXTER,968
2021-22,2022-05-30,Dog,GYPSY,937
2021-22,2022-05-30,Dog,LUCKY,934
2021-22,2022-05-30,Dog,JESS,931
2021-22,2022-05-30,Dog,DUSTY,928
2021-22,2022-05-30,Dog,ELLA,926
2021-22,2022-05-30,Dog,CHESTER,918
2021-22,2022-05-30,Dog,DUKE,910
2021-22,2022-05-30,Dog,TESS,900
2021-22,2022-05-30,Dog,BANJO,878
2021-22,2022-05-30,Dog,EDDIE,854
2021-22,2022-05-30,Dog,GUS,846
2021-22,2022-05-30,Dog,LOUIE,845
2021-22,2022-05-30,Dog,BARNEY,839
2021-22,2022-05-30,Dog,BRUCE,830
2021-22,2022-05-30,Dog,BENTLEY,823
2021-22,2022-05-30,Dog,SALLY,815
2021-22,2022-05-30,Dog,BAXTER,814
2021-22,2022-05-30,Dog,HARVEY,809
2021-22,2022-05-30,Dog,WINNIE,790
2021-22,2022-05-30,Dog,BILLIE,778
2021-22,2022-05-30,Dog,JAX,777
2021-22,2022-05-30,Dog,BEAU,771
2021-22,2022-05-30,Dog,HENRY,757
2021-22,2022-05-30,Dog,ANGEL,748
2021-22,2022-05-30,Dog,PATCH,739
2021-22,2022-05-30,Dog,CLEO,739
2021-22,2022-05-30,Cat,LUNA,984
2021-22,2022-05-30,Cat,BELLA,599
2021-22,2022-05-30,Cat,CHARLIE,576
