edition,extract_date,council,gender,age_category,num_of_dogs,num_of_cats,count
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,>70,0,1,8
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,>70,0,2,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,>70,1,0,95
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,>70,1,1,2
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,>70,2,0,17
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,16-20,0,1,6
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,16-20,0,2,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,16-20,1,0,5
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,21-25,0,1,49
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,21-25,0,2,7
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,21-25,1,0,24
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,21-25,1,1,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,21-25,2,0,3
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,26-30,0,1,58
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,26-30,0,2,6
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,26-30,0,3,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,26-30,0,5,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,26-30,1,0,39
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,26-30,1,1,1
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,26-30,2,0,2
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,31-35,0,1,19
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,31-35,0,2,8
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,31-35,1,0,47
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,31-35,1,1,2
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,31-35,1,2,2
2021-22,2022-05-30,ADELAIDE CITY COUNCIL,Female,31-35,2,0,4
