Employment Category,Role,fin_year,Headcount
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2014,33
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2015,40
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2016,42
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2017,42
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2018,41
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2019,32
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2020,34
Children's Services Act,Preschool directors,2014,10
Children's Services Act,Preschool directors,2015,8
Children's Services Act,Preschool directors,2016,7
Children's Services Act,Preschool directors,2017,7
Children's Services Act,Preschool directors,2018,9
Children's Services Act,Preschool directors,2019,9
Children's Services Act,Preschool directors,2020,10
Children's Services Act,Preschool teachers,2014,6
Children's Services Act,Preschool teachers,2015,10
Children's Services Act,Preschool teachers,2016,9
Children's Services Act,Preschool teachers,2017,8
Children's Services Act,Preschool teachers,2018,9
Children's Services Act,Preschool teachers,2019,11
Children's Services Act,Preschool teachers,2020,11
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2021,353
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2022,343
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2023,366
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2024,381
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2025,403
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2021,28
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2022,29
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2023,28
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2024,29
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2025,40
Education & Children's Services Act,Preschool directors,2021,10
Education & Children's Services Act,Preschool directors,2022,10
Education & Children's Services Act,Preschool directors,2023,9
Education & Children's Services Act,Preschool directors,2024,11
Education & Children's Services Act,Preschool directors,2025,10
Education & Children's Services Act,Preschool teachers,2021,16
Education & Children's Services Act,Preschool teachers,2022,10
Education & Children's Services Act,Preschool teachers,2023,12
Education & Children's Services Act,Preschool teachers,2024,7
Education & Children's Services Act,Preschool teachers,2025,13
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2021,20
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2022,23
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2023,23
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2024,34
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2025,35
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2021,183
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2022,187
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2023,184
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2024,207
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2025,225
Education & Children's Services Act,School teachers in SA Government Schools,2021,127
Education & Children's Services Act,School teachers in SA Government Schools,2022,134
Education & Children's Services Act,School teachers in SA Government Schools,2023,142
Education & Children's Services Act,School teachers in SA Government Schools,2024,133
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2014,299
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2015,300
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2016,341
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2017,340
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2018,347
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2019,344
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2020,336
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2014,17
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2015,16
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2016,14
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2017,17
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2018,22
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2019,25
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2020,19
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2014,115
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2015,117
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2016,136
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2017,153
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2018,157
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2019,171
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2020,164
Education Act,School teachers in SA Government Schools,2014,108
Education Act,School teachers in SA Government Schools,2015,115
Education Act,School teachers in SA Government Schools,2016,108
Education Act,School teachers in SA Government Schools,2017,130
Education Act,School teachers in SA Government Schools,2018,121
Education Act,School teachers in SA Government Schools,2019,124
Education Act,School teachers in SA Government Schools,2020,126
Education & Children's Services Act,School teachers in SA Government Schools,2025,147
Other,Bus drivers,2014,2
Other,Bus drivers,2015,2
Other,Bus drivers,2016,1
Other,Bus drivers,2017,2
Other,Bus drivers,2018,2
Other,Bus drivers,2019,3
