Age Group,Gender,fin_year,Headcount
<20,Female,2014,57
<20,Female,2015,66
<20,Female,2016,63
<20,Female,2017,62
<20,Female,2018,63
<20,Female,2019,83
<20,Female,2020,89
<20,Female,2021,93
<20,Female,2022,111
<20,Female,2023,167
<20,Female,2024,205
<20,Female,2025,254
20-24,Female,2014,968
20-24,Female,2015,1019
20-24,Female,2016,1025
20-24,Female,2017,1068
20-24,Female,2018,1188
20-24,Female,2019,1273
20-24,Female,2020,1272
20-24,Female,2021,1205
20-24,Female,2022,1121
20-24,Female,2023,1161
20-24,Female,2024,1310
20-24,Female,2025,1412
25-29,Female,2014,1911
25-29,Female,2015,2072
25-29,Female,2016,2222
25-29,Female,2017,2164
25-29,Female,2018,2298
25-29,Female,2019,2383
25-29,Female,2020,2448
25-29,Female,2021,2456
25-29,Female,2022,2459
25-29,Female,2023,2411
25-29,Female,2024,2384
25-29,Female,2025,2378
30-34,Female,2014,1914
30-34,Female,2015,2132
30-34,Female,2016,2227
30-34,Female,2017,2170
30-34,Female,2018,2290
30-34,Female,2019,2400
30-34,Female,2020,2407
30-34,Female,2021,2526
30-34,Female,2022,2615
30-34,Female,2023,2709
30-34,Female,2024,2770
30-34,Female,2025,2837
35-39,Female,2014,2188
35-39,Female,2015,2268
35-39,Female,2016,2369
35-39,Female,2017,2350
35-39,Female,2018,2539
35-39,Female,2019,2746
35-39,Female,2020,2780
35-39,Female,2021,2800
35-39,Female,2022,2797
35-39,Female,2023,2918
35-39,Female,2024,3082
35-39,Female,2025,3151
40-44,Female,2014,2828
40-44,Female,2015,2925
40-44,Female,2016,2916
40-44,Female,2017,2742
40-44,Female,2018,2783
40-44,Female,2019,2847
40-44,Female,2020,2794
40-44,Female,2021,2938
40-44,Female,2022,2975
40-44,Female,2023,3153
40-44,Female,2024,3339
40-44,Female,2025,3421
45-49,Female,2014,2778
45-49,Female,2015,2908
45-49,Female,2016,3038
45-49,Female,2017,3032
45-49,Female,2018,3151
45-49,Female,2019,3226
45-49,Female,2020,3168
45-49,Female,2021,3144
45-49,Female,2022,3021
45-49,Female,2023,3052
45-49,Female,2024,3092
45-49,Female,2025,3112
50-54,Female,2014,3079
50-54,Female,2015,2964
50-54,Female,2016,2903
50-54,Female,2017,2753
50-54,Female,2018,2786
50-54,Female,2019,2852
50-54,Female,2020,2935
50-54,Female,2021,2990
50-54,Female,2022,3001
50-54,Female,2023,3075
50-54,Female,2024,3135
50-54,Female,2025,3162
55-59,Female,2014,3446
55-59,Female,2015,3385
