Employment Category,Classification,fin_year,Headcount
Children's Services Act,Advanced skills teacher level 2 (preschool),2014,9
Children's Services Act,Advanced skills teacher level 2 (preschool),2015,9
Children's Services Act,Advanced skills teacher level 2 (preschool),2016,18
Children's Services Act,Advanced skills teacher level 2 (preschool),2017,23
Children's Services Act,Advanced skills teacher level 2 (preschool),2018,20
Children's Services Act,Advanced skills teacher level 2 (preschool),2019,28
Children's Services Act,Advanced skills teacher level 2 (preschool),2020,33
Children's Services Act,Early childhood worker level 1,2014,784
Children's Services Act,Early childhood worker level 1,2015,808
Children's Services Act,Early childhood worker level 1,2016,854
Children's Services Act,Early childhood worker level 1,2017,879
Children's Services Act,Early childhood worker level 1,2018,862
Children's Services Act,Early childhood worker level 1,2019,811
Children's Services Act,Early childhood worker level 1,2020,716
Children's Services Act,Early childhood worker level 2,2014,225
Children's Services Act,Early childhood worker level 2,2015,250
Children's Services Act,Early childhood worker level 2,2016,242
Children's Services Act,Early childhood worker level 2,2017,263
Children's Services Act,Early childhood worker level 2,2018,280
Children's Services Act,Early childhood worker level 2,2019,278
Children's Services Act,Early childhood worker level 2,2020,316
Children's Services Act,Early childhood worker level 3,2014,2
Children's Services Act,Early childhood worker level 3,2015,2
Children's Services Act,Early childhood worker level 3,2016,2
Children's Services Act,Early childhood worker level 3,2017,2
Children's Services Act,Early childhood worker level 3,2018,2
Children's Services Act,Early childhood worker level 3,2019,2
Children's Services Act,Early childhood worker level 3,2020,2
Children's Services Act,Early childhood worker trainees,2014,3
Children's Services Act,Early childhood worker trainees,2016,3
Children's Services Act,Early childhood worker trainees,2017,4
Children's Services Act,Early childhood worker trainees,2018,5
Children's Services Act,Early childhood worker trainees,2019,1
Children's Services Act,Highly accomplished teacher - preschool,2014,1
Children's Services Act,Highly accomplished teacher - preschool,2015,3
Children's Services Act,Highly accomplished teacher - preschool,2017,1
Children's Services Act,Highly accomplished teacher - preschool,2018,1
Children's Services Act,Highly accomplished teacher - preschool,2019,1
Children's Services Act,Highly accomplished teacher - preschool,2020,1
Children's Services Act,Lead teacher - preschool,2014,1
Children's Services Act,Preschool director band A-1,2014,242
Children's Services Act,Preschool director band A-1,2015,241
Children's Services Act,Preschool director band A-1,2016,240
Children's Services Act,Preschool director band A-1,2017,235
Children's Services Act,Preschool director band A-1,2018,225
Children's Services Act,Preschool director band A-1,2019,226
Children's Services Act,Preschool director band A-1,2020,224
Children's Services Act,Preschool director band A-2,2014,20
Children's Services Act,Preschool director band A-2,2015,21
Children's Services Act,Preschool director band A-2,2016,23
Children's Services Act,Preschool director band A-2,2017,22
Children's Services Act,Preschool director band A-2,2018,20
Children's Services Act,Preschool director band A-2,2019,25
Children's Services Act,Preschool director band A-2,2020,16
Children's Services Act,Preschool director band A-3,2014,45
Children's Services Act,Preschool director band A-3,2015,46
Children's Services Act,Preschool director band A-3,2016,48
Children's Services Act,Preschool director band A-3,2017,49
Children's Services Act,Preschool director band A-3,2018,50
Children's Services Act,Preschool director band A-3,2019,51
Children's Services Act,Preschool director band A-3,2020,49
Children's Services Act,Teacher - preschool,2014,450
Children's Services Act,Teacher - preschool,2015,480
Children's Services Act,Teacher - preschool,2016,488
Children's Services Act,Teacher - preschool,2017,520
Children's Services Act,Teacher - preschool,2018,548
Children's Services Act,Teacher - preschool,2019,523
Children's Services Act,Teacher - preschool,2020,540
Children's Services Act,Temporary relieving teacher - preschool,2014,93
Children's Services Act,Temporary relieving teacher - preschool,2015,104
