Employment Category,Role,fin_year,Headcount,Full-time equivalent
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2014,1014,529
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2015,1060,552.4
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2016,1101,602.5
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2017,1148,625.8
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2018,1149,635.3
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2019,1092,603.3
Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2020,1034,580.6
Children's Services Act,Preschool directors,2014,307,269.4
Children's Services Act,Preschool directors,2015,308,272.5
Children's Services Act,Preschool directors,2016,311,278.6
Children's Services Act,Preschool directors,2017,306,275.6
Children's Services Act,Preschool directors,2018,295,269
Children's Services Act,Preschool directors,2019,302,277.7
Children's Services Act,Preschool directors,2020,289,265.7
Children's Services Act,Preschool teachers,2014,554,363.3
Children's Services Act,Preschool teachers,2015,596,388.4
Children's Services Act,Preschool teachers,2016,624,402.6
Children's Services Act,Preschool teachers,2017,668,432.9
Children's Services Act,Preschool teachers,2018,661,441.9
Children's Services Act,Preschool teachers,2019,648,433.2
Children's Services Act,Preschool teachers,2020,680,453.5
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2021,353,265.4
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2022,343,256
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2023,366,272.8
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2024,381,280.2
Education & Children's Services Act,Aboriginal community education officers supporting Aboriginal programs and services,2025,403,300.9
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2021,1019,561.8
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2022,988,549.2
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2023,1042,561
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2024,1027,561.8
Education & Children's Services Act,Early childhood workers supporting preschool leaders and teachers,2025,1083,578.9
Education & Children's Services Act,Preschool directors,2021,291,267.7
Education & Children's Services Act,Preschool directors,2022,295,267.7
Education & Children's Services Act,Preschool directors,2023,292,264.9
Education & Children's Services Act,Preschool directors,2024,292,269.3
Education & Children's Services Act,Preschool directors,2025,291,268.1
Education & Children's Services Act,Preschool teachers,2021,708,463.4
Education & Children's Services Act,Preschool teachers,2022,686,449.1
Education & Children's Services Act,Preschool teachers,2023,710,456.9
Education & Children's Services Act,Preschool teachers,2024,733,479.3
Education & Children's Services Act,Preschool teachers,2025,762,499.7
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2021,3011,2943.8
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2022,3101,3033.5
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2023,3194,3113.2
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2024,3263,3189
Education & Children's Services Act,"School Principals, Deputy Principals, Leaders or Seniors",2025,3314,3241.3
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2021,8660,6037.9
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2022,8499,5988.9
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2023,8853,6239.8
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2024,9264,6497.8
Education & Children's Services Act,School services officers providing administrative and teaching support in South Australian Government schools,2025,9717,6806
Education & Children's Services Act,School teachers in SA Government Schools,2021,15219,12351.6
Education & Children's Services Act,School teachers in SA Government Schools,2022,14979,12397.3
Education & Children's Services Act,School teachers in SA Government Schools,2023,14874,12243.9
Education & Children's Services Act,School teachers in SA Government Schools,2024,15069,12290.6
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2014,299,220
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2015,300,218.5
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2016,341,241.7
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2017,340,255.6
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2018,347,250.4
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2019,344,270
Education Act,Aboriginal community education officers supporting Aboriginal programs and services,2020,336,252.7
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2014,3067,3005.6
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2015,2957,2895
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2016,2882,2822.5
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2017,2875,2821.5
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2018,2959,2899.5
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2019,2982,2914.8
Education Act,"School Principals, Deputy Principals, Leaders or Seniors",2020,3024,2953.6
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2014,6195,4347
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2015,6485,4520.3
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2016,6839,4790.9
Education Act,School services officers providing administrative and teaching support in South Australian Government schools,2017,7217,5041.9
