service,region_code,region_name,volunteer_category,as_at_date,volunteer_count
CFS,1,Region 1,Cadets,2012-06-01,281
CFS,1,Region 1,Fire Fighters,2012-06-01,2346
CFS,1,Region 1,Operational Support,2012-06-01,722
CFS,1,Region 1,Total,2012-06-01,3349
CFS,2,Region 2,Cadets,2012-06-01,278
CFS,2,Region 2,Fire Fighters,2012-06-01,2047
CFS,2,Region 2,Operational Support,2012-06-01,409
CFS,2,Region 2,Total,2012-06-01,2734
CFS,3,Region 3,Cadets,2012-06-01,85
CFS,3,Region 3,Fire Fighters,2012-06-01,1148
CFS,3,Region 3,Operational Support,2012-06-01,205
CFS,3,Region 3,Total,2012-06-01,1438
CFS,4,Region 4,Cadets,2012-06-01,189
CFS,4,Region 4,Fire Fighters,2012-06-01,1367
CFS,4,Region 4,Operational Support,2012-06-01,299
CFS,4,Region 4,Total,2012-06-01,1855
CFS,5,Region 5,Cadets,2012-06-01,64
CFS,5,Region 5,Fire Fighters,2012-06-01,1778
CFS,5,Region 5,Operational Support,2012-06-01,324
CFS,5,Region 5,Total,2012-06-01,2166
CFS,6,Region 6,Cadets,2012-06-01,55
CFS,6,Region 6,Fire Fighters,2012-06-01,1344
CFS,6,Region 6,Operational Support,2012-06-01,313
CFS,6,Region 6,Total,2012-06-01,1712
CFS,DENR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Cadets,2012-06-01,0
CFS,DENR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Fire Fighters,2012-06-01,324
CFS,DENR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Operational Support,2012-06-01,174
CFS,DENR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Total,2012-06-01,498
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Cadets,2012-06-01,0
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Fire Fighters,2012-06-01,24
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Operational Support,2012-06-01,2
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Total,2012-06-01,26
CFS,Total,Statewide total,Cadets,2012-06-01,952
CFS,Total,Statewide total,Fire Fighters,2012-06-01,10378
CFS,Total,Statewide total,Operational Support,2012-06-01,2448
CFS,Total,Statewide total,Total,2012-06-01,13778
CFS,1,Region 1,Cadets,2013-06-01,233
CFS,1,Region 1,Fire Fighters,2013-06-01,2330
CFS,1,Region 1,Operational Support,2013-06-01,730
CFS,1,Region 1,Total,2013-06-01,3293
CFS,2,Region 2,Cadets,2013-06-01,274
CFS,2,Region 2,Fire Fighters,2013-06-01,2080
CFS,2,Region 2,Operational Support,2013-06-01,409
CFS,2,Region 2,Total,2013-06-01,2763
CFS,3,Region 3,Cadets,2013-06-01,68
CFS,3,Region 3,Fire Fighters,2013-06-01,1164
CFS,3,Region 3,Operational Support,2013-06-01,203
CFS,3,Region 3,Total,2013-06-01,1435
CFS,4,Region 4,Cadets,2013-06-01,183
CFS,4,Region 4,Fire Fighters,2013-06-01,1372
CFS,4,Region 4,Operational Support,2013-06-01,267
CFS,4,Region 4,Total,2013-06-01,1822
CFS,5,Region 5,Cadets,2013-06-01,49
CFS,5,Region 5,Fire Fighters,2013-06-01,1817
CFS,5,Region 5,Operational Support,2013-06-01,308
CFS,5,Region 5,Total,2013-06-01,2174
CFS,6,Region 6,Cadets,2013-06-01,46
CFS,6,Region 6,Fire Fighters,2013-06-01,1343
CFS,6,Region 6,Operational Support,2013-06-01,293
CFS,6,Region 6,Total,2013-06-01,1682
CFS,DENR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Cadets,2013-06-01,0
CFS,DENR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Fire Fighters,2013-06-01,342
CFS,DENR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Operational Support,2013-06-01,147
CFS,DENR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Total,2013-06-01,489
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Cadets,2013-06-01,0
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Fire Fighters,2013-06-01,342
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Operational Support,2013-06-01,147
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Total,2013-06-01,489
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Cadets,2013-06-01,0
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Fire Fighters,2013-06-01,20
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Operational Support,2013-06-01,0
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Total,2013-06-01,20
CFS,Total,Statewide total,Cadets,2013-06-01,853
CFS,Total,Statewide total,Fire Fighters,2013-06-01,10468
CFS,Total,Statewide total,Operational Support,2013-06-01,2357
CFS,Total,Statewide total,Total,2013-06-01,13678
CFS,1,Region 1,Cadets,2014-06-01,209
CFS,1,Region 1,Fire Fighters,2014-06-01,2394
CFS,1,Region 1,Operational Support,2014-06-01,698
CFS,1,Region 1,Total,2014-06-01,3301
CFS,2,Region 2,Cadets,2014-06-01,248
CFS,2,Region 2,Fire Fighters,2014-06-01,2133
CFS,2,Region 2,Operational Support,2014-06-01,403
CFS,2,Region 2,Total,2014-06-01,2784
CFS,3,Region 3,Cadets,2014-06-01,77
CFS,3,Region 3,Fire Fighters,2014-06-01,1167
CFS,3,Region 3,Operational Support,2014-06-01,184
CFS,3,Region 3,Total,2014-06-01,1428
CFS,4,Region 4,Cadets,2014-06-01,158
CFS,4,Region 4,Fire Fighters,2014-06-01,1482
CFS,4,Region 4,Operational Support,2014-06-01,251
CFS,4,Region 4,Total,2014-06-01,1891
CFS,5,Region 5,Cadets,2014-06-01,48
CFS,5,Region 5,Fire Fighters,2014-06-01,1809
CFS,5,Region 5,Operational Support,2014-06-01,308
CFS,5,Region 5,Total,2014-06-01,2165
CFS,6,Region 6,Cadets,2014-06-01,34
CFS,6,Region 6,Fire Fighters,2014-06-01,1361
CFS,6,Region 6,Operational Support,2014-06-01,291
CFS,6,Region 6,Total,2014-06-01,1686
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Cadets,2014-06-01,0
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Fire Fighters,2014-06-01,344
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Operational Support,2014-06-01,122
CFS,DEWNR,"Department of Environment, Water and Natural Resources (National Parks and Wildlife Service volunteer fire fighters)",Total,2014-06-01,466
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Cadets,2014-06-01,0
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Fire Fighters,2014-06-01,13
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Operational Support,2014-06-01,3
CFS,S/OPS,State/Specialist Operations (headquarters-based specialist volunteer units),Total,2014-06-01,16
CFS,Total,Statewide total,Cadets,2014-06-01,774
CFS,Total,Statewide total,Fire Fighters,2014-06-01,10703
CFS,Total,Statewide total,Operational Support,2014-06-01,2260
CFS,Total,Statewide total,Total,2014-06-01,13737
