financial_year,area,count,pct_of_total,data_quality_flag
2019-20,Employment,285,55%,
2020-21,Employment,249,47%,
2021-22,Employment,240,47%,
2022-23,Employment,204,49%,
2023-24,Employment,208,54%,
2019-20,Goods and Services,11600%,22%,source_value_corrupted
2020-21,Goods and Services,13400%,25%,source_value_corrupted
2021-22,Goods and Services,16500%,32%,source_value_corrupted
2022-23,Goods and Services,108,26%,
2023-24,Goods and Services,89,23%,
2019-20,Housing/Land/Accommodation,38,7%,
2020-21,Housing/Land/Accommodation,35,7%,
2021-22,Housing/Land/Accommodation,45,9%,
2022-23,Housing/Land/Accommodation,46,11%,
2023-24,Housing/Land/Accommodation,23,6%,
2019-20,Education /Training,53,10%,
2020-21,Education /Training,57,11%,
2021-22,Education /Training,26,5%,
2022-23,Education /Training,33,8%,
2023-24,Education /Training,39,10%,
2019-20,Clubs and Associations,30,6%,
2020-21,Clubs and Associations,47,9%,
2021-22,Clubs and Associations,20,4%,
2022-23,Clubs and Associations,20,5%,
2023-24,Clubs and Associations,16,4%,
2019-20,Qualification,0,0%,
2020-21,Qualification,0,0%,
2021-22,Qualification,9,2%,
2022-23,Qualification,3,1%,
2023-24,Qualification,6,2%,
2019-20,Advertising,0,0%,
2020-21,Advertising,4,1%,
2021-22,Advertising,6,1%,
2022-23,Advertising,5,1%,
2023-24,Advertising,3,1%,
