financial_year,metric,amount_aud
2019-20,Total financial compensation payments,"$173,114"
2020-21,Total financial compensation payments,"$150,842"
2021-22,Total financial compensation payments,"$44,000"
2022-23,Total financial compensation payments,"$158,950"
2023-24,Total financial compensation payments,"$89,513"
2019-20,Average financial compensation payments,"$6,925"
2020-21,Average financial compensation payments,"$9,428"
2021-22,Average financial compensation payments,"$6,285"
2022-23,Average financial compensation payments,"$15,895"
2023-24,Average financial compensation payments,"$14,919"
