Equal Opportunity SA (EOSA) Annual Report Data 2023-24,,,,,,,,,,
,,,,,,,,,,
"Equal Opportunity SA is a business unit of the Attorney-General's Department (AGD). Information on corporate and financial performance, risk management (including fraud detected and public interest disclosure), public complaints and audited financial statements can be found in the 2023-24 Annual Report for AGD.",,,,,,,,,,
,,,,,,,,,,
Table 1: Training delivered,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
Total – participants,238,458,304,389,24,,,,,
Total – sessions,20,39,20,29,3,,,,,
Note: From 1 July 2021 the office ceased delivering training directly to the public. From 2021-22 the number of training sessions delivered only includes sessions delivered by partner training providers.,,,,,,,,,,
,,,,,,,,,,
Table 2: Enquiries received,2019-20,2020-21,2021-22,2022-23,2023-24,,,,,
No. of enquiries received,607,659,647,553,568,,,,,
% difference from previous year,7%,9%,-2%,-15%,3%,,,,,
,,,,,,,,,,
Table 3: How enquiries were received,2019-20,,2020-21,,2021-22,,2022-23,,2023-24,
,No.,%,No.,%,No.,%,No.,%,No.,%
Telephone,390,64%,427,65%,460,71%,384,69%,355,63%
Email,152,25%,220,33%,170,26%,152,27%,201,35%
Online form,9,1%,2,0%,9,1%,6,1%,4,1%
Letter,3,0%,4,1%,8,1%,7,1%,3,1%
In person,51,8%,4,1%,0,0%,3,1%,5,1%
Hardcopy form,0,0%,2,0%,0,0%,0,0%,0,0%
Facebook,2,0%,0,0%,0,0%,1,0%,0,0%
Total,607,100%,659,100%,647,100%,553,100%,568,100%
,,,,,,,,,,
Table 4: Grounds of enquiry (across all areas),2019-20,,2020-21,,2021-22,,2022-23,,2023-24,
Disability,176,27%,154,21%,230,34%,138,23%,143,25%
Race,61,10%,74,10%,42,6%,53,9%,44,8%
Sex,31,5%,39,5%,15,2%,31,5%,21,4%
Age,20,3%,43,6%,32,5%,26,4%,18,3%
Caring Responsibilities,16,2%,14,2%,14,2%,12,2%,17,3%
Sexual Harassment,49,8%,41,6%,22,3%,13,2%,12,2%
Pregnancy,15,2%,15,2%,12,2%,12,2%,11,2%
Gender Identity,2,0%,14,2%,6,1%,8,1%,5,1%
Victimisation,13,2%,21,3%,5,1%,12,2%,4,1%
Domestic Abuse,,,,,,,,,3,1%
Sexual Orientation,5,1%,16,2%,4,1%,2,0%,2,0%
Religious Dress,9,1%,5,1%,2,0%,0,0%,2,0%
Marital Status,1,0%,2,0%,2,0%,4,1%,1,0%
Association with a Child,2,0%,4,1%,1,0%,2,0%,1,0%
Identity of Spouse or Partner,1,0%,0,0%,0,0%,0,0%,1,0%
Intersex Status,3,0%,2,0%,0,0%,0,0%,0,0%
