table,sector,category,sub_category,year,value
fee_waiver_reasons,State Government,financial disadvantage,,2024-25,65426
fee_waiver_reasons,State Government,financial disadvantage,,2023-24,3114
fee_waiver_reasons,State Government,financial disadvantage,,2022-23,3095
fee_waiver_reasons,State Government,financial disadvantage,,2017-18,277
fee_waiver_reasons,State Government,financial disadvantage,,2016-17,331
fee_waiver_reasons,State Government,financial disadvantage,,2015-16,219
fee_waiver_reasons,State Government,financial disadvantage,,2014-15,260
fee_waiver_reasons,State Government,financial disadvantage,,2013-14,637
fee_waiver_reasons,State Government,financial disadvantage,,2012-13,1017
fee_waiver_reasons,State Government,Member of Parliament,,2024-25,5213
fee_waiver_reasons,State Government,Member of Parliament,,2023-24,1587
fee_waiver_reasons,State Government,Member of Parliament,,2022-23,1839
fee_waiver_reasons,State Government,Member of Parliament,,2017-18,161
fee_waiver_reasons,State Government,Member of Parliament,,2016-17,377
fee_waiver_reasons,State Government,Member of Parliament,,2015-16,371
fee_waiver_reasons,State Government,Member of Parliament,,2014-15,473
fee_waiver_reasons,State Government,Member of Parliament,,2013-14,558
fee_waiver_reasons,State Government,Member of Parliament,,2012-13,626
fee_waiver_reasons,State Government,Other,,2024-25,532
fee_waiver_reasons,State Government,Other,,2023-24,830
fee_waiver_reasons,State Government,Other,,2022-23,400
fee_waiver_reasons,State Government,Other,,2017-18,799
fee_waiver_reasons,State Government,Other,,2016-17,1033
fee_waiver_reasons,State Government,Other,,2015-16,745
fee_waiver_reasons,State Government,Other,,2014-15,542
fee_waiver_reasons,State Government,Other,,2013-14,800
fee_waiver_reasons,State Government,Other,,2012-13,728
fee_waiver_reasons,State Government,Fee reduced,,2017-18,105
fee_waiver_reasons,State Government,Fee reduced,,2016-17,58
fee_waiver_reasons,State Government,Fee reduced,,2015-16,53
fee_waiver_reasons,State Government,Fee reduced,,2014-15,28
fee_waiver_reasons,State Government,Fee reduced,,2013-14,5
fee_waiver_reasons,State Government,Fee reduced,,2012-13,10
fee_waiver_reasons,Local Government,financial disadvantage,,2024-25,996
fee_waiver_reasons,Local Government,financial disadvantage,,2023-24,134
fee_waiver_reasons,Local Government,financial disadvantage,,2022-23,147
fee_waiver_reasons,Local Government,financial disadvantage,,2017-18,8
fee_waiver_reasons,Local Government,financial disadvantage,,2016-17,10
fee_waiver_reasons,Local Government,financial disadvantage,,2015-16,13
fee_waiver_reasons,Local Government,financial disadvantage,,2014-15,16
fee_waiver_reasons,Local Government,financial disadvantage,,2013-14,11
fee_waiver_reasons,Local Government,financial disadvantage,,2012-13,17
fee_waiver_reasons,Local Government,Member of Parliament,,2024-25,36
fee_waiver_reasons,Local Government,Member of Parliament,,2023-24,163
fee_waiver_reasons,Local Government,Member of Parliament,,2022-23,36
fee_waiver_reasons,Local Government,Member of Parliament,,2017-18,10
fee_waiver_reasons,Local Government,Member of Parliament,,2016-17,17
fee_waiver_reasons,Local Government,Member of Parliament,,2015-16,13
fee_waiver_reasons,Local Government,Member of Parliament,,2014-15,19
fee_waiver_reasons,Local Government,Member of Parliament,,2013-14,19
fee_waiver_reasons,Local Government,Member of Parliament,,2012-13,10
fee_waiver_reasons,Local Government,Other,,2024-25,64
fee_waiver_reasons,Local Government,Other,,2023-24,88
fee_waiver_reasons,Local Government,Other,,2022-23,29
fee_waiver_reasons,Local Government,Other,,2017-18,32
fee_waiver_reasons,Local Government,Other,,2016-17,14
fee_waiver_reasons,Local Government,Other,,2015-16,13
fee_waiver_reasons,Local Government,Other,,2014-15,22
fee_waiver_reasons,Local Government,Other,,2013-14,19
fee_waiver_reasons,Local Government,Other,,2012-13,18
fee_waiver_reasons,Local Government,Fee reduced,,2017-18,0
fee_waiver_reasons,Local Government,Fee reduced,,2016-17,1
fee_waiver_reasons,Local Government,Fee reduced,,2015-16,0
fee_waiver_reasons,Local Government,Fee reduced,,2014-15,1
fee_waiver_reasons,Local Government,Fee reduced,,2013-14,0
fee_waiver_reasons,Local Government,Fee reduced,,2012-13,0
fee_waiver_reasons,Universities,financial disadvantage,,2024-25,35
fee_waiver_reasons,Universities,financial disadvantage,,2023-24,45
fee_waiver_reasons,Universities,financial disadvantage,,2022-23,10
fee_waiver_reasons,Universities,financial disadvantage,,2017-18,0
fee_waiver_reasons,Universities,financial disadvantage,,2016-17,0
fee_waiver_reasons,Universities,financial disadvantage,,2015-16,0
fee_waiver_reasons,Universities,financial disadvantage,,2014-15,0
fee_waiver_reasons,Universities,financial disadvantage,,2013-14,0
fee_waiver_reasons,Universities,financial disadvantage,,2012-13,0
fee_waiver_reasons,Universities,Member of Parliament,,2024-25,3
fee_waiver_reasons,Universities,Member of Parliament,,2023-24,17
fee_waiver_reasons,Universities,Member of Parliament,,2022-23,0
fee_waiver_reasons,Universities,Member of Parliament,,2017-18,3
fee_waiver_reasons,Universities,Member of Parliament,,2016-17,30
fee_waiver_reasons,Universities,Member of Parliament,,2015-16,3
fee_waiver_reasons,Universities,Member of Parliament,,2014-15,3
fee_waiver_reasons,Universities,Member of Parliament,,2013-14,3
fee_waiver_reasons,Universities,Member of Parliament,,2012-13,6
fee_waiver_reasons,Universities,Other,,2024-25,1
fee_waiver_reasons,Universities,Other,,2023-24,2
fee_waiver_reasons,Universities,Other,,2022-23,0
fee_waiver_reasons,Universities,Other,,2017-18,1
fee_waiver_reasons,Universities,Other,,2016-17,0
fee_waiver_reasons,Universities,Other,,2015-16,0
fee_waiver_reasons,Universities,Other,,2014-15,1
fee_waiver_reasons,Universities,Other,,2013-14,0
fee_waiver_reasons,Universities,Other,,2012-13,0
fee_waiver_reasons,Universities,Fee reduced,,2017-18,0
fee_waiver_reasons,Universities,Fee reduced,,2016-17,0
fee_waiver_reasons,Universities,Fee reduced,,2015-16,0
fee_waiver_reasons,Universities,Fee reduced,,2014-15,0
fee_waiver_reasons,Universities,Fee reduced,,2013-14,0
fee_waiver_reasons,Universities,Fee reduced,,2012-13,0
amendment_application_outcomes,,Amendment agreed,,2024-25,64
amendment_application_outcomes,,Amendment agreed,,2023-24,18
amendment_application_outcomes,,Amendment agreed,,2022-23,9
amendment_application_outcomes,,Amendment agreed,,2021-22,19
amendment_application_outcomes,,Amendment agreed,,2020-21,14
amendment_application_outcomes,,Amendment agreed,,2019-20,9
amendment_application_outcomes,,Amendment agreed,,2018-19,12
amendment_application_outcomes,,Amendment agreed,,2017-18,35
amendment_application_outcomes,,Amendment agreed,,2016-17,25
amendment_application_outcomes,,Amendment agreed,,2015-16,46
amendment_application_outcomes,,Amendment agreed,,2014-15,56
amendment_application_outcomes,,Amendment agreed,,2013-14,55
amendment_application_outcomes,,Amendment agreed,,2012-13,87
amendment_application_outcomes,,Amendment refused,,2024-25,17
amendment_application_outcomes,,Amendment refused,,2023-24,66
amendment_application_outcomes,,Amendment refused,,2022-23,36
amendment_application_outcomes,,Amendment refused,,2021-22,60
amendment_application_outcomes,,Amendment refused,,2020-21,39
amendment_application_outcomes,,Amendment refused,,2019-20,68
amendment_application_outcomes,,Amendment refused,,2018-19,84
amendment_application_outcomes,,Amendment refused,,2017-18,83
amendment_application_outcomes,,Amendment refused,,2016-17,146
amendment_application_outcomes,,Amendment refused,,2015-16,144
amendment_application_outcomes,,Amendment refused,,2014-15,131
amendment_application_outcomes,,Amendment refused,,2013-14,204
amendment_application_outcomes,,Amendment refused,,2012-13,272
amendment_application_outcomes,,Partial amendment,,2024-25,13
