outcome,year,value
Amendment agreed,2024-25,64
Amendment agreed,2023-24,18
Amendment agreed,2022-23,9
Amendment agreed,2021-22,19
Amendment agreed,2020-21,14
Amendment agreed,2019-20,9
Amendment agreed,2018-19,12
Amendment agreed,2017-18,35
Amendment agreed,2016-17,25
Amendment agreed,2015-16,46
Amendment agreed,2014-15,56
Amendment agreed,2013-14,55
Amendment agreed,2012-13,87
Amendment refused,2024-25,17
Amendment refused,2023-24,66
Amendment refused,2022-23,36
Amendment refused,2021-22,60
Amendment refused,2020-21,39
Amendment refused,2019-20,68
Amendment refused,2018-19,84
Amendment refused,2017-18,83
Amendment refused,2016-17,146
Amendment refused,2015-16,144
Amendment refused,2014-15,131
Amendment refused,2013-14,204
Amendment refused,2012-13,272
Partial amendment,2024-25,13
Partial amendment,2023-24,12
Partial amendment,2022-23,6
Partial amendment,2021-22,5
Partial amendment,2020-21,2
Partial amendment,2019-20,4
Partial amendment,2018-19,6
Partial amendment,2017-18,7
Partial amendment,2016-17,9
Partial amendment,2015-16,12
Partial amendment,2014-15,15
Partial amendment,2013-14,24
Partial amendment,2012-13,18
Notation added,2024-25,8
Notation added,2023-24,2
Notation added,2022-23,13
Notation added,2021-22,2
Notation added,2020-21,3
Notation added,2019-20,11
Notation added,2018-19,8
Notation added,2017-18,0
Notation added,2016-17,4
Notation added,2015-16,2
Notation added,2014-15,3
Notation added,2013-14,5
Notation added,2012-13,6
Withdrawn/closed,2024-25,49
Withdrawn/closed,2023-24,13
Withdrawn/closed,2022-23,13
