sector,year,value
State Government,1991-92,1208
State Government,1992-93,3065
State Government,1993-94,4058
State Government,1994-95,4281
State Government,1995-96,4070
State Government,1996-97,4069
State Government,1997-98,5599
State Government,1998-99,6781
State Government,1999-00,7958
State Government,2000-01,7918
State Government,2001-02,9427
State Government,2002-03,10129
Local Government,2002-03,213
Universities,2002-03,17
State Government,2003-04,11030
Local Government,2003-04,227
Universities,2003-04,8
State Government,2004-05,11229
Local Government,2004-05,244
Universities,2004-05,10
State Government,2005-06,10596
Local Government,2005-06,269
Universities,2005-06,12
State Government,2006-07,11052
Local Government,2006-07,313
Universities,2006-07,16
State Government,2007-08,11228
Local Government,2007-08,286
Universities,2007-08,15
State Government,2008-09,11147
Local Government,2008-09,356
Universities,2008-09,21
State Government,2009-10,12156
Local Government,2009-10,358
Universities,2009-10,20
State Government,2010-11,11960
Local Government,2010-11,388
Universities,2010-11,18
State Government,2011-12,11877
Local Government,2011-12,431
Universities,2011-12,20
State Government,2012-13,11500
Local Government,2012-13,447
Universities,2012-13,12
State Government,2013-14,10181
Local Government,2013-14,439
Universities,2013-14,18
State Government,2014-15,10548
Local Government,2014-15,587
Universities,2014-15,14
State Government,2015-16,10278
Local Government,2015-16,456
Universities,2015-16,12
State Government,2016-17,10555
Local Government,2016-17,602
Universities,2016-17,21
State Government,2017-18,9676
Local Government,2017-18,479
Universities,2017-18,19
State Government,2018-19,9978
Local Government,2018-19,490
Universities,2018-19,17
State Government,2019-20,9784
Local Government,2019-20,516
Universities,2019-20,44
State Government,2020-21,9841
Local Government,2020-21,587
Universities,2020-21,34
State Government,2021-22,9574
Local Government,2021-22,451
Universities,2021-22,32
State Government,2022-23,13158
Local Government,2022-23,520
Universities,2022-23,24
State Government,2023-24,13319
Local Government,2023-24,659
Universities,2023-24,92
State Government,2024-25,14795
Local Government,2024-25,582
Universities,2024-25,64
