reason,year,value
"Records are not incomplete, incorrect, out-of-date or misleading",2021-22,54
"Records are not incomplete, incorrect, out-of-date or misleading",2020-21,37
"Records are not incomplete, incorrect, out-of-date or misleading",2019-20,68
"Records are not incomplete, incorrect, out-of-date or misleading",2018-19,77
"Records are not incomplete, incorrect, out-of-date or misleading",2017-18,80
"Records are not incomplete, incorrect, out-of-date or misleading",2016-17,145
"Records are not incomplete, incorrect, out-of-date or misleading",2015-16,142
"Records are not incomplete, incorrect, out-of-date or misleading",2014-15,127
"Records are not incomplete, incorrect, out-of-date or misleading",2013-14,203
"Records are not incomplete, incorrect, out-of-date or misleading",2012-13,271
Application contains matter that is incorrect or misleading,2021-22,4
Application contains matter that is incorrect or misleading,2020-21,2
Application contains matter that is incorrect or misleading,2019-20,0
Application contains matter that is incorrect or misleading,2018-19,2
Application contains matter that is incorrect or misleading,2017-18,0
Application contains matter that is incorrect or misleading,2016-17,0
Application contains matter that is incorrect or misleading,2015-16,1
Application contains matter that is incorrect or misleading,2014-15,0
Application contains matter that is incorrect or misleading,2013-14,0
Application contains matter that is incorrect or misleading,2012-13,0
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2021-22,2
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2020-21,0
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2019-20,1
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2018-19,5
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2017-18,5
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2016-17,1
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2015-16,1
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2014-15,4
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2013-14,1
Procedures for amending records are prescribed by or under the provisions of another legislative instrument,2012-13,1
