sector,reason,year,value
State Government,Extension under s14(1)(a) - searching,2024-25,343
State Government,Extension under s14(1)(a) - searching,2023-24,395
State Government,Extension under s14(1)(a) - searching,2022-23,432
State Government,Extension under s14(1)(a) - searching,2021-22,601
State Government,Extension under s14(1)(a) - searching,2020-21,690
State Government,Extension under s14(1)(a) - searching,2019-20,306
State Government,Extension under s14(1)(a) - searching,2018-19,282
State Government,Extension under s14(1)(a) - searching,2017-18,332
State Government,Extension under s14(1)(a) - searching,2016-17,283
State Government,Extension under s14(1)(a) - searching,2015-16,113
State Government,Extension under s14(1)(a) - searching,2014-15,140
State Government,Extension under s14(1)(a) - searching,2013-14,141
State Government,Extension under s14(1)(a) - searching,2012-13,219
State Government,Extension under s14(1)(b) - consultation,2024-25,195
State Government,Extension under s14(1)(b) - consultation,2023-24,185
State Government,Extension under s14(1)(b) - consultation,2022-23,117
State Government,Extension under s14(1)(b) - consultation,2021-22,77
State Government,Extension under s14(1)(b) - consultation,2020-21,180
State Government,Extension under s14(1)(b) - consultation,2019-20,380
State Government,Extension under s14(1)(b) - consultation,2018-19,243
State Government,Extension under s14(1)(b) - consultation,2017-18,134
State Government,Extension under s14(1)(b) - consultation,2016-17,155
State Government,Extension under s14(1)(b) - consultation,2015-16,113
State Government,Extension under s14(1)(b) - consultation,2014-15,81
State Government,Extension under s14(1)(b) - consultation,2013-14,51
State Government,Extension under s14(1)(b) - consultation,2012-13,104
Local Government,Extension under s14(1)(a) - searching,2024-25,31
Local Government,Extension under s14(1)(a) - searching,2023-24,43
Local Government,Extension under s14(1)(a) - searching,2022-23,28
Local Government,Extension under s14(1)(a) - searching,2021-22,13
Local Government,Extension under s14(1)(a) - searching,2020-21,22
Local Government,Extension under s14(1)(a) - searching,2019-20,5
Local Government,Extension under s14(1)(a) - searching,2018-19,9
Local Government,Extension under s14(1)(a) - searching,2017-18,9
Local Government,Extension under s14(1)(a) - searching,2016-17,8
Local Government,Extension under s14(1)(a) - searching,2015-16,11
Local Government,Extension under s14(1)(a) - searching,2014-15,11
Local Government,Extension under s14(1)(a) - searching,2013-14,10
Local Government,Extension under s14(1)(a) - searching,2012-13,12
Local Government,Extension under s14(1)(b) - consultation,2024-25,43
Local Government,Extension under s14(1)(b) - consultation,2023-24,69
Local Government,Extension under s14(1)(b) - consultation,2022-23,36
Local Government,Extension under s14(1)(b) - consultation,2021-22,14
Local Government,Extension under s14(1)(b) - consultation,2020-21,18
Local Government,Extension under s14(1)(b) - consultation,2019-20,14
Local Government,Extension under s14(1)(b) - consultation,2018-19,19
Local Government,Extension under s14(1)(b) - consultation,2017-18,11
Local Government,Extension under s14(1)(b) - consultation,2016-17,10
Local Government,Extension under s14(1)(b) - consultation,2015-16,18
Local Government,Extension under s14(1)(b) - consultation,2014-15,10
Local Government,Extension under s14(1)(b) - consultation,2013-14,16
Local Government,Extension under s14(1)(b) - consultation,2012-13,9
Universities,Extension under s14(1)(a) - searching,2024-25,15
Universities,Extension under s14(1)(a) - searching,2023-24,30
Universities,Extension under s14(1)(a) - searching,2022-23,3
Universities,Extension under s14(1)(a) - searching,2021-22,1
Universities,Extension under s14(1)(a) - searching,2020-21,3
Universities,Extension under s14(1)(a) - searching,2019-20,10
Universities,Extension under s14(1)(a) - searching,2018-19,6
Universities,Extension under s14(1)(a) - searching,2017-18,2
Universities,Extension under s14(1)(a) - searching,2016-17,2
Universities,Extension under s14(1)(a) - searching,2015-16,0
Universities,Extension under s14(1)(a) - searching,2014-15,0
Universities,Extension under s14(1)(a) - searching,2013-14,2
Universities,Extension under s14(1)(a) - searching,2012-13,0
Universities,Extension under s14(1)(b) - consultation,2024-25,0
Universities,Extension under s14(1)(b) - consultation,2023-24,12
Universities,Extension under s14(1)(b) - consultation,2022-23,2
Universities,Extension under s14(1)(b) - consultation,2021-22,0
Universities,Extension under s14(1)(b) - consultation,2020-21,4
Universities,Extension under s14(1)(b) - consultation,2019-20,2
Universities,Extension under s14(1)(b) - consultation,2018-19,4
Universities,Extension under s14(1)(b) - consultation,2017-18,3
Universities,Extension under s14(1)(b) - consultation,2016-17,1
Universities,Extension under s14(1)(b) - consultation,2015-16,0
Universities,Extension under s14(1)(b) - consultation,2014-15,1
Universities,Extension under s14(1)(b) - consultation,2013-14,0
Universities,Extension under s14(1)(b) - consultation,2012-13,0
