Applications unfinished at year end,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
STATE - within 30 day timeframe,,,,589,691,666,624,762,680,622,555,615,615
STATE - outside 30 day timeframe,,,,2843,2523,2306,2391,2082,1908,1884,1688,1627,2078
LOCAL - within 30 day timeframe,,,,31,34,38,38,22,67,20,32,15,11
LOCAL - outside 30 day timeframe,,,,273,251,145,151,129,94,78,70,45,46
UNIVERSITIES - within 30 day timeframe,,,,2,1,12,2,3,2,1,1,0,1
UNIVERSITIES - outside 30 day timeframe,,,,7,7,7,7,8,7,8,8,6,5
STATE - not overdue,1608,915,780,,,,,,,,,,
STATE - overdue,1193,873,845,,,,,,,,,,
LOCAL - not overdue,17,26,41,,,,,,,,,,
LOCAL - overdue,1,3,1,,,,,,,,,,
UNIVERSITIES - not overdue,3,6,4,,,,,,,,,,
UNIVERSITIES - overdue,2,2,0,,,,,,,,,,
