Applicant type,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13
Applications to State Govt by Member of the Public,7457,6271,5758,5196,4547,4000,4115,3900,4032,4337,3785,3862,3552
Applications to State Govt by Lawyer / Agent,5836,5269,5222,3012,2972,3597,3450,3878,3458,3161,3463,3280,3912
Applications to State Govt by Member of Parliament,1427,1697,2067,556,1035,1066,1514,1038,2173,1671,2325,2068,2812
Applications to State Govt by Other,,,,695,1133,983,689,688,742,914,794,787,800
Applications to State Govt by Media,77,82,111,122,154,138,210,172,150,195,181,184,424
Applications to Local Govt by Member of the Public,443,431,410,314,353,235,296,311,237,214,286,216,265
Applications to Local Govt by Lawyer / Agent,98,62,70,62,63,59,48,35,44,45,44,54,44
Applications to Local Govt by Member of Parliament,37,164,37,34,124,175,86,59,226,108,131,79,49
Applications to Local Govt by Other,,,,30,43,29,52,66,78,62,96,72,87
Applications to Local Govt by Media,4,2,3,4,4,18,8,8,17,27,30,18,2
Applications to Universities by Member of the Public,56,69,22,9,9,24,10,12,11,6,9,8,4
Applications to Universities by Lawyer / Agent,0,2,1,2,3,2,0,1,1,1,0,0,0
Applications to Universities by Member of Parliament,5,17,0,0,1,1,0,4,3,3,3,2,6
Applications to Universities by Other,,,,21,11,7,5,2,3,2,1,4,2
Applications to Universities by Media,3,4,1,0,10,10,2,0,3,0,1,4,0
