Agency,2024-25,2023-24,2022-23,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12
Adelaide City Council,24,38,51,24,28,37,29,27,57,48,66,33,44,40
Adelaide Hills Council,21,27,12,0,30,17,22,15,20,11,21,6,8,11
Adelaide Plains Council,2,6,5,8,3,1,2,5,3,7,3,0,0,1
Alexandrina Council,13,24,15,8,11,4,4,7,10,1,9,12,7,4
Anangu Pitjantjatjara Yankunytjatjara,,16,0,0,23,0,0,0,0,0,0,0,0,0
Barunga West Council,3,2,1,2,3,2,0,2,1,0,1,1,0,0
Berri Barmera Council,6,5,0,0,2,4,1,0,2,0,1,1,3,1
Campbelltown City Council,12,6,16,5,7,9,7,7,8,8,8,5,7,15
City of Burnside,23,20,15,11,12,11,14,21,11,11,15,2,12,6
City of Charles Sturt,35,50,33,26,39,23,31,57,50,35,38,38,40,44
City of Holdfast Bay,32,12,15,11,18,11,7,10,19,12,12,6,12,6
City of Marion,18,17,13,11,12,13,11,16,52,20,30,11,13,11
City of Mitcham,18,27,25,15,16,14,12,14,16,20,21,13,16,15
City of Mount Gambier,3,9,0,4,3,7,4,2,3,0,2,4,2,0
"City of Norwood, Payneham & St Peters",11,0,0,0,0,2,5,0,1,0,0,0,3,4
City of Onkaparinga,60,45,44,48,38,28,25,37,47,37,37,30,22,26
City of Playford,23,17,12,21,20,21,26,16,15,12,16,16,12,11
City of Port Adelaide Enfield,39,25,37,27,13,14,25,19,22,10,28,29,19,30
City of Port Lincoln,,6,4,1,5,1,1,0,2,1,4,3,2,0
City of Prospect,4,4,5,0,8,8,9,3,12,6,14,7,7,0
City of Salisbury,14,16,14,9,16,16,19,18,20,13,33,19,13,13
City of Tea Tree Gully,36,41,32,41,53,70,33,32,27,50,19,9,11,5
City of Unley,5,9,2,6,12,13,43,44,47,43,58,52,78,80
City of Victor Harbor,1,7,9,3,10,1,7,3,3,2,13,2,3,5
City of West Torrens,20,19,28,14,9,10,15,16,20,18,13,14,9,16
City of Whyalla,2,9,1,1,5,1,1,5,2,2,4,6,3,5
Clare & Gilbert Valleys Council,2,1,0,2,1,1,3,2,5,4,3,3,5,1
Coorong District Council,1,0,0,2,4,6,5,1,3,0,1,0,0,0
Copper Coast Council,42,41,29,45,29,19,22,19,10,15,17,11,16,20
Corporation of the Town of Walkerville,25,19,11,2,2,2,2,2,1,3,4,3,3,2
District Council of Ceduna,1,7,0,1,1,1,1,1,1,0,1,2,2,0
District Council of Cleve,4,6,1,0,0,0,0,0,0,0,0,0,0,0
District Council of Coober Pedy,3,3,0,0,0,4,0,0,0,0,1,1,0,1
District Council of Elliston,,1,0,0,1,1,0,0,1,0,2,1,0,0
District Council of Franklin Harbour,,7,0,0,2,0,0,0,0,0,0,0,0,1
District Council of Grant,2,1,4,2,2,7,6,2,4,3,4,7,4,2
District Council of Karoonda East Murray,,0,0,0,1,6,1,0,1,0,0,1,0,0
District Council of Kimba,,2,0,0,0,1,0,0,0,0,0,0,0,0
District Council of Lower Eyre Peninsula,1,3,1,2,3,1,2,1,3,1,4,1,1,0
District Council of Loxton Waikerie,,4,1,0,3,2,2,0,4,1,1,0,2,0
District Council of Mount Remarkable,2,3,1,0,2,1,1,1,1,2,2,2,,
District Council of Orroroo Carrieton,,3,1,1,1,1,1,0,1,1,0,0,0,0
District Council of Peterborough,,2,1,1,2,0,0,0,0,0,0,0,0,0
District Council of Robe,1,2,1,1,12,0,4,4,1,1,0,0,0,1
District Council of Streaky Bay,,9,0,1,1,2,1,2,1,3,2,2,5,0
District Council of Tumby Bay,,4,10,1,5,0,2,2,1,1,14,7,3,2
District Council of Yankalilla,2,6,5,6,0,2,0,1,2,1,4,0,2,0
Eastern Health Authority Inc.,,0,0,0,0,1,1,0,0,0,4,2,1,0
Kangaroo Island Council,,3,2,6,8,6,7,21,5,16,6,4,2,3
Kingston District Council,,3,1,1,3,6,1,0,1,0,1,1,1,1
Light Regional Council,1,0,0,5,7,20,1,3,12,7,2,4,4,3
Mid Murray Council,7,11,2,11,6,4,6,5,7,0,8,19,9,10
Mount Barker District Council,11,2,12,8,0,5,15,1,10,7,7,7,8,4
Municipal Council of Roxby Downs,1,5,0,0,1,1,1,0,3,0,1,2,1,0
Naracoorte Lucindale Council,1,1,0,2,4,7,3,2,3,0,1,0,1,0
Northern Areas Council,,4,0,1,0,0,4,2,0,0,1,1,2,0
Port Augusta City Council,3,9,0,2,13,5,2,3,3,1,2,3,3,9
Port Pirie Regional Council,12,3,10,6,7,3,2,2,12,2,1,3,2,2
Regional Council of Goyder,,2,1,0,2,3,2,3,2,1,2,5,1,3
Renmark Paringa Council,3,0,1,4,3,1,9,0,1,0,2,1,1,2
Southern Mallee District Council,,4,0,6,0,2,1,0,0,0,0,0,0,0
Tatiara District Council,1,4,3,0,1,3,2,0,2,2,0,0,0,0
The Barossa Council,9,2,5,7,12,13,3,2,3,6,6,4,2,3
The Flinders Ranges Council,1,11,0,0,0,0,0,0,0,0,2,2,0,0
The Rural City of Murray Bridge,13,4,12,11,11,12,5,10,8,1,4,6,7,3
Town of Gawler,3,3,3,7,20,16,13,7,11,8,5,6,8,5
Wattle Range Council,1,2,6,3,12,10,4,2,5,2,5,6,3,2
Wudinna District Council,,2,1,1,1,1,1,0,0,0,0,0,0,0
Yorke Peninsula Council,4,3,6,1,2,0,1,2,4,0,1,3,2,2
