"SA Health Emergency Department presentations, proportion with a length of stay of 4 hours or less, by quarter",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
LHN/Hospital,,,2012-13,,,,2013-14,,,,2014-15,,,,2015-16,,,,2016-17,,,,2017-18,,,
,,,Sep Quarter,Dec Quarter,Mar Quarter,Jun Quarter,Sep Quarter,Dec Quarter,Mar Quarter,Jun Quarter,Sep Quarter,Dec Quarter,Mar Quarter,Jun Quarter,Sep Quarter,Dec Quarter,Mar Quarter,Jun Quarter,Sep Quarter,Dec Quarter,Mar Quarter,Jun Quarter,Sep Quarter,Dec Quarter,Mar Quarter,Jun Quarter
Central Adelaide Local Health Network,,,,,,,,,,,,,,,,,,,,,,,,,,
,0014,The Queen Elizabeth Hospital,59.0%,64.5%,63.1%,62.5%,58.6%,59.9%,60.4%,60.8%,55.7%,59.5%,57.4%,56.2%,54.4%,58.8%,62.1%,60.0%,49.3%,49.8%,53.6%,56.2%,55.1%,59.1%,59.2%,62.3%
,0019,Royal Adelaide Hospital,48.0%,53.1%,56.8%,47.8%,46.8%,50.6%,49.5%,51.7%,47.1%,50.7%,49.6%,49.7%,49.7%,54.2%,57.1%,57.0%,53.3%,54.5%,54.4%,55.7%,48.8%,44.2%,43.2%,45.5%
,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Adelaide Local Health Network,,,,,,,,,,,,,,,,,,,,,,,,,,
,0027,Lyell McEwin Hospital,49.8%,50.3%,50.3%,53.2%,51.1%,51.4%,50.2%,49.8%,45.6%,47.1%,48.8%,48.9%,50.6%,59.1%,60.3%,57.7%,52.1%,55.9%,55.4%,56.3%,50.1%,50.4%,50.6%,48.6%
,0030,Modbury Hospital,64.1%,64.8%,56.1%,60.0%,55.8%,53.3%,55.3%,55.3%,47.4%,50.4%,54.0%,54.3%,52.6%,58.8%,62.6%,58.7%,54.4%,53.4%,53.8%,50.8%,44.5%,51.0%,47.7%,43.8%
,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's and Children's Health Network,,,,,,,,,,,,,,,,,,,,,,,,,,
,0001,Women's and Children's Hospital - Paediatrics,81.0%,83.7%,82.5%,81.4%,80.9%,83.2%,83.7%,81.3%,78.4%,82.1%,85.9%,83.3%,79.7%,80.7%,82.0%,75.2%,75.6%,78.5%,79.4%,69.7%,63.9%,78.3%,75.9%,73.5%
,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Adelaide Local Health Network,,,,,,,,,,,,,,,,,,,,,,,,,,
,0005,Flinders Medical Centre,50.9%,50.9%,50.9%,50.3%,48.0%,51.3%,55.7%,59.8%,55.5%,56.4%,58.1%,60.4%,62.0%,58.9%,57.8%,57.5%,53.8%,54.5%,53.3%,55.3%,50.2%,53.3%,52.8%,50.2%
,0033,Noarlunga Hospital,73.5%,70.7%,74.7%,76.6%,69.0%,69.1%,64.4%,64.1%,62.5%,67.9%,69.9%,68.9%,63.7%,64.3%,66.7%,67.0%,66.1%,64.4%,68.4%,70.4%,69.8%,70.6%,70.5%,68.9%
,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Health SA Local Health Network,,,,,,,,,,,,,,,,,,,,,,,,,,
,0020,Gawler Health Service,95.6%,95.3%,95.4%,94.3%,94.5%,94.5%,95.5%,95.3%,94.3%,93.3%,93.9%,94.1%,92.8%,92.8%,94.8%,93.7%,92.0%,91.5%,90.1%,90.0%,89.1%,90.8%,90.8%,89.9%
,0058,Riverland Regional Health Services (Berri),98.2%,97.7%,97.5%,98.2%,98.3%,98.2%,97.8%,98.3%,97.9%,99.4%,98.7%,99.4%,99.9%,99.8%,99.1%,98.8%,97.1%,97.2%,98.5%,98.6%,98.8%,98.9%,97.3%,97.4%
,0163,Mt Gambier & Districts Health Services,76.8%,88.1%,90.4%,89.9%,89.5%,89.6%,92.2%,91.8%,81.7%,82.7%,80.0%,80.0%,74.3%,77.2%,76.3%,73.4%,74.4%,74.4%,80.9%,76.4%,74.0%,71.0%,73.6%,74.4%
,0196,Port Augusta Hospital,96.7%,97.4%,96.2%,96.2%,96.6%,94.8%,87.6%,88.9%,87.7%,88.4%,91.4%,87.5%,85.2%,88.1%,91.4%,90.9%,88.4%,91.0%,88.0%,89.6%,83.2%,86.4%,89.4%,89.4%
,0202,Port Lincoln Health Service,98.5%,98.5%,99.0%,97.9%,98.2%,98.6%,98.3%,98.0%,98.0%,97.7%,98.1%,96.8%,98.2%,97.9%,97.6%,96.4%,97.5%,98.0%,97.1%,97.9%,96.8%,97.9%,97.6%,96.3%
