financial_year,category,number,pct
2022-23,Abuse of power for personal or financial gain,-,-
2021-22,Abuse of power for personal or financial gain,37,74
2020-21,Abuse of power for personal or financial gain,14,46.7
2019-20,Abuse of power for personal or financial gain,14,56
2018-19,Abuse of power for personal or financial gain,12,33.3
2017-18,Abuse of power for personal or financial gain,,71
2022-23,Bribery,-,-
2021-22,Bribery,-,-
2020-21,Bribery,-,-
2019-20,Bribery,-,-
2018-19,Bribery,2,5.6
2017-18,Bribery,,6.5
2022-23,Abuse of power re contract/ tender/procurement,-,-
2021-22,Abuse of power re contract/ tender/procurement,8,16
2020-21,Abuse of power re contract/ tender/procurement,2,6.7
2019-20,Abuse of power re contract/ tender/procurement,2,8
2018-19,Abuse of power re contract/ tender/procurement,3,8.3
2017-18,Abuse of power re contract/ tender/procurement,,-
2022-23,Assault,-,-
2021-22,Assault,-,-
2020-21,Assault,1,3.3
2019-20,Assault,1,4
2018-19,Assault,1,2.8
2017-18,Assault,,-
2022-23,Theft/misappropriation/fraud/ deception,-,-
2021-22,Theft/misappropriation/fraud/ deception,2,4
2020-21,Theft/misappropriation/fraud/ deception,11,36.7
2019-20,Theft/misappropriation/fraud/ deception,6,24
2018-19,Theft/misappropriation/fraud/ deception,14,38.9
2017-18,Theft/misappropriation/fraud/ deception,,12.9
2022-23,Improper use or disclosure of information,-,-
2021-22,Improper use or disclosure of information,3,6
2020-21,Improper use or disclosure of information,2,6.7
2019-20,Improper use or disclosure of information,2,8
2018-19,Improper use or disclosure of information,-,-
2017-18,Improper use or disclosure of information,,3.2
2022-23,Pervert the course of justice,-,-
2021-22,Pervert the course of justice,-,-
2020-21,Pervert the course of justice,-,-
2019-20,Pervert the course of justice,-,-
2018-19,Pervert the course of justice,-,-
2017-18,Pervert the course of justice,,3.2
2022-23,Miscellaneous (Other),,2.3
2021-22,Miscellaneous (Other),-,-
2020-21,Miscellaneous (Other),-,-
2019-20,Miscellaneous (Other),-,-
2018-19,Miscellaneous (Other),4,11.1
2017-18,Miscellaneous (Other),,3.2
2022-23,Code of Conduct,1,-
2021-22,Code of Conduct,-,-
2020-21,Code of Conduct,-,-
2019-20,Code of Conduct,-,-
2018-19,Code of Conduct,-,-
2017-18,Code of Conduct,,-
2022-23,Abuse of public office,43,97.7
2021-22,Abuse of public office,-,-
2020-21,Abuse of public office,-,-
2019-20,Abuse of public office,-,-
2018-19,Abuse of public office,-,-
2017-18,Abuse of public office,,-
2022-23,Total,44,100
2021-22,Total,50 6,100
2020-21,Total,30,100.1
2019-20,Total,25,100
2018-19,Total,36,100
2017-18,Total,,100
2016-17,Abuse of power for personal or financial gain,,68
2015-16,Abuse of power for personal or financial gain,,72.0 2
2014-15,Abuse of power for personal or financial gain,,46.0 2
2016-17,Bribery,,-
2015-16,Bribery,,7
2014-15,Bribery,,6
2016-17,Abuse of power re contract/ tender/procurement,,-
2015-16,Abuse of power re contract/ tender/procurement,,-
2014-15,Abuse of power re contract/ tender/procurement,,-
2016-17,Assault,,-
2015-16,Assault,,3
2014-15,Assault,,4
2016-17,Theft/misappropriation/ fraud/deception,,23
2015-16,Theft/misappropriation/ fraud/deception,, 
2014-15,Theft/misappropriation/ fraud/deception,,25
2016-17,Improper use or disclosure of information,,9.0 1
2015-16,Improper use or disclosure of information,,7.0 1
2014-15,Improper use or disclosure of information,,12.0 1
2016-17,Drug offences,,-
2015-16,Drug offences,,-
2014-15,Drug offences,,5
2016-17,Miscellaneous (Other),,-
2015-16,Miscellaneous (Other),,-
2014-15,Miscellaneous (Other),,2
2016-17,Deception or abuse of power associated with employment or appointment to public office,,-
2015-16,Deception or abuse of power associated with employment or appointment to public office,,-
2014-15,Deception or abuse of power associated with employment or appointment to public office,,-
2016-17,Total,,100
2015-16,Total,,89
2014-15,Total,,100
