financial_year,category,number,pct
2020-21,Reports,350,42.0
2019-20,Reports,324,45.4
2018-19,Reports,288,41.8
2017-18,Reports,244,42
2016-17,Reports,310,47
2015-16,Reports,201,38
2014-15,Reports,186,35
2013-14,Reports,145,
2020-21,Complaints,474,56.9
2019-20,Complaints,388,54.4
2018-19,Complaints,400,58.1
2017-18,Complaints,335,58
2016-17,Complaints,350,53
2015-16,Complaints,326,62
2014-15,Complaints,342,65
2013-14,Complaints,327,
2020-21,Own initiative,9,1.1
2019-20,Own initiative,1,0.1
2018-19,Own initiative,1,0.1
2017-18,Own initiative,-,-
2016-17,Own initiative,1,1
2015-16,Own initiative,-,-
2014-15,Own initiative,-,-
2013-14,Own initiative,-,-
2020-21,Total,833,100
2019-20,Total,713,99.9
2018-19,Total,689,100
2017-18,Total,579,100
2016-17,Total,661,100
2015-16,Total,527,100
2014-15,Total,528,100
2013-14,Total,472,
