section,term,definition
High Level Spend,Total Agency Spend,The total dollars spent during the financial year by the agency.
High Level Spend,Total ICT Spend,"The total dollars spent on ICT during the financial year by the agency, including ICT Spend by the centralised ICT group and ICT spend by the business units. ICT Spend includes all capital expenses and operating expenses. However, ICT Spend excludes all depreciation.  Excludes spend on physical ICT equipment whose primary role is not ICT-related, e.g. traffic light controllers, medical equipment and industrial/manufacturing equipment.  The actual amount spent should be reported, regardless of the funding source and whether or not the amount spent was included in any budget."
High Level Spend,Ongoing Service Delivery,"Total dollars spent during the financial year, in the relevant spending category, incurred as part of the ongoing service delivery activities of the agency. Includes both capital and operational dollars spent, other than dollars spent on Projects, as defined below. Excludes all allowances for depreciation."
High Level Spend,Projects,Total dollars spent during the financial year incurred as part of projects undertaken to enhance the capability of the agency to deliver ICT and business services to internal clients and the public.
ICT Elements,Hardware,"All spend on physical ICT equipment, including purchase, lease, maintenance of the hardware by the hardware vendor, repair, peripherals and consumables charges. Excludes spend on physical ICT equipment whose primary role is not ICT-related e.g. traffic light controllers, medical equipment & industrial/manufacturing equipment.  Excludes spend on internal labour, contractors &external service provider infrastructure support services."
ICT Elements,Software,"All spend on software supplied by software vendor organisations, including licence, maintenance and support charges by the software vendor. Includes spend on business applications, operating systems and utilities, database software, desktop software and other tools.  Excludes spend on internal labour, contractors and external service provider software support services."
ICT Elements,Carriage,Services which enable transmission of voice and data traffic between agency locations and between agency infrastructure and external parties.
ICT Elements,Services Provided by External Service Provider,"All spend for services delivered under commercial contracts with non-Government external organisations. Under an External Service Provider arrangement, the service provider is responsible for the delivery of the services.  Includes services provided by consultants who are engaged for specific short-term projects, e.g. to produce reports."
ICT Elements,Services Provided by Another Agency,"All spend for services delivered by another Government agency, e.g. Shared Services. Under such an arrangement, the other agency is responsible for the delivery of the services."
ICT Elements,Labour,"Labour spend should be entered as the fully-burdened cost of employing the relevant FTEs, including base salary, payroll tax, compulsory and voluntary superannuation, annual leave loading, long service leave, work cover levy, high duties, allowances, overtime.  If the labour burdening rate used by the agency is a fixed percentage, this percentage should be stated in the Comments field."
ICT Elements,Labour – Employees,"Staff employed directly by the agency, including both full time and part time employees, including staff on fixed term contracts that are filling a government position."
ICT Elements,Labour – Contractors,External staff who are employed on a contractual basis by the agency and who report directly to the agency for the work performed. Excludes consultants and staff employed by external service provider organisations.  Includes Temporary staff who are procured under a Temporary Staff Placement Services contract to fill a Government position.
ICT Elements,Other,"Any ICT Spend during the measurement period (the financial year) which is not reported under one of the categories above.  May include training, conferences, travel etc.  For facilities, include spend on floor space, utilities, air conditioning, power provision etc."
ICT Service Categories,Applications Development,"The breakdown of total spend on Applications Development.  Development and major enhancements to business applications. Major enhancements are those incurring 20 days or more of effort. The following activities are included; Requirements, Analysis & Design, Build, Test, Deploy, Documentation and Training, Supply Development Tools, Supply Application Software.  Includes the configuration of middleware software from a business perspective by Applications staff as part of development work. Excludes the installation and technical configuration of middleware software.  Includes Applications database administration activities performed as part of development work, e.g. logical database design. Excludes System database administration activities, e.g. physical database creation."
ICT Service Categories,Applications Maintenance and Support,"The breakdown of total spend on Applications Maintenance and Support.  Maintenance of the production applications portfolio and any other applications used by the Business Units to conduct the agency’s business including: 
· Corrective Maintenance which means maintenance associated with correcting software errors (""bug fix"").
· Adaptive Maintenance which means the maintenance of software associated with keeping the software useable in a changed or changing environment or minor enhancements to business functionality (less than 20 days of effort).
· Perfective Maintenance which means the maintenance of software associated with improving the efficiency and reliability of the Software and to minimise on-going maintenance.
· Preventive Maintenance which means the maintenance of software associated with efforts to prevent software problems from occurring (e.g. the removal of latent defects).
· Includes minor enhancements incurring less than 20 days of effort.  Includes support provided to end users in relation to the applications used to run the business.
· Includes the configuration and administration of middleware software from a business perspective by Applications staff. Excludes the technical support of middleware software.
· Includes Applications database administration activities performed as part of applications maintenance and minor enhancements, e.g. changes to schema definitions. Excludes System database administration activities, e.g. physical database reorganisation."
