council,council_type,electors_2022,electors_2018,electors_2014,electors_2010,ha_roll_electors_2022,council_roll_electors_2022,total_electors_2022_check,representatives_2022,electors_per_representative_2022,representatives_2018,electors_per_representative_2018
Adelaide,Metropolitan,30410,26538,24183,23236,13844,16566,30410,11,2765,11,3791
Adelaide Hills,Country,30549,29608,29094,28767,30531,18,30549,12,2546,12,2467
Adelaide Plains,Country,7023,5964,5824,5583,7012,11,7023,9,780,9,663
Alexandrina,Country,22530,20485,18887,18097,22435,95,22530,9,2503,11,1862
Barossa,Country,18856,17583,16803,16155,18782,74,18856,11,1714,11,1598
Barunga West,Country,2068,1976,2012,2018,2054,14,2068,9,230,9,220
Berri Barmera,Country,7561,7304,7300,7284,7558,3,7561,8,945,8,913
Burnside,Metropolitan,32315,31554,31607,31990,32290,25,32315,12,2693,12,2630
Campbelltown,Metropolitan,37111,34934,34205,33531,37075,36,37111,10,3711,10,3493
Ceduna,Country,2130,2058,2178,2154,2109,21,2130,8,266,8,257
Charles Sturt,Metropolitan,90029,83958,78195,75273,89984,45,90029,16,5627,16,5247
Clare & Gilbert Valleys,Country,6945,6668,6630,6465,6865,80,6945,9,772,9,741
Cleve,Country,1279,1249,1291,1333,1274,5,1279,7,183,7,178
Coober Pedy,Country,910,961,1123,1184,908,2,910,8,114,8,120
Coorong,Country,3901,3778,3896,4016,3893,8,3901,7,557,9,420
Copper Coast ,Country,12174,11200,10385,9778,12092,82,12174,9,1353,9,1244
Elliston,Country,742,729,750,880,718,24,742,8,93,8,91
Flinders Ranges,Country,1178,1186,1234,1201,1166,12,1178,8,147,8,148
Franklin Harbour,Country,926,905,938,921,920,6,926,6,154,6,151
Gawler,Metropolitan,19330,17535,15497,14698,19310,20,19330,10,1933,10,1754
Goyder,Country,3164,3050,3085,3194,3079,85,3164,7,452,7,436
Grant,Country,5639,5505,5544,5672,5612,27,5639,9,627,9,612
Holdfast Bay,Metropolitan,28668,27624,26746,26062,28644,24,28668,12,2389,12,2302
Kangaroo Island,Country,3674,3476,3418,3428,3618,56,3674,9,408,9,386
Karoonda East Murray,Country,745,746,807,831,741,4,745,6,124,6,124
Kimba,Country,750,801,791,845,728,22,750,7,107,7,114
Kingston,Country,1905,1827,1928,1897,1810,95,1905,7,272,7,261
Light,Country,11309,10328,9948,9432,11178,131,11309,9,1257,10,1033
Lower Eyre Peninsula,Country,3941,3708,3694,3378,3870,71,3941,7,563,7,530
Loxton Waikerie,Country,8404,8155,8165,8168,8396,8,8404,10,840,10,816
Marion,Metropolitan,68556,64049,61097,59426,67897,659,68556,12,5713,12,5337
Mid Murray,Country,6987,6432,6149,6573,6885,102,6987,8,873,9,715
Mitcham,Metropolitan,49481,48258,47264,46547,49454,27,49481,12,4123,13,3712
Mount Barker,Country,28742,24563,21864,20384,28687,55,28742,10,2874,10,2456
Mount Gambier,Country,20190,19336,18485,17940,20143,47,20190,8,2524,8,2417
Mount Remarkable,Country,2189,2134,2235,2283,2167,22,2189,7,313,7,305
Murray Bridge,Country,15550,14339,13447,12954,15490,60,15550,9,1728,9,1593
Naracoorte Lucindale,Country,5909,5875,5778,5954,5889,20,5909,10,591,10,588
Northern Areas,Country,3502,3378,3489,3550,3466,36,3502,9,389,9,375
Norwood Payneham & St Peters,Metropolitan,26211,25226,24796,24709,26182,29,26211,13,2016,13,1940
Onkaparinga,Metropolitan,131498,123876,115399,111137,131418,80,131498,12,10958,12,10323
Orroroo Carrieton,Country,666,678,748,697,660,6,666,6,111,6,113
Peterborough,Country,1243,1205,1270,1348,1242,1,1243,8,155,8,151
Playford,Metropolitan,67965,60373,53257,47927,67923,42,67965,15,4531,15,4025
Port Adelaide Enfield,Metropolitan,89021,82814,76671,73518,88882,139,89021,17,5237,17,4871
Port Augusta,Country,9618,9495,9244,9255,9484,134,9618,9,1069,9,1055
Port Lincoln,Country,10882,10322,9946,9799,10871,11,10882,9,1209,9,1147
Port Pirie,Country,13127,12792,12361,12231,13120,7,13127,9,1459,9,1421
Prospect,Metropolitan,15285,14666,14347,13950,15266,19,15285,8,1911,8,1833
Renmark Paringa,Country,6722,6469,6367,6427,6718,4,6722,8,840,8,809
Robe,Country,1376,1184,1248,1366,1234,142,1376,6,229,6,197
Salisbury,Metropolitan,98277,93937,87720,84674,98207,70,98277,14,7020,14,6710
Southern Mallee,Country,1338,1353,1403,1513,1333,5,1338,7,191,7,193
Streaky Bay,Country,1658,1558,1516,1591,1628,30,1658,8,207,8,195
Tatiara,Country,4553,4505,4524,4683,4527,26,4553,9,506,9,501
