council,election,is_overall_row,is_statewide_total_row,total_votes_2022,eligible_electors_2022,voter_participation_2022,status_2022,total_votes_2018,eligible_electors_2018,voter_participation_2018,status_2018
Adelaide,Lord Mayor,False,False,8630,30410,0.283788227556725,,7293,26538,0.274813475016957,
Adelaide,Area councillors,False,False,8588,30410,0.282407102926669,,7248,26538,0.273117793352928,
Adelaide,North ward councillors,False,False,2486,7169,0.34677081880318,,2328,6998,0.332666476136039,
Adelaide,Central ward councillors,False,False,3382,13909,0.243151916025595,,2375,10886,0.218170126768326,
Adelaide,South ward councillors,False,False,2843,9332,0.304650664380626,,2642,8674,0.304588425178695,
Adelaide,Overall voter participation for council (all elections combined),True,False,,,0.284215718513647,,,,0.274832358038024,
Adelaide Hills,Mayor,False,False,,,,Uncontested,9087,29608,0.306910294514996,
Adelaide Hills,Ranges ward councillors,False,False,5302,18209,0.29117469383272,,5630,17619,0.319541404165957,
Adelaide Hills,Valleys ward councillors,False,False,3984,12340,0.322852512155592,,3502,11989,0.292101092668279,
Adelaide Hills,Overall voter participation for council (all elections combined),True,False,,,0.303970670071033,,,,0.307670224263712,
Adelaide Plains,Mayor,False,False,2080,7023,0.296169728036452,,1993,5964,0.334171696847753,
Adelaide Plains,Area councillors (established at 2022 election),False,False,2089,7023,0.297451231667379,,,,,N/A
Adelaide Plains,Mallala/Dublin ward councillors (ward abolished at 2022 election),False,False,,,,N/A,770,1928,0.399377593360996,
Adelaide Plains,Two Wells ward councillors (ward abolished at 2022 election),False,False,,,,N/A,665,1810,0.367403314917127,
Adelaide Plains,Lewiston ward councillors (ward abolished at 2022 election),False,False,,,,N/A,556,2226,0.249775381850854,
Adelaide Plains,Overall voter participation for council (all elections combined),True,False,,,0.296810479851915,,,,0.334004024144869,
Alexandrina,Mayor,False,False,9958,22530,0.441988459831336,,8490,20485,0.414449597266292,
Alexandrina,Alexandrina West ward councillors (ward established at 2022 election),False,False,3177,7544,0.421129374337222,,,,,N/A
Alexandrina,Alexandrina North ward councillors (ward established at 2022 election),False,False,3076,7555,0.407147584381205,,,,,N/A
Alexandrina,Alexandrina South ward councillors (ward established at 2022 election),False,False,3707,7431,0.498856143183959,,,,,N/A
Alexandrina,Nangkita Kuitpo ward councillor (ward abolished at 2022 election),False,False,,,,N/A,750,1987,0.377453447408153,
Alexandrina,Strathalbyn ward councillors (ward abolished at 2022 election),False,False,,,,N/A,1879,4370,0.429977116704805,
Alexandrina,Angas Bremer ward councillors (ward abolished at 2022 election),False,False,,,,N/A,1503,3946,0.380892042574759,
Alexandrina,Port Elliot Middleton ward councillors (ward abolished at 2022 election),False,False,,,,N/A,1356,3251,0.417102430021532,
Alexandrina,Goolwa Hindmarsh Island ward councillors (ward abolished at 2022 election),False,False,,,,N/A,3052,6931,0.440340499206464,
Alexandrina,Overall voter participation for council (all elections combined),True,False,,,0.442032845095428,,,,0.41567000244081,
Barossa,Mayor,False,False,7394,18856,0.392129826050064,,6214,17583,0.353409543308878,
Barossa,Area councillors,False,False,7446,18856,0.394887568943572,,6248,17583,0.355343229255531,
Barossa,Overall voter participation for council (all elections combined),True,False,,,0.393508697496818,,,,0.354376386282204,
Barunga West,Area councillors,False,False,1087,2068,0.525628626692456,,1102,1976,0.557692307692308,
Barunga West,Overall voter participation for council (all elections combined),True,False,,,0.525628626692456,,,,0.557692307692308,
Berri Barmera,Mayor,False,False,3256,7561,0.430630868932681,,3094,7304,0.423603504928806,
Berri Barmera,Area councillors,False,False,3244,7561,0.429043777278138,,3114,7304,0.426341730558598,
Berri Barmera,Overall voter participation for council (all elections combined),True,False,,,0.429837323105409,,,,0.424972617743702,
Burnside,Mayor,False,False,10561,32315,0.326814172984682,,9442,31554,0.2992330607846866,
Burnside,Beaumont ward councillors,False,False,1886,5328,0.35397897897897895,,1568,5159,0.3039348710990502,
Burnside,Burnside ward councillors,False,False,1666,5297,0.31451765150084954,,1497,5221,0.2867266807125072,
Burnside,Eastwood & Glenunga ward councillors,False,False,2051,5471,0.37488576128678486,,1661,5106,0.3253035644339992,
Burnside,Kensington Gardens & Magill ward councillors,False,False,1518,5375,0.2824186046511628,,1552,5373,0.28885166573608784,
Burnside,Kensington Park ward councillors,False,False,1962,5622,0.3489861259338314,,1663,5531,0.3006689567890074,
Burnside,Rose Park & Toorak Gardens ward councillors,False,False,,,,Uncontested,1480,5164,0.2865995352439969,
Burnside,Overall voter participation for council (all elections combined),True,False,,,0.33066253703204956,,,,0.2989002979020092,
Campbelltown,Mayor,False,False,,,,Uncontested,10519,34934,0.30111066582698803,
Campbelltown,Hectorville ward councillors,False,False,2500,8112,0.3081854043392505,,2053,7470,0.2748326639892905,
Campbelltown,Gorge ward councillors,False,False,2225,7265,0.30626290433585684,,2450,7138,0.34323339871112357,
