row_order,line_item,is_total_row,year,value_million_aud
1,Taxation revenue,False,2015-16,16620
1,Taxation revenue,False,2016-17,17399
1,Taxation revenue,False,2017-18,18083
1,Taxation revenue,False,2018-19,18904
1,Taxation revenue,False,2019-20,19578
1,Taxation revenue,False,2020-21,20089
1,Taxation revenue,False,2021-22,20888
1,Taxation revenue,False,2022-23,21824
1,Taxation revenue,False,2023-24,23100
1,Taxation revenue,False,2024-25,24554
2,Current grants and subsidies,False,2015-16,3520
2,Current grants and subsidies,False,2016-17,4850
2,Current grants and subsidies,False,2017-18,4472
2,Current grants and subsidies,False,2018-19,4912
2,Current grants and subsidies,False,2019-20,5154
2,Current grants and subsidies,False,2020-21,6304
2,Current grants and subsidies,False,2021-22,8004
2,Current grants and subsidies,False,2022-23,8813
2,Current grants and subsidies,False,2023-24,7262
2,Current grants and subsidies,False,2024-25,5726
3,Sales of goods and services,False,2015-16,11701
3,Sales of goods and services,False,2016-17,12217
3,Sales of goods and services,False,2017-18,12712
3,Sales of goods and services,False,2018-19,13219
3,Sales of goods and services,False,2019-20,13113
3,Sales of goods and services,False,2020-21,13491
3,Sales of goods and services,False,2021-22,14280
3,Sales of goods and services,False,2022-23,15552
3,Sales of goods and services,False,2023-24,16531
3,Sales of goods and services,False,2024-25,17673
4,Interest income,False,2015-16,795
4,Interest income,False,2016-17,772
4,Interest income,False,2017-18,803
4,Interest income,False,2018-19,883
4,Interest income,False,2019-20,674
4,Interest income,False,2020-21,442
4,Interest income,False,2021-22,370
4,Interest income,False,2022-23,1191
4,Interest income,False,2023-24,1831
4,Interest income,False,2024-25,2004
5,Capital Grants,False,2015-16,1924
5,Capital Grants,False,2016-17,1886
5,Capital Grants,False,2017-18,1920
5,Capital Grants,False,2018-19,1845
5,Capital Grants,False,2019-20,1915
5,Capital Grants,False,2020-21,2816
5,Capital Grants,False,2021-22,2754
5,Capital Grants,False,2022-23,3049
5,Capital Grants,False,2023-24,3936
5,Capital Grants,False,2024-25,4734
6,Other revenue,False,2015-16,8477
6,Other revenue,False,2016-17,8723
6,Other revenue,False,2017-18,8856
6,Other revenue,False,2018-19,8662
6,Other revenue,False,2019-20,8519
6,Other revenue,False,2020-21,9682
6,Other revenue,False,2021-22,8569
6,Other revenue,False,2022-23,9342
6,Other revenue,False,2023-24,11502
6,Other revenue,False,2024-25,13137
7,Total GFS revenue,True,2015-16,43036
7,Total GFS revenue,True,2016-17,45847
7,Total GFS revenue,True,2017-18,46846
7,Total GFS revenue,True,2018-19,48425
7,Total GFS revenue,True,2019-20,48952
7,Total GFS revenue,True,2020-21,52824
7,Total GFS revenue,True,2021-22,54864
7,Total GFS revenue,True,2022-23,59770
7,Total GFS revenue,True,2023-24,64162
7,Total GFS revenue,True,2024-25,67829
8,Depreciation,False,2015-16,7223
8,Depreciation,False,2016-17,7652
8,Depreciation,False,2017-18,7903
8,Depreciation,False,2018-19,8205
8,Depreciation,False,2019-20,8614
8,Depreciation,False,2020-21,9072
8,Depreciation,False,2021-22,9420
8,Depreciation,False,2022-23,10056
8,Depreciation,False,2023-24,11054
8,Depreciation,False,2024-25,11801
9,Superannuation expenses,False,2015-16,1188
9,Superannuation expenses,False,2016-17,1211
9,Superannuation expenses,False,2017-18,1238
9,Superannuation expenses,False,2018-19,1301
9,Superannuation expenses,False,2019-20,1349
9,Superannuation expenses,False,2020-21,1393
9,Superannuation expenses,False,2021-22,1445
9,Superannuation expenses,False,2022-23,1533
9,Superannuation expenses,False,2023-24,1671
9,Superannuation expenses,False,2024-25,1812
10,Other employee expenses,False,2015-16,11777
10,Other employee expenses,False,2016-17,12106
10,Other employee expenses,False,2017-18,12394
10,Other employee expenses,False,2018-19,13005
10,Other employee expenses,False,2019-20,13526
10,Other employee expenses,False,2020-21,13958
10,Other employee expenses,False,2021-22,14332
10,Other employee expenses,False,2022-23,15227
10,Other employee expenses,False,2023-24,16280
10,Other employee expenses,False,2024-25,17357
11,Non-employee expenses,False,2015-16,12938
11,Non-employee expenses,False,2016-17,13573
11,Non-employee expenses,False,2017-18,14345
11,Non-employee expenses,False,2018-19,15133
11,Non-employee expenses,False,2019-20,15689
11,Non-employee expenses,False,2020-21,15989
