table,row_order,line_item,is_total_row,year,value_million_aud
operating_statement,1,Taxation revenue,False,2015-16,1433
operating_statement,1,Taxation revenue,False,2016-17,1490
operating_statement,1,Taxation revenue,False,2017-18,1543
operating_statement,1,Taxation revenue,False,2018-19,1602
operating_statement,1,Taxation revenue,False,2019-20,1661
operating_statement,1,Taxation revenue,False,2020-21,1696
operating_statement,1,Taxation revenue,False,2021-22,1749
operating_statement,1,Taxation revenue,False,2022-23,1827
operating_statement,1,Taxation revenue,False,2023-24,1984
operating_statement,1,Taxation revenue,False,2024-25,2132
operating_statement,2,Current grants and subsidies,False,2015-16,148
operating_statement,2,Current grants and subsidies,False,2016-17,298
operating_statement,2,Current grants and subsidies,False,2017-18,238
operating_statement,2,Current grants and subsidies,False,2018-19,274
operating_statement,2,Current grants and subsidies,False,2019-20,248
operating_statement,2,Current grants and subsidies,False,2020-21,233
operating_statement,2,Current grants and subsidies,False,2021-22,383
operating_statement,2,Current grants and subsidies,False,2022-23,367
operating_statement,2,Current grants and subsidies,False,2023-24,291
operating_statement,2,Current grants and subsidies,False,2024-25,301
operating_statement,3,Sales of goods and services,False,2015-16,406
operating_statement,3,Sales of goods and services,False,2016-17,423
operating_statement,3,Sales of goods and services,False,2017-18,432
operating_statement,3,Sales of goods and services,False,2018-19,430
operating_statement,3,Sales of goods and services,False,2019-20,437
operating_statement,3,Sales of goods and services,False,2020-21,455
operating_statement,3,Sales of goods and services,False,2021-22,476
operating_statement,3,Sales of goods and services,False,2022-23,511
operating_statement,3,Sales of goods and services,False,2023-24,553
operating_statement,3,Sales of goods and services,False,2024-25,587
operating_statement,4,Interest income,False,2015-16,21
operating_statement,4,Interest income,False,2016-17,19
operating_statement,4,Interest income,False,2017-18,20
operating_statement,4,Interest income,False,2018-19,20
operating_statement,4,Interest income,False,2019-20,16
operating_statement,4,Interest income,False,2020-21,20
operating_statement,4,Interest income,False,2021-22,18
operating_statement,4,Interest income,False,2022-23,33
operating_statement,4,Interest income,False,2023-24,38
operating_statement,4,Interest income,False,2024-25,44
operating_statement,5,Capital Grants,False,2015-16,84
operating_statement,5,Capital Grants,False,2016-17,77
operating_statement,5,Capital Grants,False,2017-18,66
operating_statement,5,Capital Grants,False,2018-19,42
operating_statement,5,Capital Grants,False,2019-20,67
operating_statement,5,Capital Grants,False,2020-21,130
operating_statement,5,Capital Grants,False,2021-22,96
operating_statement,5,Capital Grants,False,2022-23,102
operating_statement,5,Capital Grants,False,2023-24,101
operating_statement,5,Capital Grants,False,2024-25,115
operating_statement,6,Other revenue,False,2015-16,166
operating_statement,6,Other revenue,False,2016-17,160
operating_statement,6,Other revenue,False,2017-18,189
operating_statement,6,Other revenue,False,2018-19,208
operating_statement,6,Other revenue,False,2019-20,205
operating_statement,6,Other revenue,False,2020-21,247
operating_statement,6,Other revenue,False,2021-22,177
operating_statement,6,Other revenue,False,2022-23,223
operating_statement,6,Other revenue,False,2023-24,149
operating_statement,6,Other revenue,False,2024-25,420
operating_statement,7,Total GFS revenue,True,2015-16,2258
operating_statement,7,Total GFS revenue,True,2016-17,2468
operating_statement,7,Total GFS revenue,True,2017-18,2487
operating_statement,7,Total GFS revenue,True,2018-19,2575
operating_statement,7,Total GFS revenue,True,2019-20,2634
operating_statement,7,Total GFS revenue,True,2020-21,2781
operating_statement,7,Total GFS revenue,True,2021-22,2899
operating_statement,7,Total GFS revenue,True,2022-23,3062
operating_statement,7,Total GFS revenue,True,2023-24,3115
