row_order,line_item,is_total_row,year,value_million_aud
1,Buildings and structures,False,2015-16,16295
1,Buildings and structures,False,2016-17,16799
1,Buildings and structures,False,2017-18,17381
1,Buildings and structures,False,2018-19,18285
1,Buildings and structures,False,2019-20,18843
1,Buildings and structures,False,2020-21,19506
1,Buildings and structures,False,2021-22,20591
1,Buildings and structures,False,2022-23,21815
1,Buildings and structures,False,2023-24,23857
1,Buildings and structures,False,2024-25,25889
2,Machinery and equipment,False,2015-16,359
2,Machinery and equipment,False,2016-17,349
2,Machinery and equipment,False,2017-18,363
2,Machinery and equipment,False,2018-19,381
2,Machinery and equipment,False,2019-20,382
2,Machinery and equipment,False,2020-21,371
2,Machinery and equipment,False,2021-22,384
2,Machinery and equipment,False,2022-23,388
2,Machinery and equipment,False,2023-24,392
2,Machinery and equipment,False,2024-25,422
3,Other fixed produced assets,False,2015-16,0
3,Other fixed produced assets,False,2016-17,0
3,Other fixed produced assets,False,2017-18,0
3,Other fixed produced assets,False,2018-19,0
3,Other fixed produced assets,False,2019-20,0
3,Other fixed produced assets,False,2020-21,0
3,Other fixed produced assets,False,2021-22,0
3,Other fixed produced assets,False,2022-23,0
3,Other fixed produced assets,False,2023-24,0
3,Other fixed produced assets,False,2024-25,0
4,Other produced assets,False,2015-16,12
4,Other produced assets,False,2016-17,12
4,Other produced assets,False,2017-18,12
4,Other produced assets,False,2018-19,14
4,Other produced assets,False,2019-20,18
4,Other produced assets,False,2020-21,13
4,Other produced assets,False,2021-22,14
4,Other produced assets,False,2022-23,17
4,Other produced assets,False,2023-24,17
4,Other produced assets,False,2024-25,19
5,Land,False,2015-16,6241
5,Land,False,2016-17,6459
5,Land,False,2017-18,6545
5,Land,False,2018-19,6774
5,Land,False,2019-20,6921
5,Land,False,2020-21,7091
5,Land,False,2021-22,7566
5,Land,False,2022-23,8275
5,Land,False,2023-24,9933
5,Land,False,2024-25,10778
6,Other non-produced assets,False,2015-16,0
6,Other non-produced assets,False,2016-17,0
6,Other non-produced assets,False,2017-18,0
6,Other non-produced assets,False,2018-19,0
6,Other non-produced assets,False,2019-20,0
6,Other non-produced assets,False,2020-21,0
6,Other non-produced assets,False,2021-22,0
6,Other non-produced assets,False,2022-23,0
6,Other non-produced assets,False,2023-24,0
6,Other non-produced assets,False,2024-25,0
7,Total non-financial assets,True,2015-16,22907
7,Total non-financial assets,True,2016-17,23618
7,Total non-financial assets,True,2017-18,24301
7,Total non-financial assets,True,2018-19,25454
7,Total non-financial assets,True,2019-20,26164
7,Total non-financial assets,True,2020-21,26981
7,Total non-financial assets,True,2021-22,28555
7,Total non-financial assets,True,2022-23,30494
7,Total non-financial assets,True,2023-24,34199
7,Total non-financial assets,True,2024-25,37108
8,Currency and deposits,False,2015-16,45
8,Currency and deposits,False,2016-17,52
8,Currency and deposits,False,2017-18,52
8,Currency and deposits,False,2018-19,42
8,Currency and deposits,False,2019-20,48
