financial_year,indicator,unit,ward_type,value,partial_year_footnote
2013-14,Average length of stay,days,All Adult acute wards combined,15.7,
2013-14,Average length of stay,days,All acute wards combined,17.5,
2013-14,Average length of stay,days,Child & Adolescent acute,5.1,
2013-14,Average length of stay,days,Forensic acute,40.9,
2013-14,Average length of stay,days,General Acute Adult,17.4,
2013-14,Average length of stay,days,General Acute Older Persons,38,
2013-14,Average length of stay,days,Short Stay,1.4,
2013-14,Average length of stay,days,Specialist acute,18.8,
2013-14,Community follow-up within 7 days of discharge,proportion,All Adult acute wards combined,0.645,
2013-14,Community follow-up within 7 days of discharge,proportion,All acute wards combined,0.626,
2013-14,Community follow-up within 7 days of discharge,proportion,Child & Adolescent acute,0.633,
2013-14,Community follow-up within 7 days of discharge,proportion,Forensic acute,0.391,
2013-14,Community follow-up within 7 days of discharge,proportion,General Acute Adult,0.669,
2013-14,Community follow-up within 7 days of discharge,proportion,General Acute Older Persons,0.487,
2013-14,Community follow-up within 7 days of discharge,proportion,Short Stay,0.398,
2013-14,Community follow-up within 7 days of discharge,proportion,Specialist acute,0.626,
2013-14,Readmission within 28 days,proportion,All Adult acute wards combined,0.104,
2013-14,Readmission within 28 days,proportion,All acute wards combined,0.101,
2013-14,Readmission within 28 days,proportion,Child & Adolescent acute,0.142,
2013-14,Readmission within 28 days,proportion,Forensic acute,0,
2013-14,Readmission within 28 days,proportion,General Acute Adult,0.105,
2013-14,Readmission within 28 days,proportion,General Acute Older Persons,0.051,
2013-14,Readmission within 28 days,proportion,Short Stay,0.132,
2013-14,Readmission within 28 days,proportion,Specialist acute,0.087,
2014-15,Average length of stay,days,All Adult acute wards combined,13.7,
2014-15,Average length of stay,days,All acute wards combined,15.4,
2014-15,Average length of stay,days,Child & Adolescent acute,4.2,
2014-15,Average length of stay,days,Forensic acute,63.5,
2014-15,Average length of stay,days,General Acute Adult,16.5,
2014-15,Average length of stay,days,General Acute Older Persons,41.7,
2014-15,Average length of stay,days,Short Stay,1.7,
2014-15,Average length of stay,days,Specialist acute,19.5,
2014-15,Community follow-up within 7 days of discharge,proportion,All Adult acute wards combined,0.669,
2014-15,Community follow-up within 7 days of discharge,proportion,All acute wards combined,0.668,
2014-15,Community follow-up within 7 days of discharge,proportion,Child & Adolescent acute,0.621,
2014-15,Community follow-up within 7 days of discharge,proportion,Forensic acute,0.308,
2014-15,Community follow-up within 7 days of discharge,proportion,General Acute Adult,0.701,
2014-15,Community follow-up within 7 days of discharge,proportion,General Acute Older Persons,0.708,
2014-15,Community follow-up within 7 days of discharge,proportion,Short Stay,0.515,
2014-15,Community follow-up within 7 days of discharge,proportion,Specialist acute,0.7,
2014-15,Readmission within 28 days,proportion,All Adult acute wards combined,0.123,
2014-15,Readmission within 28 days,proportion,All acute wards combined,0.127,
2014-15,Readmission within 28 days,proportion,Child & Adolescent acute,0.241,
2014-15,Readmission within 28 days,proportion,Forensic acute,0.077,
2014-15,Readmission within 28 days,proportion,General Acute Adult,0.121,
2014-15,Readmission within 28 days,proportion,General Acute Older Persons,0.061,
2014-15,Readmission within 28 days,proportion,Short Stay,0.137,
2014-15,Readmission within 28 days,proportion,Specialist acute,0.11,
2015-16,Average length of stay,days,All Adult acute wards combined,10.6,
2015-16,Average length of stay,days,All acute wards combined,12.2,
2015-16,Average length of stay,days,Child & Adolescent acute,3.6,
2015-16,Average length of stay,days,Forensic acute,62.2,
2015-16,Average length of stay,days,General Acute Adult,12.5,
2015-16,Average length of stay,days,General Acute Older Persons,34.7,
2015-16,Average length of stay,days,Short Stay,2.1,
2015-16,Average length of stay,days,Specialist acute,18.8,
2015-16,Community follow-up within 7 days of discharge,proportion,All Adult acute wards combined,0.661,
2015-16,Community follow-up within 7 days of discharge,proportion,All acute wards combined,0.667,
2015-16,Community follow-up within 7 days of discharge,proportion,Child & Adolescent acute,0.65,
2015-16,Community follow-up within 7 days of discharge,proportion,Forensic acute,0.316,
2015-16,Community follow-up within 7 days of discharge,proportion,General Acute Adult,0.693,
2015-16,Community follow-up within 7 days of discharge,proportion,General Acute Older Persons,0.76,
2015-16,Community follow-up within 7 days of discharge,proportion,Short Stay,0.508,
