application_category,application_type_code,application_type_desc,file_reference,project_name,applicants,location,application_received_date,legal_area,area_unit,commodities,mineral_type,mpl_purpose,prior_tenement,related_tenements,related_applications,native_title,outcome_or_status,outcome_date,resulting_tenement,longitude,latitude
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1999/00035,,Goldsearch Ltd,Myall Swamp Area - approx 100km NW of Marla,1999-03-22T01:30:00Z,692,Square Kilometres,Base & Precious Metals,Unspecified,,,,,,,,,132.7846535,-26.4568765
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2015/00212,,Rio Tinto Exploration Pty Limited,Kupura area - approx 410km WNW of Marla,2015-10-30T01:30:00Z,160,Square Kilometres,"Copper,Platinum,Nickel",Unspecified,,,,,,,,,129.66800849999998,-26.2902395
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1997/00186,,Kelaray Pty. Limited,Moombunya area - Approx 260 km W of Marla,1997-02-14T01:30:00Z,1815,Square Kilometres,"Base & Precious Metals, Diamonds",Unspecified,,,,,,,,,130.834681,-27.2819015
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2017/00232,,Typhon Minerals Pty Ltd,Anangu Pitjantjatjara Yankunytjatjara area - approx 200 km WNW of Marla,2017-11-23T01:30:00Z,430,Square Kilometres,"Gold,Lead,Copper,Silver,Platinum,Vanadium,Nickel,Cobalt,Zinc",Unspecified,,,,,,,,,131.8346625,-26.44022
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,1996/00534,,Caytale Pty Ltd,Bull Hill area - Approx 240km NW of Marla,1996-11-05T01:30:00Z,1783,Square Kilometres,"Base & Precious Metals, Gold, Silver",Unspecified,,,,,,,,,131.384668,-26.5402255
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2008/00052,,Spencer Metals Pty Ltd,Broughton area - Approx 60km SSW of Whyalla,2008-01-18T01:30:00Z,965,Square Kilometres,Copper,Unspecified,,,,,,,,,137.4430355,-33.598530499999995
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2013/00170,,Monax Alliance Pty Ltd,Poole Hill Area - Approximately 130 km WNW of Marla,2013-10-15T01:30:00Z,1235,Square Kilometres,"Copper,Nickel,Gold",Unspecified,,,,,,,,,132.33466550000003,-27.148552000000002
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2016/00084,,Sandy Ridge Labs Pty Ltd,Wilkinson Lakes area - approx 215 km NW of Tarcoola,2016-06-22T02:30:00Z,167,Square Kilometres,"Evaporites,Salt,Potash",Unspecified,,,,,,,,,132.5430305,-29.848563
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2024/00053,,[individual holder - name withheld for privacy],Camel Lake area approximately 70km northeast of Ooldea,2024-08-07T02:30:00Z,454,Square Kilometres,Halloysite,Unspecified,,,,,,,,,132.184712,-30.023554
mineral_and_or_opal_exploration_licence_applications,ELA,Exploration Licence Application,2008/00154,,Mithril Resources Limited,East Deering Hills - Approx 370 km WNW of Marla,2008-04-02T01:30:00Z,37,Square Kilometres,Nickel,Unspecified,,,,,,,,,130.0846745,-26.2735695
