VEG_ID,SA_VEG_ID,VG_GEN_STR,VG_STR_FOR,BROAD_DESC,DOMSP_GENSTR,DETSP_DOM,ALLIANCE,DOMSP_LAY,SA_VEG_DESCRIPTION,ENVIRONMENTAL_DESCRIPTION,MVG_NO,MVS_NO,MVG_NAME,MVS_NAME
6.000000000000000,AH0007,woodland,low woodland,Eucalyptus forest and woodland,"Eucalyptus fasciculosa,Callitris gracilis woodland","Eucalyptus fasciculosa,Callitris gracilis,Amyema miquelii low woodland","Eucalyptus fasciculosa,Callitris gracilis woodland over shrubs and forbs","Eucalyptus fasciculosa,Callitris gracilis low woodland over Acacia pycnantha shrubs and Calytrix tetragona (mixed) shrubs and Gonocarpus elatus (mixed) forbs","Eucalyptus fasciculosa, Callitris gracilis, Amyema miquelii low woodland over Acacia pycnantha shrubs over Calytrix tetragona, Hakea carinata over Gonocarpus elatus, Thysanotus patersonii, Lomandra multiflora ssp. dura, Centrolepis aristata forbs",Unknown,5,8,Eucalyptus Woodland,Eucalyptus woodlands with a shrubby understorey
7.000000000000000,AH0008,woodland,mid woodland,Eucalyptus forest and woodland,"Eucalyptus fasciculosa,Callitris gracilis woodland","Eucalyptus fasciculosa,Callitris gracilis,Amyema miquelii mid woodland","Eucalyptus fasciculosa,Callitris gracilis woodland over shrubs and shrubs","Eucalyptus fasciculosa,Callitris gracilis mid woodland over Calytrix tetragona shrubs and Astroloma conostephioides shrubs","Eucalyptus fasciculosa, Callitris gracilis, Amyema miquelii mid woodland over Calytrix tetragona shrubs over Astroloma conostephioides shrubs",Unknown,5,8,Eucalyptus Woodland,Eucalyptus woodlands with a shrubby understorey
21.000000000000000,AH0022,woodland,mid woodland,Eucalyptus forest and woodland,Eucalyptus fasciculosa woodland,"Eucalyptus fasciculosa,Eucalyptus leucoxylon ssp.,Eucalyptus odorata mid woodland",Eucalyptus fasciculosa woodland over shrubs,Eucalyptus fasciculosa mid woodland over Acacia pycnantha (mixed) shrubs,"Eucalyptus fasciculosa, Eucalyptus leucoxylon ssp., Eucalyptus odorata mid woodland over Acacia pycnantha, Olea europaea ssp. europaea shrubs",Unknown,5,9,Eucalyptus Woodland,Eucalyptus woodlands with a grassy understorey
37.000000000000000,KI0101,mallee woodland,low mallee woodland,Eucalyptus mallee forest and mallee woodland,Eucalyptus remota mallee woodland,"Eucalyptus remota,Eucalyptus cosmophylla,Eucalyptus arenacea/baxteri low mallee woodland",Eucalyptus remota mallee woodland over shrubs,Eucalyptus remota low mallee woodland over Banksia ornata shrubs and Phyllota pleurandroides (mixed) shrubs,"Eucalyptus remota, Eucalyptus cosmophylla, Eucalyptus arenacea/baxteri low mallee woodland over Banksia ornata, Banksia marginata, Hakea rostrata, Allocasuarina striata, +/-Xanthorrhoea semiplana ssp. tateana, +/-Allocasuarina muelleriana ssp. notocolpica shrubs over Phyllota pleurandroides, +/-Daviesia brevifolia, +/-Calytrix tetragona",Hill crests and Hill slopes;Laterite plateau,14,29,Mallee Woodland and Shrubland,Mallee heath and shrublands
38.000000000000000,KI0102,mallee woodland,low mallee woodland,Eucalyptus mallee forest and mallee woodland,Eucalyptus remota mallee woodland,"Eucalyptus remota,Eucalyptus diversifolia ssp. diversifolia,Eucalyptus cosmophylla low mallee woodland",Eucalyptus remota mallee woodland over shrubs,Eucalyptus remota low mallee woodland over Banksia ornata shrubs and Phyllota pleurandroides shrubs,"Eucalyptus remota, Eucalyptus diversifolia ssp. diversifolia, Eucalyptus cosmophylla low mallee woodland over Banksia ornata, Banksia marginata, Hakea rostrata, Allocasuarina striata, +/-Xanthorrhoea semiplana ssp. tateana, +/-Allocasuarina muelleriana ssp. notocolpica shrubs over Phyllota pleurandroides, +/-Daviesia brevifolia, +/-Calytrix tetragona",Laterite plateau/aeolian limestone interface zone,14,29,Mallee Woodland and Shrubland,Mallee heath and shrublands
39.000000000000000,KI0103,mallee woodland,mid open mallee woodland,Eucalyptus mallee forest and mallee woodland,Eucalyptus remota mallee woodland,"Eucalyptus remota,Eucalyptus diversifolia ssp. diversifolia,Eucalyptus cosmophylla mid open mallee woodland",Eucalyptus remota mallee woodland over shrubs,Eucalyptus remota mid open mallee woodland over Allocasuarina muelleriana ssp. notocolpica (mixed) shrubs,"Eucalyptus remota, Eucalyptus diversifolia ssp. diversifolia, Eucalyptus cosmophylla mid open mallee woodland over Allocasuarina muelleriana ssp. notocolpica, +/-Allocasuarina striata, +/-Banksia marginata, +/-Hakea rostrata shrubs","Hill crests and Hill slopes;Laterite province, but sandstone bedrock may be at or near surface",14,29,Mallee Woodland and Shrubland,Mallee heath and shrublands
40.000000000000000,KI0104,mallee woodland,mid open mallee woodland,Eucalyptus mallee forest and mallee woodland,Eucalyptus remota mallee woodland,"Eucalyptus remota+/-Eucalyptus arenacea/baxteri+/-Eucalyptus obliqua,Eucalyptus cosmophylla mid open mallee woodland",Eucalyptus remota mallee woodland over shrubs,Eucalyptus remota mid open mallee woodland over Banksia ornata (mixed) shrubs and Phyllota pleurandroides (mixed) shrubs,"Eucalyptus remota, +/-Eucalyptus arenacea/baxteri, +/-Eucalyptus obliqua, Eucalyptus cosmophylla mid open mallee woodland over Banksia ornata, Banksia marginata, Hakea rostrata, Allocasuarina striata, +/-Xanthorrhoea semiplana ssp. tateana, +/-Allocasuarina muelleriana ssp. notocolpica shrubs over Phyllota pleurandroides, +/-Daviesia brevifolia, +/-Calytrix tetragona",Flat;Laterite;Poorly drained,14,29,Mallee Woodland and Shrubland,Mallee heath and shrublands
41.000000000000000,KI0105,mallee woodland,mid mallee woodland,Eucalyptus mallee forest and mallee woodland,Eucalyptus remota mallee woodland,"Eucalyptus remota,Eucalyptus cosmophylla+/-Eucalyptus arenacea/baxteri mid mallee woodland",Eucalyptus remota mallee woodland over shrubs,Eucalyptus remota mid mallee woodland over Allocasuarina striata (mixed) shrubs,"Eucalyptus remota, Eucalyptus cosmophylla, +/-Eucalyptus arenacea/baxteri mid mallee woodland over Allocasuarina striata, Xanthorrhoea semiplana ssp. tateana, Banksia marginata, Hakea rostrata, +/-Banksia ornata shrubs",Hill slopes and Ridges;Stony - Cambrian sandstone bedrock,14,29,Mallee Woodland and Shrubland,Mallee heath and shrublands
42.000000000000000,KI0106,mallee woodland,mid mallee woodland,Eucalyptus mallee forest and mallee woodland,Eucalyptus remota mallee woodland,"Eucalyptus remota,Eucalyptus arenacea/baxteri,Eucalyptus obliqua,Eucalyptus cosmophylla mid mallee woodland",Eucalyptus remota mallee woodland over shrubs,Eucalyptus remota mid mallee woodland over Allocasuarina striata (mixed) shrubs and Daviesia asperula ssp. asperula shrubs,"Eucalyptus remota, Eucalyptus arenacea/baxteri, Eucalyptus obliqua, Eucalyptus cosmophylla mid mallee woodland over Allocasuarina striata, Xanthorrhoea semiplana ssp. tateana, Banksia ornata, Banksia marginata, +/-Acacia myrtifolia var. (NC) shrubs over +/-Daviesia asperula ssp. asperula, +/-Daviesia pectinata","Laterite, bordering on Cambrian sandstone bedrock",14,29,Mallee Woodland and Shrubland,Mallee heath and shrublands
43.000000000000000,KI0201,mallee woodland,mid mallee woodland,Eucalyptus mallee forest and mallee woodland,Eucalyptus diversifolia ssp. diversifolia mallee woodland,"Eucalyptus diversifolia ssp. diversifolia,Eucalyptus cosmophylla+/-Eucalyptus fasciculosa+/-Eucalyptus arenacea/baxteri mid mallee woodland",Eucalyptus diversifolia ssp. diversifolia mallee woodland over shrubs,Eucalyptus diversifolia ssp. diversifolia mid mallee woodland over Banksia marginata (mixed) shrubs and Melaleuca uncinata shrubs,"Eucalyptus diversifolia ssp. diversifolia, Eucalyptus cosmophylla, +/-Eucalyptus fasciculosa, +/-Eucalyptus arenacea/baxteri mid mallee woodland over Banksia marginata, Allocasuarina striata, +/-Allocasuarina muelleriana ssp. notocolpica, +/-Hakea mitchellii shrubs over Melaleuca uncinata, +/-Banksia ornata, +/-Xanthorrhoea semiplana ssp. tateana, +/-Hakea rostrata",Soil derived from laterite;Clay;siliceous sand overlay,14,29,Mallee Woodland and Shrubland,Mallee heath and shrublands
