disease_condition,week_ending,notification_count
Barmah Forest virus,2026-05-16,0
Barmah Forest virus,2026-05-23,0
Barmah Forest virus,2026-05-30,0
Barmah Forest virus,2026-06-06,1
Barmah Forest virus,2026-06-13,0
Barmah Forest virus,2026-06-20,1
Barmah Forest virus,2026-06-27,0
Barmah Forest virus,2026-07-04,0
Botulism,2026-05-16,0
Botulism,2026-05-23,0
Botulism,2026-05-30,0
Botulism,2026-06-06,0
Botulism,2026-06-13,0
Botulism,2026-06-20,0
Botulism,2026-06-27,0
Botulism,2026-07-04,0
Brucellosis,2026-05-16,0
Brucellosis,2026-05-23,0
Brucellosis,2026-05-30,0
Brucellosis,2026-06-06,0
Brucellosis,2026-06-13,0
Brucellosis,2026-06-20,0
Brucellosis,2026-06-27,0
Brucellosis,2026-07-04,0
Campylobacter,2026-05-16,46
Campylobacter,2026-05-23,63
Campylobacter,2026-05-30,54
Campylobacter,2026-06-06,56
Campylobacter,2026-06-13,45
Campylobacter,2026-06-20,55
Campylobacter,2026-06-27,43
Campylobacter,2026-07-04,58
Candida auris,2026-05-16,0
Candida auris,2026-05-23,0
Candida auris,2026-05-30,0
Candida auris,2026-06-06,0
Candida auris,2026-06-13,0
Candida auris,2026-06-20,0
Candida auris,2026-06-27,0
Candida auris,2026-07-04,1
Carbapenemase-producing Enterobacterales (CPE),2026-05-16,3
Carbapenemase-producing Enterobacterales (CPE),2026-05-23,1
Carbapenemase-producing Enterobacterales (CPE),2026-05-30,0
Carbapenemase-producing Enterobacterales (CPE),2026-06-06,4
Carbapenemase-producing Enterobacterales (CPE),2026-06-13,2
Carbapenemase-producing Enterobacterales (CPE),2026-06-20,8
Carbapenemase-producing Enterobacterales (CPE),2026-06-27,2
Carbapenemase-producing Enterobacterales (CPE),2026-07-04,0
Chikungunya virus,2026-05-16,0
Chikungunya virus,2026-05-23,0
Chikungunya virus,2026-05-30,0
Chikungunya virus,2026-06-06,0
Chikungunya virus,2026-06-13,0
Chikungunya virus,2026-06-20,0
Chikungunya virus,2026-06-27,0
Chikungunya virus,2026-07-04,0
Chlamydia,2026-05-16,125
Chlamydia,2026-05-23,94
Chlamydia,2026-05-30,105
Chlamydia,2026-06-06,99
