act,category,metric,year,value,note
Building Work Contractors Act 1995,,Held by bodies corporate,2017-18,4943,
Building Work Contractors Act 1995,,Held by bodies corporate,2016-17,4766,
Building Work Contractors Act 1995,,Held by bodies corporate,2015-16,4536,
Building Work Contractors Act 1995,,Held by bodies corporate,2014-15,,not available - reporting systems changed in 2015-16
Building Work Contractors Act 1995,,Held by natural persons (individuals or members of partnerships) Includes contractors only and contractors & supervisors. Does not include supervisors only,2017-18,18210,
Building Work Contractors Act 1995,,Held by natural persons (individuals or members of partnerships) Includes contractors only and contractors & supervisors. Does not include supervisors only,2016-17,18600,
Building Work Contractors Act 1995,,Held by natural persons (individuals or members of partnerships) Includes contractors only and contractors & supervisors. Does not include supervisors only,2015-16,18645,
Building Work Contractors Act 1995,,Held by natural persons (individuals or members of partnerships) Includes contractors only and contractors & supervisors. Does not include supervisors only,2014-15,,not available - reporting systems changed in 2015-16
Building Work Contractors Act 1995,,Held by building work supervisors (registrations only),2017-18,3961,
Building Work Contractors Act 1995,,Held by building work supervisors (registrations only),2016-17,3900,
Building Work Contractors Act 1995,,Held by building work supervisors (registrations only),2015-16,3781,
Building Work Contractors Act 1995,,Held by building work supervisors (registrations only),2014-15,,not available - reporting systems changed in 2015-16
Building Work Contractors Act 1995,,Total,2017-18,27114,
Building Work Contractors Act 1995,,Total,2016-17,27266,
Building Work Contractors Act 1995,,Total,2015-16,26962,
Building Work Contractors Act 1995,,Total,2014-15,,not available - reporting systems changed in 2015-16
Building Work Contractors Act 1995,,Applications for new licences/registrations or a change of conditions received,2017-18,2700,
Building Work Contractors Act 1995,,Applications for new licences/registrations or a change of conditions received,2016-17,2655,
Building Work Contractors Act 1995,,Applications for new licences/registrations or a change of conditions received,2015-16,2494,
Building Work Contractors Act 1995,,Applications for new licences/registrations or a change of conditions received,2014-15,,not available - reporting systems changed in 2015-16
Conveyancers Act 1994,,Held by bodies corporate,2017-18,87,
Conveyancers Act 1994,,Held by bodies corporate,2016-17,78,
Conveyancers Act 1994,,Held by bodies corporate,2015-16,69,
Conveyancers Act 1994,,Held by bodies corporate,2014-15,,not available - reporting systems changed in 2015-16
Conveyancers Act 1994,,Held by natural persons,2017-18,593,
Conveyancers Act 1994,,Held by natural persons,2016-17,586,
Conveyancers Act 1994,,Held by natural persons,2015-16,583,
Conveyancers Act 1994,,Held by natural persons,2014-15,,not available - reporting systems changed in 2015-16
Conveyancers Act 1994,,Total,2017-18,680,
Conveyancers Act 1994,,Total,2016-17,664,
Conveyancers Act 1994,,Total,2015-16,652,
Conveyancers Act 1994,,Total,2014-15,,not available - reporting systems changed in 2015-16
Conveyancers Act 1994,,Applications for new registrations received,2017-18,59,
Conveyancers Act 1994,,Applications for new registrations received,2016-17,47,
Conveyancers Act 1994,,Applications for new registrations received,2015-16,37,
Conveyancers Act 1994,,Applications for new registrations received,2014-15,,not available - reporting systems changed in 2015-16
Land Agents Act 1994,,Held by land agent bodies corporate,2017-18,983,
Land Agents Act 1994,,Held by land agent bodies corporate,2016-17,972,
Land Agents Act 1994,,Held by land agent bodies corporate,2015-16,935,
Land Agents Act 1994,,Held by land agent natural persons,2017-18,2303,
Land Agents Act 1994,,Held by land agent natural persons,2016-17,2260,
Land Agents Act 1994,,Held by land agent natural persons,2015-16,2225,
Land Agents Act 1994,,Held by sales representative and auctioneer natural persons,2017-18,2658,
Land Agents Act 1994,,Held by sales representative and auctioneer natural persons,2016-17,2606,
Land Agents Act 1994,,Held by sales representative and auctioneer natural persons,2015-16,2474,
Land Agents Act 1994,,Total,2017-18,5944,
Land Agents Act 1994,,Total,2016-17,5838,
Land Agents Act 1994,,Total,2015-16,5634,
Land Agents Act 1994,,Applications for new registrations received,2017-18,798,
Land Agents Act 1994,,Applications for new registrations received,2016-17,848,
Land Agents Act 1994,,Applications for new registrations received,2015-16,928,
"Plumbers, Gas fitters and Electricians Act 1995",Plumbers,Holding a contractor licence only (individual or company),2017-18,703,
"Plumbers, Gas fitters and Electricians Act 1995",Plumbers,Holding a contractor licence only (individual or company),2016-17,715,
"Plumbers, Gas fitters and Electricians Act 1995",Plumbers,Holding a contractor licence only (individual or company),2015-16,644,
"Plumbers, Gas fitters and Electricians Act 1995",Plumbers,Holding a workers registration,2017-18,4384,
"Plumbers, Gas fitters and Electricians Act 1995",Plumbers,Holding a workers registration,2016-17,4235,
"Plumbers, Gas fitters and Electricians Act 1995",Plumbers,Holding a workers registration,2015-16,1563,
"Plumbers, Gas fitters and Electricians Act 1995",Plumbers,Holding both a worker registration and contractor licence,2017-18,1683,
"Plumbers, Gas fitters and Electricians Act 1995",Plumbers,Holding both a worker registration and contractor licence,2016-17,1629,
"Plumbers, Gas fitters and Electricians Act 1995",Plumbers,Holding both a worker registration and contractor licence,2015-16,3995,
"Plumbers, Gas fitters and Electricians Act 1995",Gas fitters,Holding a contractor licence only (individual or company),2017-18,642,
"Plumbers, Gas fitters and Electricians Act 1995",Gas fitters,Holding a contractor licence only (individual or company),2016-17,646,
"Plumbers, Gas fitters and Electricians Act 1995",Gas fitters,Holding a contractor licence only (individual or company),2015-16,571,
"Plumbers, Gas fitters and Electricians Act 1995",Gas fitters,Holding a workers registration,2017-18,3950,
"Plumbers, Gas fitters and Electricians Act 1995",Gas fitters,Holding a workers registration,2016-17,3787,
"Plumbers, Gas fitters and Electricians Act 1995",Gas fitters,Holding a workers registration,2015-16,3512,
"Plumbers, Gas fitters and Electricians Act 1995",Gas fitters,Holding both a worker registration and contractor licence,2017-18,1428,
"Plumbers, Gas fitters and Electricians Act 1995",Gas fitters,Holding both a worker registration and contractor licence,2016-17,1373,
"Plumbers, Gas fitters and Electricians Act 1995",Gas fitters,Holding both a worker registration and contractor licence,2015-16,1301,
"Plumbers, Gas fitters and Electricians Act 1995",Electricians,Holding a contractor licence only (individual or company),2017-18,1727,
"Plumbers, Gas fitters and Electricians Act 1995",Electricians,Holding a contractor licence only (individual or company),2016-17,1706,
"Plumbers, Gas fitters and Electricians Act 1995",Electricians,Holding a contractor licence only (individual or company),2015-16,1589,
"Plumbers, Gas fitters and Electricians Act 1995",Electricians,Holding a workers registration,2017-18,18170,
"Plumbers, Gas fitters and Electricians Act 1995",Electricians,Holding a workers registration,2016-17,17536,
"Plumbers, Gas fitters and Electricians Act 1995",Electricians,Holding a workers registration,2015-16,17471,
"Plumbers, Gas fitters and Electricians Act 1995",Electricians,Holding both a worker registration and contractor licence,2017-18,4664,
"Plumbers, Gas fitters and Electricians Act 1995",Electricians,Holding both a worker registration and contractor licence,2016-17,4638,
"Plumbers, Gas fitters and Electricians Act 1995",Electricians,Holding both a worker registration and contractor licence,2015-16,4487,
Second-hand Vehicle Dealers Act 1995,Held by bodies corporate,Second-hand motor vehicle dealers,2017-18,400,
Second-hand Vehicle Dealers Act 1995,Held by bodies corporate,Second-hand motor vehicle dealers,2016-17,391,
Second-hand Vehicle Dealers Act 1995,Held by bodies corporate,Second-hand motor vehicle dealers,2015-16,353,
Second-hand Vehicle Dealers Act 1995,Held by bodies corporate,Second-hand motor cycle dealers,2017-18,29,
