"Plumbers, Gas fitters and Electricians Act 1995",,,
S43—Annual report,,,
Plumbers,2017-18,2016-17,2015-16
Holding a contractor licence only (individual or company),703,715,644
Holding a workers registration,4384,4235,1563
Holding both a worker registration and contractor licence,1683,1629,3995
Gas fitters,2017-18,2016-17,2015-16
Holding a contractor licence only (individual or company),642,646,571
Holding a workers registration,3950,3787,3512
Holding both a worker registration and contractor licence,1428,1373,1301
Electricians,2017-18,2016-17,2015-16
Holding a contractor licence only (individual or company),1727,1706,1589
Holding a workers registration,18170,17536,17471
Holding both a worker registration and contractor licence,4664,4638,4487
# Reporting systems changed significantly in 2015-16 and therefore previous data is available from https://www.cbs.sa.gov.au/about/ prior to 2015-16,,,
