Second-hand Vehicle Dealers Act 1995,,,
S52—Annual report,,,
Licences,2017-18,2016-17,2015-16
Held by bodies corporate ,,,
Second-hand motor vehicle dealers,400,391,353
Second-hand motor cycle dealers,29,28,26
Held by natural persons,,,
Second-hand vehicle dealers,828,816,731
Second-hand motor cycle dealers,50,50,45
Total,1307,1285,1155
Applications for new licences/registrations received,,,
Second-hand vehicle dealers,144,139,81
Second-hand motor cycle dealers,7,6,4
Registration of trading premises (new application),42,27,63
# Reporting systems changed significantly in 2015-16 and therefore previous data is available from https://www.cbs.sa.gov.au/about/ prior to 2015-16,,,
