case_number,title,outcome
2024/02401,Complaint about OSA Decision,OSA Decisions\No Internal Review
2024/02592,Complaint about OSA Service,OSA Services\Not substantiated
2024/03671,Complaint about OSA Decision,OSA Decisions\No Internal Review
2024/03883,Complaint about OSA Decision,OSA Decisions\No Internal Review
2024/03915,Complaint about OSA Decision,OSA Decisions\Internal Review\Outcome confirmed
2024/04092,Complaint about OSA Service,OSA Services\Not substantiated
2024/04138,Complaint about OSA Service,OSA Services\Substantiated
2024/04460,Complaint about OSA Decision,OSA Decisions\No Internal Review
2024/04767,Complaint about OSA Service,Complainant Cannot be Contacted
2024/05209,Complaint about OSA Decision & Service,OSA Decisions\No Internal Review
2024/05304,Complaint about OSA Decision,OSA Decisions\Internal Review\Outcome confirmed
2024/05321,Complaint about OSA Decision,OSA Decisions\No Internal Review
2024/05391,Complaint about OSA Decision,OSA Decisions\Internal Review\Outcome confirmed
2024/05444,Complaint about OSA Service,OSA Services\Not substantiated
2024/05451,Complaint about OSA Service,OSA Services\Not substantiated
2024/05730,Complaint about OSA Service,OSA Services\Not substantiated
2024/05951,Complaint about OSA Service,OSA Services\Substantiated
2024/05969,Complaint about OSA Decision,OSA Decisions\No Internal Review
2024/06331,Complaint about OSA Service,Withdrawn by Complainant
2024/06661,Complaint about OSA Decision,OSA Decisions\No Internal Review
2024/07296,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/00325,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/00644,Complaint about OSA Service,OSA Services\Not substantiated
2025/00748,Complaint about OSA Service,OSA Services\Not substantiated
2025/00953,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/01100,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/01488,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/01505,Complaint about OSA Decision & Service,OSA Decisions\No Internal Review
2025/01586,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/01721,Complaint about OSA Service,OSA Services\Not substantiated
2025/02122,Complaint about OSA Service,OSA Services\Not substantiated
2025/02363,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/02460,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/02934,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/02953,Complaint about OSA Service,OSA Services\Partly substantiated
2025/03107,Complaint about OSA Service,OSA Services\Not substantiated
2025/03131,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/03357,Complaint about OSA Service,OSA Services\Not substantiated
2025/03410,Complaint about OSA Decision,OSA Decisions\No Internal Review
2025/03524,Complaint about OSA Service,OSA Services\Not substantiated
2025/03593,Complaint about OSA Decision & Service,OSA Services\Not substantiated
2025/03617,Complaint about OSA Service,OSA Services\Not substantiated
2025/03638,Complaint about OSA Decision & Service,OSA Services\Not substantiated
